,제공기관명,관리번호,공원명,공원구분,소재지지번주소,위도,경도,공원면적,지정고시일,데이터기준일자,시도,자치구
151,서울특별시 강남구,11680-00061,학동공원,어린이공원,서울특별시 강남구 논현동 263-23,37.511646,127.0387639,1498.5,,2020-08-27,서울특별시,강남구
152,서울특별시 강남구,11680-00062,신사은행나무공원,어린이공원,서울특별시 강남구 신사동 558,37.521114,127.021627,1240.1,,2020-08-27,서울특별시,강남구
153,서울특별시 강남구,11680-00063,신사목련공원,어린이공원,서울특별시 강남구 신사동 567-37,37.522898,127.017064,1001.1,,2020-08-27,서울특별시,강남구
154,서울특별시 강남구,11680-00064,신사무궁화공원,어린이공원,서울특별시 강남구 신사동 625-5,37.524131,,1641.8,,2020-08-27,서울특별시,강남구
155,서울특별시 강남구,11680-00065,신사까치공원,어린이공원,서울특별시 강남구 신사동 597,,127.020466,992.9,,2020-08-27,서울특별시,강남구
156,서울특별시 강남구,11680-00066,신사개나리공원,어린이공원,서울특별시 강남구 신사동 609-2,37.526208,127.027304,991.3,,2020-08-27,서울특별시,강남구
157,서울특별시 강남구,11680-00067,압구정목련공원,어린이공원,서울특별시 강남구 압구정동 466,37.53268534,127.0322088,2027.2,,2020-08-27,서울특별시,강남구
158,서울특별시 강남구,11680-00068,압구정은행나무공원,어린이공원,서울특별시 강남구 압구정동 459,37.530689,127.022677,2547.4,,2020-08-27,서울특별시,강남구
159,서울특별시 강남구,11680-00069,삼성목련공원,어린이공원,서울특별시 강남구 삼성동 55-1,37.518515,127.045196,1641.4,,2020-08-27,서울특별시,강남구
160,서울특별시 강남구,11680-00070,삼성까치공원,어린이공원,서울특별시 강남구 삼성동 85,37.518324,127.051865,1462.9,,2020-08-27,서울특별시,강남구
161,서울특별시 강남구,11680-00071,청담은행나무공원,어린이공원,서울특별시 강남구 청담동 94-4,37.525154,127.0442417,1643.8,,2020-08-27,서울특별시,강남구
162,서울특별시 강남구,11680-00072,청담목련공원,어린이공원,서울특별시 강남구 청담동 51,37.522979,127.041076,1642.1,,2020-08-27,서울특별시,강남구
163,서울특별시 강남구,11680-00073,도곡까치공원,어린이공원,서울특별시 강남구 도곡동 455,37.483326,127.0451093,1793.8,,2020-08-27,서울특별시,강남구
164,서울특별시 강남구,11680-00074,도곡목련공원,어린이공원,서울특별시 강남구 도곡동 415-3,37.484915,,1709.2,,2020-08-27,서울특별시,강남구
165,서울특별시 강남구,11680-00075,역삼장미공원,어린이공원,서울특별시 강남구 역삼동 780-25,37.495327,127.035846,1636.6,,2020-08-27,서울특별시,강남구
166,서울특별시 강남구,11680-00076,역삼까치공원,어린이공원,서울특별시 강남구 역삼동 824-10 외1필지,37.497225,127.021971,987.2,,2020-08-27,서울특별시,강남구
167,서울특별시 강남구,11680-00077,역삼무궁화공원,어린이공원,서울특별시 강남구 역삼동 830-23,37.493835,127.032209,991.5,,2020-08-27,서울특별시,강남구
168,서울특별시 강남구,11680-00078,역삼개나리공원,어린이공원,서울특별시 강남구 역삼동 739-15,37.497571,127.0362551,1635.0,,2020-08-27,서울특별시,강남구
169,서울특별시 강남구,11680-00079,역삼소나무공원,어린이공원,서울특별시 강남구 역삼동 836-21,37.490961,127.024931,987.3,,2020-08-27,서울특별시,강남구
