磊摹备,楷飞措,己喊,胶飘饭胶 罐绰 荤恩 荐,胶飘饭胶 览翠磊 荐,胶飘饭胶 牢瘤啦_炼啦
碍巢备,19-44技,1,59,180,32.77777777777778
碍巢备,19-44技,2,93,234,39.743589743589745
碍巢备,45-64技,1,40,150,26.666666666666668
碍巢备,45-64技,2,40,201,19.900497512437813
碍巢备,65-74技,1,3,39,7.6923076923076925
碍巢备,65-74技,2,9,58,15.517241379310345
碍巢备,75技 捞惑,1,4,22,18.181818181818183
碍巢备,75技 捞惑,2,6,38,15.789473684210526
碍悼备,19-44技,1,39,180,21.666666666666668
碍悼备,19-44技,2,63,209,30.14354066985646
碍悼备,45-64技,1,21,142,14.788732394366196
碍悼备,45-64技,2,40,190,21.052631578947366
碍悼备,65-74技,1,4,57,7.017543859649122
碍悼备,65-74技,2,15,72,20.833333333333336
碍悼备,75技 捞惑,1,7,35,20.0
碍悼备,75技 捞惑,2,8,35,22.857142857142858
碍合备,19-44技,1,34,117,29.059829059829063
碍合备,19-44技,2,59,148,39.86486486486486
碍合备,45-64技,1,24,141,17.02127659574468
碍合备,45-64技,2,39,186,20.967741935483872
碍合备,65-74技,1,14,63,22.22222222222222
碍合备,65-74技,2,24,94,25.53191489361702
碍合备,75技 捞惑,1,2,71,2.8169014084507045
碍合备,75技 捞惑,2,17,95,17.894736842105264
碍辑备,19-44技,1,48,170,28.235294117647058
碍辑备,19-44技,2,71,185,38.37837837837838
碍辑备,45-64技,1,37,144,25.694444444444443
碍辑备,45-64技,2,64,214,29.906542056074763
碍辑备,65-74技,1,9,52,17.307692307692307
碍辑备,65-74技,2,16,70,22.857142857142858
碍辑备,75技 捞惑,1,7,38,18.421052631578945
碍辑备,75技 捞惑,2,12,46,26.08695652173913
包厩备,19-44技,1,62,180,34.44444444444444
包厩备,19-44技,2,61,196,31.122448979591837
包厩备,45-64技,1,26,114,22.807017543859647
包厩备,45-64技,2,48,181,26.519337016574585
包厩备,65-74技,1,6,56,10.714285714285714
包厩备,65-74技,2,13,94,13.829787234042554
包厩备,75技 捞惑,1,7,47,14.893617021276595
包厩备,75技 捞惑,2,10,48,20.833333333333336
堡柳备,19-44技,1,62,186,33.33333333333333
堡柳备,19-44技,2,72,211,34.12322274881517
堡柳备,45-64技,1,27,152,17.763157894736842
堡柳备,45-64技,2,37,185,20.0
堡柳备,65-74技,1,7,57,12.280701754385964
堡柳备,65-74技,2,11,63,17.46031746031746
堡柳备,75技 捞惑,1,1,29,3.4482758620689653
堡柳备,75技 捞惑,2,7,34,20.588235294117645
备肺备,19-44技,1,39,144,27.083333333333332
备肺备,19-44技,2,61,177,34.463276836158194
备肺备,45-64技,1,31,163,19.018404907975462
备肺备,45-64技,2,43,200,21.5
备肺备,65-74技,1,8,52,15.384615384615385
备肺备,65-74技,2,18,85,21.176470588235293
备肺备,75技 捞惑,1,5,46,10.869565217391305
备肺备,75技 捞惑,2,10,48,20.833333333333336
陛玫备,19-44技,1,39,165,23.636363636363637
陛玫备,19-44技,2,53,177,29.943502824858758
陛玫备,45-64技,1,35,149,23.48993288590604
陛玫备,45-64技,2,52,207,25.120772946859905
陛玫备,65-74技,1,13,67,19.402985074626866
陛玫备,65-74技,2,16,63,25.396825396825395
陛玫备,75技 捞惑,1,5,41,12.195121951219512
陛玫备,75技 捞惑,2,16,47,34.04255319148936
畴盔备,19-44技,1,26,129,20.155038759689923
畴盔备,19-44技,2,38,172,22.093023255813954
畴盔备,45-64技,1,28,133,21.052631578947366
畴盔备,45-64技,2,47,206,22.815533980582526
畴盔备,65-74技,1,10,65,15.384615384615385
畴盔备,65-74技,2,19,96,19.791666666666664
畴盔备,75技 捞惑,1,5,41,12.195121951219512
畴盔备,75技 捞惑,2,12,73,16.43835616438356
档豪备,19-44技,1,37,136,27.205882352941174
档豪备,19-44技,2,56,161,34.78260869565217
档豪备,45-64技,1,30,142,21.12676056338028
档豪备,45-64技,2,63,209,30.14354066985646
档豪备,65-74技,1,11,72,15.277777777777779
档豪备,65-74技,2,18,85,21.176470588235293
档豪备,75技 捞惑,1,4,43,9.30232558139535
档豪备,75技 捞惑,2,18,68,26.47058823529412
悼措巩备,19-44技,1,55,153,35.947712418300654
悼措巩备,19-44技,2,70,183,38.25136612021858
悼措巩备,45-64技,1,39,153,25.49019607843137
悼措巩备,45-64技,2,54,188,28.723404255319153
悼措巩备,65-74技,1,11,63,17.46031746031746
悼措巩备,65-74技,2,11,80,13.750000000000002
悼措巩备,75技 捞惑,1,8,45,17.77777777777778
悼措巩备,75技 捞惑,2,7,52,13.461538461538462
悼累备,19-44技,1,41,171,23.976608187134502
悼累备,19-44技,2,48,195,24.615384615384617
悼累备,45-64技,1,31,129,24.031007751937985
悼累备,45-64技,2,36,171,21.052631578947366
悼累备,65-74技,1,7,68,10.294117647058822
悼累备,65-74技,2,9,84,10.714285714285714
悼累备,75技 捞惑,1,4,37,10.81081081081081
悼累备,75技 捞惑,2,13,60,21.666666666666668
付器备,19-44技,1,59,177,33.33333333333333
付器备,19-44技,2,69,226,30.53097345132743
付器备,45-64技,1,33,115,28.695652173913043
付器备,45-64技,2,51,169,30.17751479289941
