磊摹备,楷飞措,己喊,叭扁 角玫磊 荐,览翠磊 荐,叭扁 角玫啦_炼啦
碍巢备,19-44技,1,110,180,61.111111111111114
碍巢备,19-44技,2,142,234,60.68376068376068
碍巢备,45-64技,1,88,150,58.666666666666664
碍巢备,45-64技,2,108,201,53.73134328358209
碍巢备,65-74技,1,23,39,58.97435897435898
碍巢备,65-74技,2,31,58,53.44827586206896
碍巢备,75技 捞惑,1,10,22,45.45454545454545
碍巢备,75技 捞惑,2,14,38,36.84210526315789
碍悼备,19-44技,1,114,180,63.33333333333333
碍悼备,19-44技,2,111,209,53.110047846889955
碍悼备,45-64技,1,74,142,52.112676056338024
碍悼备,45-64技,2,102,190,53.68421052631579
碍悼备,65-74技,1,32,57,56.14035087719298
碍悼备,65-74技,2,38,72,52.77777777777778
碍悼备,75技 捞惑,1,17,35,48.57142857142857
碍悼备,75技 捞惑,2,7,35,20.0
碍合备,19-44技,1,72,117,61.53846153846154
碍合备,19-44技,2,91,148,61.48648648648649
碍合备,45-64技,1,68,141,48.226950354609926
碍合备,45-64技,2,106,186,56.98924731182796
碍合备,65-74技,1,33,63,52.38095238095239
碍合备,65-74技,2,44,95,46.31578947368421
碍合备,75技 捞惑,1,39,72,54.166666666666664
碍合备,75技 捞惑,2,33,96,34.375
碍辑备,19-44技,1,110,170,64.70588235294117
碍辑备,19-44技,2,101,184,54.891304347826086
碍辑备,45-64技,1,82,144,56.94444444444444
碍辑备,45-64技,2,124,213,58.21596244131455
碍辑备,65-74技,1,33,52,63.46153846153846
碍辑备,65-74技,2,36,70,51.42857142857142
碍辑备,75技 捞惑,1,23,38,60.526315789473685
碍辑备,75技 捞惑,2,19,46,41.30434782608695
包厩备,19-44技,1,116,180,64.44444444444444
包厩备,19-44技,2,125,196,63.775510204081634
包厩备,45-64技,1,70,114,61.40350877192983
包厩备,45-64技,2,115,181,63.53591160220995
包厩备,65-74技,1,34,56,60.71428571428571
包厩备,65-74技,2,44,94,46.808510638297875
包厩备,75技 捞惑,1,29,47,61.702127659574465
包厩备,75技 捞惑,2,22,48,45.83333333333333
堡柳备,19-44技,1,119,186,63.97849462365591
堡柳备,19-44技,2,132,211,62.55924170616114
堡柳备,45-64技,1,74,152,48.68421052631579
堡柳备,45-64技,2,109,185,58.91891891891892
堡柳备,65-74技,1,31,57,54.385964912280706
堡柳备,65-74技,2,32,63,50.79365079365079
堡柳备,75技 捞惑,1,19,29,65.51724137931035
堡柳备,75技 捞惑,2,19,34,55.88235294117647
备肺备,19-44技,1,95,144,65.97222222222221
备肺备,19-44技,2,110,177,62.14689265536724
备肺备,45-64技,1,97,164,59.14634146341463
备肺备,45-64技,2,116,200,57.99999999999999
备肺备,65-74技,1,30,52,57.692307692307686
备肺备,65-74技,2,51,85,60.0
备肺备,75技 捞惑,1,23,46,50.0
备肺备,75技 捞惑,2,21,48,43.75
陛玫备,19-44技,1,111,165,67.27272727272727
陛玫备,19-44技,2,109,177,61.5819209039548
陛玫备,45-64技,1,91,149,61.07382550335571
陛玫备,45-64技,2,132,207,63.76811594202898
陛玫备,65-74技,1,35,67,52.23880597014925
陛玫备,65-74技,2,35,63,55.55555555555556
陛玫备,75技 捞惑,1,25,41,60.97560975609756
陛玫备,75技 捞惑,2,22,47,46.808510638297875
畴盔备,19-44技,1,89,129,68.9922480620155
畴盔备,19-44技,2,104,172,60.46511627906976
畴盔备,45-64技,1,94,133,70.67669172932331
畴盔备,45-64技,2,130,206,63.10679611650486
畴盔备,65-74技,1,43,65,66.15384615384615
