지역,연령별,성별,주관적 건강수준
서울시,계,계,15.4
서울시,계,남,13.0
서울시,계,여,17.2
서울시,19~44,계,6.2
서울시,19~44,남,5.9
서울시,19~44,여,6.5
서울시,45~64,계,11.4
서울시,45~64,남,10.0
서울시,45~64,여,12.5
서울시,65~74,계,25.0
서울시,65~74,남,21.1
서울시,65~74,여,28.0
서울시,75 이상,계,44.0
서울시,75 이상,남,35.6
서울시,75 이상,여,50.2
영등포구,계,계,14.0
영등포구,계,남,11.2
영등포구,계,여,16.4
영등포구,19~44,계,7.8
영등포구,19~44,남,7.1
영등포구,19~44,여,8.5
영등포구,45~64,계,10.3
영등포구,45~64,남,6.4
영등포구,45~64,여,13.5
영등포구,65~74,계,18.8
영등포구,65~74,남,11.5
영등포구,65~74,여,24.1
영등포구,75 이상,계,44.0
영등포구,75 이상,남,40.0
영등포구,75 이상,여,48.6
양천구,계,계,11.7
양천구,계,남,9.1
양천구,계,여,13.7
양천구,19~44,계,5.0
양천구,19~44,남,4.2
양천구,19~44,여,5.6
양천구,45~64,계,9.6
양천구,45~64,남,6.2
양천구,45~64,여,12.1
양천구,65~74,계,25.9
양천구,65~74,남,20.8
양천구,65~74,여,30.0
양천구,75 이상,계,33.8
양천구,75 이상,남,28.0
양천구,75 이상,여,37.0
마포구,계,계,16.1
마포구,계,남,12.3
마포구,계,여,19.0
마포구,19~44,계,7.4
마포구,19~44,남,6.5
마포구,19~44,여,8.2
마포구,45~64,계,13.0
마포구,45~64,남,8.9
마포구,45~64,여,15.8
마포구,65~74,계,29.2
마포구,65~74,남,16.7
마포구,65~74,여,38.5
마포구,75 이상,계,41.3
마포구,75 이상,남,31.9
마포구,75 이상,여,49.1
동작구,계,계,14.6
동작구,계,남,10.1
동작구,계,여,18.2
동작구,19~44,계,5.3
동작구,19~44,남,1.8
동작구,19~44,여,8.4
동작구,45~64,계,12.0
동작구,45~64,남,11.8
동작구,45~64,여,12.2
동작구,65~74,계,22.0
동작구,65~74,남,12.3
동작구,65~74,여,30.3
동작구,75 이상,계,45.4
동작구,75 이상,남,32.4
동작구,75 이상,여,53.3
금천구,계,계,17.5
금천구,계,남,15.2
금천구,계,여,19.4
금천구,19~44,계,5.3
금천구,19~44,남,4.5
금천구,19~44,여,6.1
금천구,45~64,계,14.2
금천구,45~64,남,13.8
금천구,45~64,여,14.4
금천구,65~74,계,33.3
금천구,65~74,남,26.7
금천구,65~74,여,40.4
금천구,75 이상,계,53.4
금천구,75 이상,남,43.9
금천구,75 이상,여,61.7
구로구,계,계,18.8
구로구,계,남,16.7
구로구,계,여,20.4
구로구,19~44,계,8.9
구로구,19~44,남,9.8
구로구,19~44,여,8.1
구로구,45~64,계,12.3
구로구,45~64,남,10.1
구로구,45~64,여,14.2
구로구,65~74,계,33.6
구로구,65~74,남,29.2
구로구,65~74,여,36.4
구로구,75 이상,계,54.3
구로구,75 이상,남,47.8
구로구,75 이상,여,60.4
관악구,계,계,16.2
관악구,계,남,13.6
관악구,계,여,18.1
관악구,19~44,계,9.0
관악구,19~44,남,9.1
관악구,19~44,여,8.9
관악구,45~64,계,13.9
관악구,45~64,남,12.6
관악구,45~64,여,14.7
관악구,65~74,계,29.6
관악구,65~74,남,15.2
관악구,65~74,여,37.1
관악구,75 이상,계,29.5
관악구,75 이상,남,29.8
관악구,75 이상,여,29.2
강서구,계,계,14.1
강서구,계,남,13.4
강서구,계,여,14.8
강서구,19~44,계,4.5
강서구,19~44,남,3.8
강서구,19~44,여,5.1
강서구,45~64,계,12.3
강서구,45~64,남,13.5
강서구,45~64,여,11.5
강서구,65~74,계,24.8
강서구,65~74,남,20.8
강서구,65~74,여,27.7
강서구,75 이상,계,41.7
강서구,75 이상,남,39.5
강서구,75 이상,여,43.5
중랑구,계,계,16.4
중랑구,계,남,13.4
중랑구,계,여,18.5
중랑구,19~44,계,5.4
중랑구,19~44,남,4.9
중랑구,19~44,여,5.7
중랑구,45~64,계,13.3
중랑구,45~64,남,14.4
중랑구,45~64,여,12.7
중랑구,65~74,계,27.3
중랑구,65~74,남,20.0
중랑구,65~74,여,34.7
중랑구,75 이상,계,44.3
중랑구,75 이상,남,25.0
중랑구,75 이상,여,57.7
종로구,계,계,17.5
종로구,계,남,15.8
종로구,계,여,18.9
종로구,19~44,계,9.0
종로구,19~44,남,8.8
종로구,19~44,여,9.2
종로구,45~64,계,11.8
종로구,45~64,남,12.8
종로구,45~64,여,11.1
종로구,65~74,계,29.2
종로구,65~74,남,25.0
종로구,65~74,여,32.8
종로구,75 이상,계,39.8
종로구,75 이상,남,31.8
종로구,75 이상,여,44.3
은평구,계,계,21.5
은평구,계,남,19.7
은평구,계,여,22.8
은평구,19~44,계,6.9
은평구,19~44,남,5.4
은평구,19~44,여,8.1
은평구,45~64,계,15.6
은평구,45~64,남,16.3
은평구,45~64,여,15.1
은평구,65~74,계,29.8
은평구,65~74,남,28.6
은평구,65~74,여,30.5
은평구,75 이상,계,55.6
은평구,75 이상,남,47.3
은평구,75 이상,여,61.5
성북구,계,계,13.8
성북구,계,남,11.5
성북구,계,여,15.7
성북구,19~44,계,7.7
성북구,19~44,남,9.5
성북구,19~44,여,6.2
성북구,45~64,계,8.9
성북구,45~64,남,5.3
성북구,45~64,여,11.6
성북구,65~74,계,19.5
성북구,65~74,남,13.0
성북구,65~74,여,24.1
성북구,75 이상,계,42.4
성북구,75 이상,남,37.2
성북구,75 이상,여,46.4
서대문구,계,계,17.8
서대문구,계,남,14.1
서대문구,계,여,20.5
서대문구,19~44,계,3.2
서대문구,19~44,남,4.6
서대문구,19~44,여,1.9
서대문구,45~64,계,11.9
서대문구,45~64,남,9.0
서대문구,45~64,여,13.8
서대문구,65~74,계,21.3
서대문구,65~74,남,19.6
서대문구,65~74,여,22.5
서대문구,75 이상,계,54.7
서대문구,75 이상,남,42.0
서대문구,75 이상,여,61.8
도봉구,계,계,18.9
도봉구,계,남,14.5
도봉구,계,여,22.2
도봉구,19~44,계,9.7
도봉구,19~44,남,6.8
도봉구,19~44,여,12.2
도봉구,45~64,계,12.4
도봉구,45~64,남,8.8
도봉구,45~64,여,14.9
도봉구,65~74,계,30.0
도봉구,65~74,남,28.8
도봉구,65~74,여,31.1
도봉구,75 이상,계,43.2
도봉구,75 이상,남,25.6
도봉구,75 이상,여,54.4
노원구,계,계,16.6
노원구,계,남,15.2
노원구,계,여,17.5
노원구,19~44,계,6.4
노원구,19~44,남,8.4
노원구,19~44,여,4.9
노원구,45~64,계,11.3
노원구,45~64,남,6.6
노원구,45~64,여,14.1
노원구,65~74,계,29.5
노원구,65~74,남,33.3
노원구,65~74,여,27.0
노원구,75 이상,계,40.2
노원구,75 이상,남,38.1
노원구,75 이상,여,41.3
강북구,계,계,21.6
강북구,계,남,16.0
강북구,계,여,25.8
강북구,19~44,계,9.0
강북구,19~44,남,5.3
강북구,19~44,여,12.0
강북구,45~64,계,14.5
강북구,45~64,남,8.5
강북구,45~64,여,19.2
강북구,65~74,계,28.0
강북구,65~74,남,27.6
강북구,65~74,여,28.2
강북구,75 이상,계,48.2
강북구,75 이상,남,37.0
강북구,75 이상,여,56.8
중구,계,계,17.2
중구,계,남,14.6
중구,계,여,19.5
중구,19~44,계,3.5
중구,19~44,남,2.8
중구,19~44,여,4.2
중구,45~64,계,12.3
중구,45~64,남,12.2
중구,45~64,여,12.4
중구,65~74,계,27.1
중구,65~74,남,21.2
중구,65~74,여,32.7
중구,75 이상,계,56.5
중구,75 이상,남,52.5
중구,75 이상,여,58.8
용산구,계,계,13.9
용산구,계,남,12.3
용산구,계,여,15.3
용산구,19~44,계,5.5
용산구,19~44,남,3.9
용산구,19~44,여,6.8
용산구,45~64,계,6.4
용산구,45~64,남,8.1
용산구,45~64,여,4.8
용산구,65~74,계,16.5
용산구,65~74,남,13.7
용산구,65~74,여,18.4
용산구,75 이상,계,42.6
용산구,75 이상,남,35.7
용산구,75 이상,여,48.2
송파구,계,계,9.8
송파구,계,남,8.2
송파구,계,여,10.9
송파구,19~44,계,3.5
송파구,19~44,남,3.5
송파구,19~44,여,3.6
송파구,45~64,계,9.2
송파구,45~64,남,8.0
송파구,45~64,여,10.1
송파구,65~74,계,16.2
송파구,65~74,남,11.3
송파구,65~74,여,19.3
송파구,75 이상,계,37.1
송파구,75 이상,남,32.1
송파구,75 이상,여,41.2
성동구,계,계,18.3
성동구,계,남,16.2
성동구,계,여,19.9
성동구,19~44,계,8.3
성동구,19~44,남,10.3
성동구,19~44,여,6.6
성동구,45~64,계,14.3
성동구,45~64,남,10.9
성동구,45~64,여,16.9
성동구,65~74,계,25.2
성동구,65~74,남,20.3
성동구,65~74,여,30.0
성동구,75 이상,계,53.8
성동구,75 이상,남,44.7
성동구,75 이상,여,60.0
서초구,계,계,8.5
서초구,계,남,7.2
서초구,계,여,9.5
서초구,19~44,계,3.6
서초구,19~44,남,5.0
서초구,19~44,여,2.2
서초구,45~64,계,7.5
서초구,45~64,남,6.3
서초구,45~64,여,8.3
서초구,65~74,계,14.4
서초구,65~74,남,14.6
서초구,65~74,여,14.3
서초구,75 이상,계,26.8
서초구,75 이상,남,14.3
서초구,75 이상,여,36.2
동대문구,계,계,15.0
동대문구,계,남,11.4
동대문구,계,여,18.1
동대문구,19~44,계,8.0
동대문구,19~44,남,8.1
