자치구,공원 면적,1인당 공원 면적,공원 수,행정구역면적,공원면적,공원율
서울시,"168,896.8",16.9,"2,868","605,237,002","168,896,780",27.91
종로구,"11,556.1",71.4,106,"23,913,280","11,556,112",48.33
중구,"3,155.1",23.1,73,"9,959,983","3,155,139",31.68
용산구,"1,779.6",7.3,110,"21,866,384","1,779,562",8.14
성동구,"3,100.0",10,86,"16,859,343","3,100,047",18.39
광진구,"3,363.5",9.2,60,"17,062,949","3,363,481",19.71
동대문구,"1,275.1",3.5,95,"14,215,360","1,275,134",8.97
중랑구,"5,205.3",12.9,101,"18,496,071","5,205,284",28.14
성북구,"8,329.4",18.3,133,"24,574,349","8,329,401",33.89
강북구,"14,342.3",45.1,82,"23,600,102","14,342,272",60.77
도봉구,"10,075.0",30,79,"20,660,965","10,075,021",48.76
노원구,"14,344.4",26.7,181,"35,437,538","14,344,421",40.48
은평구,"13,991.6",28.9,130,"29,711,421","13,991,566",47.09
서대문구,"5,143.3",15.9,118,"17,625,638","5,143,254",29.18
마포구,"4,440.0",11.5,142,"23,851,343","4,440,002",18.62
양천구,"2,912.0",6.3,121,"17,405,710","2,912,035",16.73
강서구,"4,370.3",7.3,170,"41,436,853","4,370,320",10.55
구로구,"3,336.1",7.6,104,"20,120,106","3,336,138",16.58
금천구,"2,206.2",8.8,55,"13,020,260","2,206,213",16.94
영등포구,"3,050.4",7.6,108,"24,548,520","3,050,378",12.43
동작구,"4,584.2",11.2,78,"16,354,618","4,584,220",28.03
관악구,"10,976.9",21.2,110,"29,568,929","10,976,868",37.12
서초구,"16,081.0",37,177,"46,983,285","16,080,991",34.23
강남구,"6,594.3",12,155,"39,501,013","6,594,334",16.69
송파구,"4,644.8",6.8,169,"33,872,729","4,644,814",13.71
강동구,"3,369.8",7.7,124,"24,590,256","3,369,773",13.7
