,관리번호,공원명,위도,경도,공원면적,자치구
150,11680-00061,학동공원,37.511646,127.0387639,1498.5,강남구
151,11680-00062,신사은행나무공원,37.521114,127.021627,1240.1,강남구
152,11680-00063,신사목련공원,37.522898,127.017064,1001.1,강남구
153,11680-00064,신사무궁화공원,37.524131,,1641.8,강남구
154,11680-00065,신사까치공원,,127.020466,992.9,강남구
155,11680-00066,신사개나리공원,37.526208,127.027304,991.3,강남구
156,11680-00067,압구정목련공원,37.53268534,127.0322088,2027.2,강남구
157,11680-00068,압구정은행나무공원,37.530689,127.022677,2547.4,강남구
158,11680-00069,삼성목련공원,37.518515,127.045196,1641.4,강남구
159,11680-00070,삼성까치공원,37.518324,127.051865,1462.9,강남구
160,11680-00071,청담은행나무공원,37.525154,127.0442417,1643.8,강남구
161,11680-00072,청담목련공원,37.522979,127.041076,1642.1,강남구
162,11680-00073,도곡까치공원,37.483326,127.0451093,1793.8,강남구
163,11680-00074,도곡목련공원,37.484915,,1709.2,강남구
164,11680-00075,역삼장미공원,37.495327,127.035846,1636.6,강남구
165,11680-00076,역삼까치공원,37.497225,127.021971,987.2,강남구
166,11680-00077,역삼무궁화공원,37.493835,127.032209,991.5,강남구
167,11680-00078,역삼개나리공원,37.497571,127.0362551,1635.0,강남구
168,11680-00079,역삼소나무공원,37.490961,127.024931,987.3,강남구
169,11680-00080,역삼은행나무공원,37.505409,,1647.1,강남구
170,11680-00081,대치목련공원,37.49982553,127.0581713,1649.1,강남구
171,11680-00082,대치까치공원,37.496941,127.058458,992.2,강남구
172,11680-00083,대치은행나무공원,37.501649,127.0515319,1618.7,강남구
173,11680-00084,개포까치공원,37.48370515,127.0608782,1690.2,강남구
174,11680-00085,개포공원,37.485235,127.067125,4793.8,강남구
175,11680-00086,개포개나리공원,37.485235,127.067125,1500.6,강남구
176,11680-00087,개포은행나무공원,37.47602964,127.0492625,1641.7,강남구
177,11680-00088,개포목련공원,37.474238,127.043675,1639.1,강남구
178,11680-00089,일원은행나무공원,37.492002,127.068214,1500.3,강남구
180,11680-00031,길섶근린공원,37.498081,127.046708,1580.6,강남구
181,11680-00032,매봉근린공원,37.492589,127.045762,6146.9,강남구
182,11680-00033,봉은근린공원,37.498247,127.047136,1147.7,강남구
183,11680-00034,배꽃근린공원,37.516663,127.040299,1592.9,강남구
184,11680-00035,반달근린공원,,127.040616,679.3,강남구
185,11680-00036,샘터근린공원,37.514379,127.060169,1799.5,강남구
186,11680-00037,학봉근린공원,,127.053987,1343.0,강남구
