자치구,총 도시림 면적,생활권 도시림 면적,1인당 총 도시림 면적,1인당 생활권 도시림 면적
서울시,180287524.33767545,66846771.33767543,18.53073713113397,6.870802360142141
종로구,13277114.3,2501869.3,87.75936479608698,16.53691123008791
중구,5417625.7,1506737.7,42.93875533997512,11.94202867536914
용산구,2005971,809094,8.772340053351991,3.538260375213189
성동구,1388926,1184497,4.616074366294547,3.9366577043361506
광진구,6073160.28,1287528.28,17.28521497082681,3.6645176604525402
동대문구,1470284.05,847482.05,4.246994604181471,2.4479975100666103
중랑구,6274698,1477730,15.804687480321903,3.722101180056169
성북구,8813956,1009189,19.91179487179487,2.279880266576302
강북구,11500610,2099240,36.6315128967938,6.686457251699293
도봉구,2992345,1452016,8.976263041378441,4.355673412086561
노원구,14715090,1457052,27.612970416866045,2.734168378979368
은평구,11318891,2608784,23.57945095326978,5.434604359709352
서대문구,6748518,1028651,21.81184045094167,3.3246961024185753
마포구,3977249.95,3956309.95,10.633363054259629,10.577378988597324
양천구,3659173,1860690,7.986583436098349,4.0611788329531935
강서구,8294106.057675432,4322172.057675432,14.01514382941999,7.303483054423201
구로구,3432140,1325089,8.439743867172899,3.258436940570102
금천구,3126930,413950,13.431252953051844,1.7780593617112668
영등포구,2558024,2525751,6.957239758701908,6.869464585860454
동작구,3862343,2338377,9.754302801019287,5.90554420488783
관악구,15833597,539962,31.661241686562928,1.0797210124496595
서초구,16751343,16088754,38.88192216811427,37.34397181228616
강남구,14160969,4560597,25.975374608607606,8.365473825547674
송파구,5691832,5685855,8.420355612232067,8.411513386127305
강동구,6942628,3959394,15.921012138043007,9.079783611234053
