기간	대분류	분류	반려동물 여부	반려동물 여부	반려동물 취득경로	반려동물 취득경로	반려동물 취득경로	반려동물 취득경로	반려동물 취득경로	반려동물 취득경로
기간	대분류	분류	있다	없다	동물판매업소	유상입양	무상입양	인터넷을 통해 구입	유기동물 입양	원래 기르던 동물이 낳은 새끼
2019	서울시	서울시	20.1	79.9	25.1	17.3	35.7	4.4	11.6	5.9
2019	성별	남자	18.7	81.3	26.1	17.2	36.2	4.6	10.1	5.9
2019	성별	여자	23.9	76.1	23.2	17.5	34.5	4.1	14.6	6.1
2019	연령별	20대 이하	20.4	79.6	25.5	14.3	33.7	7.3	15.4	3.7
2019	연령별	30대	20.5	79.5	29.8	17.4	29.3	4.8	14.9	3.9
2019	연령별	40대	19.6	80.4	27.4	17.3	29.6	6.6	14	5.1
2019	연령별	50대	21.6	78.4	27.5	18.8	35	2.2	10.7	5.8
2019	연령별	60대 이상	19.4	80.6	19.7	17	43.3	3.8	8.1	8.1
2019	학력별	중졸 이하	17.3	82.7	22.5	15.3	42	4.2	7.1	8.9
2019	학력별	고졸 이하	20.5	79.5	22.6	17	40.9	2.6	10.3	6.6
2019	학력별	대졸 이하	20.4	79.6	26.7	18.3	32.1	5.1	13	4.7
2019	학력별	대학원 이상	30	70	32.4	11.8	19.2	10.1	20.6	5.9
2019	주택형태	단독주택	20.7	79.3	24.6	17.3	38.3	4	10.3	5.5
2019	주택형태	아파트	22.2	77.8	25	17.4	34.8	4.7	11.4	6.7
2019	주택형태	다세대주택	17.2	82.8	28.2	16	33.8	3.7	13.5	4.8
2019	주택형태	연립/기타	16	84	21.7	18.9	34.9	6.1	13.4	5
2019	입주형태	자가	22	78	23	17.8	39.9	3	9.5	6.8
2019	입주형태	전세	19.1	80.9	29.8	17.2	33	3.3	11.1	5.7
2019	입주형태	월세/기타	18.5	81.5	24.5	16.6	31.3	7.7	15.2	4.8
2019	가구원수	1인	19.9	80.1	22.1	16.7	37.2	5.5	13.4	5.1
2019	가구원수	2인	22.3	77.7	25.1	17.8	36.3	4.6	9.6	6.6
2019	가구원수	3인	19.7	80.3	26.2	17.9	34.9	2.3	12.6	6
2019	가구원수	4인	18	82	31.1	15.1	31.2	5.1	11.9	5.7
2019	가구원수	5인 이상	19.7	80.3	21.5	22.2	39	3.7	6.1	7.5
2019	소득	100 만원 미만	8.3	91.7	23.6	9.7	36.6	4.4	13	12.7
2019	소득	100-200만 미만	19.7	80.3	11.3	14.9	52.5	5.5	6.4	9.3
2019	소득	200-300만 미만	21.6	78.4	26.5	15.6	35.7	2.6	14.5	5.1
2019	소득	300-400만 미만	18.6	81.4	25.3	23.7	30.5	6.5	10.1	3.9
2019	소득	400-500만 미만	20	80	26.1	16.9	35.4	2.6	14.1	4.9
2019	소득	500만원 이상	23	77	28.4	16.8	32.6	4.8	11.3	6.1
2019	지역대분류	도심권	18.9	81.1	14	19.7	43.2	2.7	17.5	2.8
2019	지역대분류	동북권	20.3	79.7	24.6	17.4	37.9	2.4	10.2	7.5
2019	지역대분류	서북권	18.6	81.4	20.5	17.3	34.7	8.9	11.9	6.8
2019	지역대분류	서남권	20.1	79.9	26.6	15.6	34.9	6.2	10.2	6.6
2019	지역대분류	동남권	21.2	78.8	28.8	19.1	32	3	14.2	2.9
2019	종로구	종로구	19.9	80.1	4.5	18.3	38.6	5.2	29.8	3.6
2019	중구	중구	17.4	82.6	17.4	27.3	45.2	1.1	5.7	3.3
2019	용산구	용산구	19.1	80.9	19.2	16.8	45.5	1.7	14.9	2
2019	성동구	성동구	18.8	81.2	25.2	22.3	39.9	1.1	4.8	6.8
2019	광진구	광진구	21.6	78.4	30.4	15.8	29	4.4	12.8	7.4
2019	동대문구	동대문구	19.9	80.1	30.2	22.3	30.2	4.1	8	5.2
2019	중랑구	중랑구	19.5	80.5	28	15.2	32.1	2.4	13.4	8.9
2019	성북구	성북구	22	78	16.1	19.4	49.5	1.4	11.9	1.7
2019	강북구	강북구	18.8	81.2	23.2	6.7	59.3	1.5	4.6	4.7
2019	도봉구	도봉구	19.2	80.8	19	28.5	41.3	2.2	5.2	3.9
2019	노원구	노원구	21.4	78.6	25.1	11.8	29.1	2.1	14.8	17.2
2019	은평구	은평구	17.6	82.4	30.5	17.2	33.2	1.5	10.8	6.9
2019	서대문구	서대문구	17.7	82.3	11.7	16.6	37.7	12.7	14.8	6.6
2019	마포구	마포구	20.5	79.5	16.7	17.8	34.1	13.7	11	6.8
2019	양천구	양천구	17.4	82.6	43.9	7.8	34.6	3.7	6.9	3.1
2019	강서구	강서구	19.8	80.2	18.5	26.6	40.5	1.9	5.1	7.4
2019	구로구	구로구	20.5	79.5	22	11	29.4	8.5	13.7	15.4
2019	금천구	금천구	20.3	79.7	28.3	26.2	24.5	6	11.1	3.9
2019	영등포구	영등포구	24.9	75.1	25.1	8.8	34.2	11.2	17.2	3.5
2019	동작구	동작구	23	77	36.2	13	32.8	9.2	4.2	4.6
2019	관악구	관악구	17.1	82.9	19.5	15.4	40.4	3.7	14	7.1
2019	서초구	서초구	21.8	78.2	30.8	19.1	28.3	2.7	14.5	4.6
2019	강남구	강남구	23.5	76.5	19.2	18.2	35.3	3.2	21	3.1
2019	송파구	송파구	19.4	80.6	38.4	19.8	28.4	3.2	9	1.1
2019	강동구	강동구	20.3	79.7	26.7	19.6	36.2	2.6	11.2	3.6
