기간	자치구	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)
기간	자치구	공원	공원	도시공원	도시공원	생활권 공원	생활권 공원
기간	자치구	면적	1인당공원면적	면적	1인당도시공원면적	면적	1인당생활권공원면적
2008	서울시	168,151.0	16.1	112,511.0	10.8	56,696.0	5
2008	종로구	10,653.0	61.3	6,243.0	35.9	2,888.0	61.3
2008	중구	1,855.0	14.2	1,834.0	14.1	437	14.2
2008	용산구	2,564.0	10.3	1,938.0	7.8	1,285.0	10.3
2008	성동구	2,955.0	8.7	1,021.0	3	2,949.0	8.7
2008	광진구	3,396.0	8.8	2,946.0	7.6	1,235.0	8.8
2008	동대문구	1,208.0	3.1	983	2.6	1,186.0	3.1
2008	중랑구	5,113.0	11.9	4,935.0	11.4	1,699.0	11.9
2008	성북구	7,716.0	16.2	4,015.0	8.4	1,952.0	16.2
2008	강북구	14,318.0	41.1	1,574.0	4.5	1,639.0	41.1
2008	도봉구	10,499.0	28.1	1,056.0	2.8	1,306.0	28.1
2008	노원구	14,126.0	22.7	13,851.0	22.3	3,035.0	22.7
2008	은평구	15,700.0	33.9	6,154.0	13.3	3,165.0	33.9
2008	서대문구	5,480.0	16.5	4,818.0	14.5	2,026.0	16.5
2008	마포구	4,997.0	12.5	2,134.0	5.3	4,951.0	12.5
2008	양천구	2,858.0	5.6	2,442.0	4.8	1,698.0	5.6
2008	강서구	3,916.0	6.9	3,149.0	5.6	3,915.0	6.9
2008	구로구	3,134.0	7	2,805.0	6.3	1,566.0	7
2008	금천구	2,189.0	8.3	2,030.0	7.7	390	8.3
2008	영등포구	2,152.0	5.3	706	1.7	2,113.0	5.3
2008	동작구	3,970.0	9.6	3,784.0	9.1	1,861.0	9.6
2008	관악구	10,954.0	19.9	10,947.0	19.9	1,319.0	19.9
2008	서초구	15,817.0	38.4	15,022.0	36.5	3,701.0	38.4
2008	강남구	5,674.0	10	4,651.0	8.2	3,413.0	10
2008	송파구	4,686.0	7.1	2,078.0	3.1	4,685.0	7.1
2008	강동구	3,056.0	6.5	2,232.0	4.8	2,283.0	6.5
2008	서울대공원	9,163.0	-	9,163.0	-	-	-
2009	서울시	169,047.0	16.2	113,754.0	10	50,902.0	4.9
2009	종로구	11,464.0	64.6	7,059.0	39.8	3,645.0	20.5
2009	중구	2,517.0	18.3	2,468.0	17.9	836	6.1
2009	용산구	1,395.0	5.6	768	3.1	1,197.0	4.8
2009	성동구	2,869.0	9.1	1,023.0	3.2	2,818.0	8.9
2009	광진구	3,396.0	8.8	2,946.0	7.6	1,231.0	3.2
2009	동대문구	1,280.0	3.4	1,034.0	2.8	1,149.0	3.1
2009	중랑구	5,206.0	12.1	5,027.0	11.7	1,660.0	3.9
2009	성북구	8,115.0	16.8	4,419.0	9.1	2,130.0	4.4
2009	강북구	14,349.0	41.7	1,574.0	4.6	1,474.0	4.3
2009	도봉구	10,453.0	28.1	1,056.0	2.8	1,252.0	3.4
2009	노원구	14,126.0	23	13,851.0	22.5	2,567.0	4.2
2009	은평구	15,720.0	33.4	6,186.0	13.1	786	1.7
2009	서대문구	5,564.0	16.5	4,885.0	14.5	1,971.0	5.9
2009	마포구	5,050.0	12.9	2,198.0	5.6	4,621.0	11.8
2009	양천구	2,858.0	5.6	2,443.0	4.8	1,831.0	3.6
2009	강서구	4,024.0	7	3,257.0	5.6	2,970.0	5.1
2009	구로구	3,134.0	7	2,805.0	6.2	1,053.0	2.3
2009	금천구	2,189.0	8.3	2,030.0	7.7	376	1.4
2009	영등포구	2,176.0	4.9	726	1.6	2,052.0	4.6
2009	동작구	4,106.0	10.1	3,920.0	9.6	3,089.0	7.6
2009	관악구	10,954.0	20	10,947.0	20	1,280.0	2.3
2009	서초구	15,816.0	36.7	15,021.0	34.8	2,094.0	4.9
2009	강남구	5,672.0	10	4,649.0	8.2	2,599.0	4.6
2009	송파구	4,688.0	6.8	2,078.0	3	4,517.0	6.6
2009	강동구	2,793.0	5.7	2,251.0	4.6	1,701.0	3.5
2009	서울대공원	9,133.0	-	9,133.0	-	-	-
2010	서울시	169,792.3	16.1	114,473.9	10.8	51,065.6	4.8
2010	종로구	10,900.9	60.8	6,448.1	36	3,039.6	16.9
2010	중구	3,125.3	22.1	3,076.5	21.8	1,441.1	10.2
2010	용산구	1,350.2	5.3	770.6	3	1,197.4	4.7
2010	성동구	2,869.5	9.1	1,026.9	3.2	2,815.4	8.9
2010	광진구	3,396.1	8.7	2,950.0	7.6	1,233.8	3.2
2010	동대문구	1,237.8	3.3	993.7	2.6	1,116.1	2.9
2010	중랑구	5,206.9	12	5,026.4	11.6	1,687.0	3.9
2010	성북구	8,163.7	16.4	4,462.3	9	2,182.3	4.4
2010	강북구	14,336.4	41	1,574.4	4.5	1,474.5	4.2
2010	도봉구	10,500.3	28.3	1,098.7	3	1,311.5	3.5
2010	노원구	14,125.8	23	13,851.0	22.5	2,576.9	4.2
2010	은평구	15,855.6	32.2	6,300.4	12.8	800.6	1.6
2010	서대문구	5,569.8	16.7	4,893.6	14.7	1,970.5	5.9
2010	마포구	5,082.2	12.7	2,209.2	5.5	4,686.2	11.7
2010	양천구	2,865.5	5.7	2,443.0	4.8	1,838.8	3.6
2010	강서구	4,004.1	6.9	3,236.8	5.6	2,950.3	5.1
2010	구로구	3,169.9	7	2,848.4	6.3	1,071.4	2.4
2010	금천구	2,189.5	8.3	2,030.3	7.7	376.2	1.4
2010	영등포구	2,184.4	4.9	739.3	1.7	2,058.4	4.6
2010	동작구	4,565.3	11	4,375.9	10.6	3,092.9	7.5
2010	관악구	10,964.9	19.9	10,958.2	19.9	1,280.4	2.3
2010	서초구	15,822.5	36	15,027.5	34.2	2,100.2	4.8
2010	강남구	5,671.7	9.8	4,648.7	8.1	2,416.5	4.2
2010	송파구	4,685.8	6.8	2,078.1	3	4,516.5	6.5
2010	강동구	2,815.2	5.7	2,273.0	4.6	1,830.8	3.7
2010	서울대공원	9,132.8	-	9,132.8	-	-	-
2011	서울시	170,002.5	16.1	114,728.8	10.9	51,181.0	4.9
2011	종로구	10,898.6	61.4	6,444.7	36.3	3,036.2	17.1
2011	중구	3,129.7	22.1	3,080.2	21.8	1,441.7	10.2
2011	용산구	1,352.7	5.2	770.6	3	1,212.4	4.7
2011	성동구	2,955.2	9.6	1,113.3	3.6	2,810.2	9.1
2011	광진구	3,395.6	8.8	2,950.0	7.6	1,233.8	3.2
2011	동대문구	1,237.1	3.3	994.4	2.6	1,120.7	3
2011	중랑구	5,242.9	12.2	5,062.4	11.8	1,686.8	3.9
2011	성북구	8,166.7	16.5	4,465.3	9	2,185.6	4.4
2011	강북구	14,338.8	41.1	1,576.7	4.5	1,479.3	4.2
2011	도봉구	10,505.1	28.6	1,150.4	3.1	1,260.2	3.4
2011	노원구	14,125.8	23.2	13,851.0	22.8	2,576.9	4.2
2011	은평구	15,855.6	31.8	6,300.4	12.6	800.6	1.6
2011	서대문구	5,579.5	17.2	4,902.9	15.1	1,973.2	6.1
2011	마포구	5,082.2	12.7	2,209.2	5.5	4,686.2	11.8
2011	양천구	2,865.5	5.7	2,443.0	4.8	1,838.8	3.6
2011	강서구	4,004.1	7	3,236.8	5.6	2,950.3	5.1
2011	구로구	3,186.9	6.9	2,865.4	6.2	1,071.4	2.3
2011	금천구	2,189.5	8.3	2,030.3	7.7	376.2	1.4
2011	영등포구	2,189.8	5	744.7	1.7	2,056.7	4.7
2011	동작구	4,567.5	11	4,378.2	10.6	3,089.1	7.5
2011	관악구	10,973.6	20.1	10,966.9	20.1	1,279.3	2.3
2011	서초구	15,822.5	36	15,027.5	34.2	2,100.2	4.8
2011	강남구	5,671.7	9.9	4,648.7	8.1	2,416.5	4.2
2011	송파구	4,717.8	6.8	2,110.0	3.1	4,667.6	6.8
2011	강동구	2,815.2	5.6	2,273.0	4.5	1,830.8	3.7
2011	서울대공원	9,132.8	-	9,132.8	-	-	-
2012	서울시	169,125.4	16.2	115,938.5	11.1	52,489.0	5
2012	종로구	11,643.9	67.2	6,520.0	37.7	3,044.9	17.6
2012	중구	3,129.8	22.2	3,080.2	21.9	1,447.5	10.3
2012	용산구	1,352.7	5.3	770.6	3	1,212.4	4.7
2012	성동구	2,955.0	9.6	1,113.3	3.6	2,818.1	9.2
2012	광진구	3,395.6	8.8	2,950.0	7.7	1,233.8	3.2
2012	동대문구	1,238.1	3.3	995.5	2.6	1,120.7	3
2012	중랑구	5,242.9	12.4	5,062.4	11.9	1,686.8	4
2012	성북구	8,391.2	17.1	4,468.8	9.1	2,191.7	4.5
2012	강북구	14,336.6	41.4	2,279.2	6.6	2,147.6	6.2
2012	도봉구	10,059.1	27.6	1,150.4	3.2	1,260.2	3.5
2012	노원구	14,142.4	23.5	13,847.4	23	2,576.9	4.3
2012	은평구	14,026.1	27.7	6,249.5	12.4	818.3	1.6
2012	서대문구	5,506.9	17	4,901.3	15.1	1,973.2	6.1
2012	마포구	5,214.1	13.2	2,341.1	5.9	4,776.1	12.1
2012	양천구	2,906.1	5.8	2,483.5	5	1,879.3	3.8
2012	강서구	4,004.1	7	3,236.8	5.6	2,950.3	5.1
2012	구로구	3,186.9	7	2,865.4	6.3	1,262.4	2.8
2012	금천구	2,189.5	8.4	2,030.3	7.8	376.2	1.4
2012	영등포구	2,193.7	5.1	748.6	1.8	2,060.6	4.8
