기간	자치구	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)
기간	자치구	공원	공원	도시공원	도시공원	생활권 공원	생활권 공원
기간	자치구	면적	1인당공원면적	면적	1인당도시공원면적	면적	1인당생활권공원면적
2017	서울시	168,374.6	16.6	114,990.9	11.4	55,627.6	5.5
2017	종로구	11,569.7	70.4	6,448.6	39.3	3,055.9	18.6
2017	중구	3,132.0	23.3	3,082.4	22.9	1,453.7	10.8
2017	용산구	1,794.1	7.3	781.7	3.2	1,657.2	6.8
2017	성동구	3,101.4	9.9	1,260.0	4	2,973.9	9.5
2017	광진구	3,359.2	9	2,913.1	7.8	1,234.4	3.3
2017	동대문구	1,275.6	3.5	1,033.5	2.8	1,192.5	3.3
2017	중랑구	5,206.5	12.6	5,023.8	12.2	1,723.8	4.2
2017	성북구	8,338.1	18.3	4,415.7	9.7	2,195.2	4.8
2017	강북구	14,337.6	43.7	2,280.2	7	2,145.1	6.5
2017	도봉구	10,083.6	29.1	1,165.9	3.4	1,276.2	3.7
2017	노원구	14,337.7	25.7	13,850.2	24.8	2,794.1	5
2017	은평구	13,997.9	28.5	6,228.9	12.7	1,251.8	2.6
2017	서대문구	5,136.2	15.8	4,898.2	15.1	1,648.0	5.1
2017	마포구	4,439.9	11.5	3,126.8	8.1	4,312.6	11.2
2017	양천구	2,909.9	6.1	2,487.3	5.2	1,886.6	4
2017	강서구	4,329.3	7.1	3,244.9	5.3	3,665.6	6
2017	구로구	3,190.6	7.2	2,868.7	6.5	1,337.9	3
2017	금천구	2,206.2	8.7	2,042.2	8.1	404.1	1.6
2017	영등포구	3,092.6	7.7	746.1	1.9	2,966.0	7.4
2017	동작구	4,585.7	11.2	4,391.7	10.8	3,123.9	7.7
2017	관악구	10,975.7	21.1	10,969.2	21.1	1,282.7	2.5
2017	서초구	15,883.2	35.7	15,079.8	33.9	2,287.0	5.1
2017	강남구	6,591.7	11.8	5,302.0	9.5	3,565.4	6.4
2017	송파구	4,445.7	6.6	1,837.7	2.7	4,222.8	6.3
2017	강동구	3,384.6	7.7	2,842.4	6.5	1,971.2	4.5
2017	서울대공원	6,670.0	-	6,670.0	-	-	-
