기간	구분	행정구역면적(㎡)	공원면적(㎡)	공원면적(㎡)	조성면적(㎡)	미조성면적(㎡)
기간	구분	행정구역면적(㎡)	합계	공원율(%)	조성면적(㎡)	미조성면적(㎡)
2010	합계	605,251,484	169,792,302	28.05	144,759,519	25,032,783
2010	종로구	23,907,423	10,900,949	45.6	10,802,910	98,039
2010	중구	9,959,933	3,125,323	31.38	3,084,747	40,576
2010	용산구	21,867,354	1,350,163	6.17	1,197,445	152,718
2010	성동구	16,848,684	2,869,532	17.03	2,815,413	54,119
2010	광진구	17,062,040	3,396,085	19.9	3,356,316	39,769
2010	동대문구	14,200,631	1,237,813	8.72	1,116,125	121,688
2010	중랑구	18,497,619	5,206,879	28.15	5,096,413	110,466
2010	성북구	24,564,862	8,163,714	33.23	7,919,436	244,279
2010	강북구	23,612,464	14,336,403	60.72	14,193,561	142,842
2010	도봉구	20,701,775	10,500,330	50.72	10,460,518	39,812
2010	노원구	35,436,378	14,125,799	39.86	13,639,305	486,495
2010	은평구	29,693,429	15,855,632	53.4	12,302,859	3,552,773
2010	서대문구	17,604,644	5,569,794	31.64	5,431,034	138,760
2010	마포구	23,878,863	5,082,176	21.28	4,699,473	382,703
2010	양천구	17,404,771	2,865,537	16.46	1,838,764	1,026,773
2010	강서구	41,426,778	4,004,108	9.67	2,950,311	1,053,797
2010	구로구	20,120,845	3,169,940	15.75	1,071,374	2,098,566
2010	금천구	13,000,338	2,189,460	16.84	2,175,172	14,288
2010	영등포구	24,565,689	2,184,367	8.89	2,058,431	125,936
2010	동작구	16,348,781	4,565,309	27.92	4,496,890	68,419
2010	관악구	29,568,333	10,964,935	37.08	10,867,520	97,415
2010	서초구	47,003,193	15,822,490	33.66	4,632,457	11,190,033
2010	강남구	39,514,482	5,671,726	14.35	2,416,541	3,255,185
2010	송파구	33,877,674	4,685,813	13.83	4,516,512	169,301
2010	강동구	24,584,502	2,815,222	11.45	2,487,191	328,031
2010	서울대공원	-	9,132,803	-	9,132,803	-
2011	합계	605,207,639	170,002,535	28.09	144,920,657	25,081,878
2011	종로구	23,907,066	10,898,612	45.59	10,787,957	110,655
2011	중구	9,960,980	3,129,681	31.42	3,085,978	43,703
2011	용산구	21,867,848	1,352,723	6.19	1,215,005	137,718
2011	성동구	16,849,230	2,955,224	17.54	2,809,522	145,703
2011	광진구	17,063,205	3,395,585	19.9	3,355,816	39,769
2011	동대문구	14,202,512	1,237,089	8.71	1,119,315	117,774
2011	중랑구	18,497,283	5,242,896	28.34	5,096,216	146,680
2011	성북구	24,566,950	8,166,745	33.24	7,922,654	244,091
2011	강북구	23,595,514	14,338,750	60.77	14,198,406	140,344
2011	도봉구	20,701,742	10,505,131	50.75	10,465,320	39,812
2011	노원구	35,435,559	14,125,799	39.86	13,639,305	486,495
2011	은평구	29,694,750	15,855,632	53.4	12,302,859	3,552,773
2011	서대문구	17,604,570	5,579,538	31.69	5,434,306	145,232
2011	마포구	23,841,119	5,082,176	21.32	4,699,473	382,703
2011	양천구	17,405,468	2,865,537	16.46	1,838,764	1,026,773
2011	강서구	41,425,528	4,004,108	9.67	2,950,311	1,053,797
2011	구로구	20,121,865	3,186,942	15.84	1,071,374	2,115,568
