기간	자치구	합계	합계	합계	자연공원	자연공원	자연공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	기타공원	기타공원	기타공원
기간	자치구	합계	합계	합계	자연공원	자연공원	자연공원	계	계	계	어린이공원	어린이공원	소공원	소공원	근린공원	근린공원	근린공원	도시자연공원	도시자연공원	도시자연공원	묘지공원	묘지공원	문화공원	문화공원	체육공원	체육공원	역사공원	역사공원	수변공원	수변공원	기타공원	기타공원	기타공원
기간	자치구	공원수	(중복)	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	(중복)	면적
2008	합계	2,465	32	168,150.7	2	4	39,448.0	1,913	25	112,510.7	1,284	2,102.0	203	252	377	13	39,883.0	20	12	66,690.0	5	3,060.0	13	283.7	3	53	3	151	5	36	550	3	16,192.0
2008	종로구	100	1	10,654.0	1	-	4,328.0	68	1	6,243.0	31	71	7	2	28	-	2,436.0	2	1	3,734.0	-	-	-	-	-	-	-	-	-	-	31	-	83
2008	중구	56	2	1,855.0	-	-	-	47	2	1,834.0	23	40	14	14	7	2	223	1	-	1,525.0	-	-	1	2	1	30	-	-	-	-	9	-	21
2008	용산구	68	1	2,564.0	-	-	-	46	1	1,938.0	31	50	7	15	8	1	500	-	-	1,373.0	-	-	-	-	-	-	-	-	-	-	22	-	626
2008	성동구	80	1	2,955.0	-	-	-	54	1	1,021.0	35	57	7	6	11	1	955	-	-	-	-	-	-	-	1	3	-	-	-	-	26	-	1,934.0
2008	광진구	56	2	3,396.0	-	-	-	40	1	2,946.0	36	39	1	1	2	-	562	-	1	2,307.0	-	-	-	-	-	-	1	37	-	-	16	1	450
2008	동대문구	99	1	1,208.0	-	-	-	80	1	983	50	96	17	22	13	1	865	-	-	-	-	-	-	-	-	-	-	-	-	-	19	-	225
2008	중랑구	82	-	5,113.0	-	-	-	54	-	4,935.0	42	54	5	4	5	-	1,243.0	1	-	2,801.0	1	833	-	-	-	-	-	-	-	-	28	-	178
2008	성북구	118	5	7,716.0	-	1	3,643.0	65	4	4,015.0	33	90	21	25	9	3	1,622.0	1	1	2,276.0	-	-	-	-	-	-	-	-	1	2	53	-	58
2008	강북구	67	1	14,319.0	1	-	12,559.0	47	1	1,574.0	42	58	3	3	2	-	1,385.0	-	1	128	-	-	-	-	-	-	-	-	-	-	19	-	186
2008	도봉구	65	2	10,499.0	-	1	9,191.0	43	1	1,056.0	39	50	2	2	2	1	1,004.0	-	-	-	-	-	-	-	-	-	-	-	-	-	22	-	252
2008	노원구	146	-	14,126.0	-	-	-	126	-	13,851.0	92	171	1	2	27	-	1,627.0	2	-	12,024.0	-	-	4	27	-	-	-	-	-	-	20	-	275
2008	은평구	107	3	15,698.7	-	1	9,453.0	77	2	6,153.7	43	71	13	18	18	1	2,735.0	2	1	3,324.0	-	-	1	5.7	-	-	-	-	-	-	30	-	92
2008	서대문구	105	3	5,480.0	-	1	274	62	2	4,818.0	45	97	9	6	7	-	1,265.0	1	2	3,450.0	-	-	-	-	-	-	-	-	-	-	43	-	388
2008	마포구	107	-	4,996.0	-	-	-	86	-	2,134.0	56	73	14	17	11	-	2,016.0	-	-	-	1	13	4	15	-	-	-	-	-	-	21	-	2,862.0
2008	양천구	115	1	2,859.0	-	-	-	98	1	2,442.0	71	122	9	20	17	-	1,079.0	-	1	1,003.0	-	-	1	218	-	-	-	-	-	-	17	-	417
2008	강서구	161	-	3,916.0	-	-	-	150	-	3,149.0	124	189	2	2	23	-	2,938.0	-	-	-	-	-	-	-	1	20	-	-	-	-	11	-	767
2008	구로구	103	1	3,135.0	-	-	-	50	1	2,805.0	26	53	9	17	13	1	1,049.0	2	-	1,686.0	-	-	-	-	-	-	-	-	-	-	53	-	330
2008	금천구	51	1	2,189.0	-	-	-	44	1	2,030.0	41	41	-	-	3	-	33	-	1	1,956.0	-	-	-	-	-	-	-	-	-	-	7	-	159
2008	영등포구	98	-	2,152.0	-	-	-	68	-	706	30	90	24	36	13	-	577	-	-	-	-	-	-	-	-	-	1	3	-	-	30	-	1,446.0
2008	동작구	73	1	3,970.0	-	-	-	61	-	3,784.0	37	46	11	11	10	-	1,629.0	-	-	-	2	2,086.0	1	12	-	-	-	-	-	-	12	1	186
2008	관악구	102	2	10,954.0	-	-	-	89	2	10,947.0	72	78	7	10	4	2	400	1	-	10,421.0	-	-	1	4	-	-	-	-	4	34	13	-	7
2008	서초구	128	-	15,817.0	-	-	-	117	-	15,022.0	83	136	1	5	26	-	1,727.0	6	-	13,026.0	1	128	-	-	-	-	-	-	-	-	11	-	795
2008	강남구	133	2	5,674.0	-	-	-	117	2	4,651.0	61	95	7	7	49	-	2,099.0	-	2	2,450.0	-	-	-	-	-	-	-	-	-	-	16	-	1,023.0
2008	송파구	141	1	4,686.0	-	-	-	130	-	2,078.0	82	130	1	1	47	-	1,947.0	-	-	-	-	-	-	-	-	-	-	-	-	-	11	1	2,608.0
2008	강동구	103	-	3,056.0	-	-	-	93	-	2,232.0	59	105	11	6	21	-	1,297.0	1	-	713	-	-	-	-	-	-	1	111	-	-	10	-	824
2008	서울대공원	1	1	9,163.0	-	-	-	1	1	9,163.0	-	-	-	-	1	-	6,670.0	-	1	2,493.0	-	-	-	-	-	-	-	-	-	-	-	-	-
2009	합계	2,531	33	169,047.0	1	5	39,374.0	1,965	25	113,753.9	1,278	2,126.3	242	295.1	382	12	43,093.1	20	13	65,548.4	4	1,919.2	22	348.7	3	52.5	9	334.5	5	36	565	3	15,919.2
2009	종로구	100	2	11,464.0	-	1	4,282.0	67	1	7,058.9	26	64.7	10	6.3	26	-	3,138.7	2	1	3,734.1	-	-	1	5.8	-	-	2	109.4	-	-	33	-	123.1
2009	중구	60	2	2,516.7	-	-	-	50	2	2,467.8	22	38.6	15	14.2	9	2	593.2	1	-	1,786.5	-	-	2	5.6	1	29.7	-	-	-	-	10	-	48.9
2009	용산구	77	1	1,394.6	-	-	-	54	1	767.6	32	54.1	11	21.9	8	1	626.4	-	-	-	-	-	1	43.4	-	-	2	21.9	-	-	23	-	627
2009	성동구	80	1	2,868.5	-	-	-	54	1	1,023.1	36	58.8	7	5.6	10	1	955.9	-	-	-	-	-	-	-	1	2.8	-	-	-	-	26	-	1,845.4
2009	광진구	56	2	3,396.2	-	-	-	40	1	2,946.1	35	38.4	2	1.3	2	-	561.9	-	1	2,307.1	-	-	-	-	-	-	1	37.4	-	-	16	1	450
2009	동대문구	100	1	1,279.7	-	-	-	81	1	1,034.2	49	96.3	18	22.8	14	1	915.1	-	-	-	-	-	-	-	-	-	-	-	-	-	19	-	245.5
2009	중랑구	85	-	5,205.6	-	-	-	55	-	5,026.6	44	54.2	5	3.8	4	-	1,335.1	1	-	2,800.6	1	832.8	-	-	-	-	-	-	-	-	30	-	179.1
2009	성북구	124	4	8,115.4	-	1	3,638.0	71	3	4,419.0	35	92.7	23	27.6	11	2	2,020.7	1	1	2,276.2	-	-	-	-	-	-	-	-	1	1.8	53	-	58.4
2009	강북구	69	1	14,348.7	1	-	12,588.0	48	1	1,574.4	40	57.8	6	3.7	2	-	1,384.5	-	1	128.3	-	-	-	-	-	-	-	-	-	-	20	-	186.3
2009	도봉구	65	2	10,452.5	-	1	9,145.0	43	1	1,055.7	39	50.3	2	1.7	2	1	1,003.6	-	-	-	-	-	-	-	-	-	-	-	-	-	22	-	251.9
