기간	자치구	계	계	계	자연공원	자연공원	자연공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	기타공원	기타공원	기타공원
기간	자치구	계	계	계	자연공원	자연공원	자연공원	소계	소계	소계	어린이공원	어린이공원	소공원	소공원	근린공원	근린공원	근린공원	도시자연공원	도시자연공원	도시자연공원	묘지공원	묘지공원	문화공원	문화공원	체육공원	체육공원	역사공원	역사공원	수변공원	수변공원	생태공원	생태공원	기타공원	기타공원	기타공원
기간	자치구	공원수	(중복)	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	(중복)	면적
2011	합계	2,643	34	170,002.5	1	5	39,448.0	2,064	26	114,728.8	1,293	2,199.2	311	397.6	390	13	43,267.5	20	13	65,548.4	4	2,377.9	28	449.9	3	66.3	9	334.5	5	36	1	51.5	578	3	15,825.8
2011	종로구	102	2	10,898.6	-	1	4,328.0	64	1	6,444.7	24	61.5	10	6.3	25	-	2,527.7	2	1	3,734.1	-	-	1	5.8	-	-	2	109.4	-	-	-	-	38	-	125.9
2011	중구	68	2	3,129.7	-	-	-	57	2	3,080.2	22	40.6	18	14.6	10	2	1,197.4	1	-	1,786.5	-	-	5	11.4	1	29.7	-	-	-	-	-	-	11	-	49.5
2011	용산구	80	1	1,352.7	-	-	-	58	1	770.6	31	54.1	16	24.8	8	1	626.4	-	-	-	-	-	1	43.4	-	-	2	21.9	-	-	-	-	22	-	582.1
2011	성동구	81	1	2,955.2	-	-	-	58	1	1,113.3	33	54.2	13	10.6	10	1	955.4	-	-	-	-	-	1	90.4	1	2.8	-	-	-	-	-	-	23	-	1,841.9
2011	광진구	55	2	3,395.6	-	-	-	42	1	2,950.0	35	38.4	4	5.2	2	-	561.9	-	1	2,307.1	-	-	-	-	-	-	1	37.4	-	-	-	-	13	1	445.5
2011	동대문구	105	1	1,237.1	-	-	-	88	1	994.4	52	102	23	29.3	13	1	863.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	-	242.7
2011	중랑구	95	-	5,242.9	-	-	-	64	-	5,062.4	47	62.8	9	18.8	6	-	1,347.4	1	-	2,800.6	1	832.8	-	-	-	-	-	-	-	-	-	-	31	-	180.4
2011	성북구	128	5	8,166.7	-	1	3,643.0	75	4	4,465.3	38	101.7	24	28.3	11	3	2,057.4	1	1	2,276.2	-	-	-	-	-	-	-	-	1	1.8	-	-	53	-	58.4
2011	강북구	71	1	14,338.8	1	-	12,601.0	50	1	1,576.7	40	57.8	8	6.1	2	-	1,384.5	-	1	128.3	-	-	-	-	-	-	-	-	-	-	-	-	20	-	161
2011	도봉구	74	2	10,505.1	-	1	9,149.0	51	1	1,150.4	39	50.3	8	11.1	2	1	1,003.6	-	-	-	-	-	-	-	1	33.8	-	-	-	-	1	51.5	23	-	205.8
2011	노원구	146	-	14,125.8	-	-	-	126	-	13,851.0	92	171.5	1	1.8	27	-	1,626.8	2	-	12,024.3	-	-	4	26.7	-	-	-	-	-	-	-	-	20	-	274.8
