기간	자치구	계	계	계	자연공원	자연공원	자연공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	기타공원	기타공원	기타공원
기간	자치구	계	계	계	자연공원	자연공원	자연공원	소계	소계	소계	어린이공원	어린이공원	소공원	소공원	근린공원	근린공원	근린공원	도시자연공원	도시자연공원	도시자연공원	묘지공원	묘지공원	문화공원	문화공원	체육공원	체육공원	역사공원	역사공원	수변공원	수변공원	생태공원	생태공원	가로공원	가로공원	기타공원	기타공원	기타공원
기간	자치구	공원수	(중복)	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	(중복)	면적
2013	합계	2,782	34	170,080.9	1	5	37,345.0	2,155	26	115,747.3	1,301	2,245.3	366	483.6	398	13	43,739.8	20	13	65,562.9	4	2,416.1	39	600.1	5	148.6	12	416.1	8	80.9	1	51.5	1	2.4	626	3	16,988.6
2013	종로구	114	2	11,575.4	-	1	4,998.0	75	1	6,450.5	28	65.1	16	17.5	23	-	2,511.8	2	1	3,734.1	-	-	4	12.7	-	-	2	109.4	-	-	-	-	-	-	39	-	126.9
2013	중구	68	2	3,128.1	-	-	-	57	2	3,078.5	18	37.2	23	18.4	9	2	1,196.8	1	-	1,785.1	-	-	5	11.3	1	29.7	-	-	-	-	-	-	-	-	11	-	49.6
2013	용산구	101	1	1,796.0	-	-	-	64	1	783.3	23	45.1	28	41	8	1	627.6	-	-	-	-	-	1	43.4	-	-	3	23.9	-	-	-	-	1	2.4	37	-	1,012.6
2013	성동구	80	1	3,061.7	-	-	-	58	1	1,220.1	33	54.3	13	10.6	10	1	1,062.1	-	-	-	-	-	1	90.4	1	2.8	-	-	-	-	-	-	-	-	22	-	1,841.7
2013	광진구	55	2	3,395.6	-	-	-	42	1	2,950.0	35	38.4	4	5.2	2	-	561.9	-	1	2,307.1	-	-	-	-	-	-	1	37.4	-	-	-	-	-	-	13	1	445.5
2013	동대문구	102	1	1,234.5	-	-	-	86	1	992.4	47	91	26	34.2	12	1	863.2	-	-	-	-	-	-	-	-	-	1	3.9	-	-	-	-	-	-	16	-	242.1
2013	중랑구	103	-	5,230.7	-	-	-	67	-	5,049.4	46	63.2	9	18.8	10	-	1,334.0	1	-	2,800.6	1	832.8	-	-	-	-	-	-	-	-	-	-	-	-	36	-	181.3
