기간	자치구	합계	합계	신고체육시설	신고체육시설	신고체육시설	신고체육시설	신고체육시설	신고체육시설	신고체육시설	신고체육시설	신고체육시설	신고체육시설	신고체육시설	신고체육시설	신고체육시설	신고체육시설	신고체육시설	신고체육시설	신고체육시설	신고체육시설	신고체육시설	신고체육시설	신고체육시설	신고체육시설	등록체육시설	등록체육시설
기간	자치구	합계	합계	요트장	요트장	빙상장	빙상장	종합체육시설	종합체육시설	수영장	수영장	체육도장	체육도장	골프연습장	골프연습장	체력단련장	체력단련장	당구장	당구장	썰매장	썰매장	무도장	무도장	무도학원	무도학원	골프장	골프장
기간	자치구	시설수	면적	시설수	면적	시설수	면적	시설수	면적	시설수	면적	시설수	면적	시설수	면적	시설수	면적	시설수	면적	시설수	면적	시설수	면적	시설수	면적	시설수	면적
2019	서울시	10,491	4,073,512	1	27,620	14	21,219	99	317,965	131	163,416	2,198	321,619	1,916	779,610	2,598	834,839	3,443	534,582	3	58,345	10	6,449	77	9,722	1	998,126
2019	종로구	203	72,664	-	-	1	248	7	19,054	1	1,268	22	4,164	25	13,548	43	14,288	100	19,773	-	-	-	-	4	321	-	-
2019	중구	374	116,711	-	-	1	909	8	10,887	6	12,231	25	3,316	77	25,444	74	29,121	170	33,387	-	-	-	-	13	1,416	-	-
2019	용산구	168	122,422	-	-	-	-	3	10,780	3	1,234	31	10,770	28	8,410	57	83,434	44	7,627	-	-	-	-	2	167	-	-
2019	성동구	271	64,392	-	-	-	-	-	-	2	757	55	6,772	57	25,123	69	18,766	84	11,953	-	-	-	-	4	1,021	-	-
2019	광진구	359	153,562	-	-	-	-	2	11,093	11	38,508	69	10,397	74	22,966	72	25,738	129	14,460	2	30,400	-	-	-	-	-	-
2019	동대문구	286	85,200	-	-	-	-	2	2,944	4	2,783	64	5,224	51	21,879	66	34,345	96	16,739	-	-	1	450	2	836	-	-
2019	중랑구	354	97,519	-	-	1	400	3	8,564	2	1,215	101	13,911	30	19,772	60	25,474	153	27,789	-	-	-	-	4	394	-	-
2019	성북구	354	78,206	-	-	1	2,740	-	-	6	1,828	110	14,747	44	15,010	63	19,873	130	24,008	-	-	-	-	-	-	-	-
2019	강북구	225	36,317	-	-	-	-	-	-	-	-	61	5,884	16	4,388	45	14,439	100	10,320	-	-	2	1,180	1	106	-	-
2019	도봉구	272	61,741	-	-	-	-	1	1,302	2	2,382	79	10,684	29	15,380	52	16,546	100	12,607	-	-	3	1,800	6	1,040	-	-
2019	노원구	382	102,570	-	-	2	4,070	-	-	4	5,921	127	17,220	70	30,677	70	24,060	109	20,622	-	-	-	-	-	-	-	-
2019	은평구	466	74,911	-	-	-	-	1	1,218	9	7,670	134	13,603	42	17,223	94	20,434	183	14,614	-	-	-	-	3	149	-	-
2019	서대문구	245	68,863	-	-	-	-	4	10,358	3	863	72	7,378	29	29,435	57	16,542	80	4,287	-	-	-	-	-	-	-	-
2019	마포구	390	111,167	-	-	-	-	5	11,022	5	3,214	99	13,201	61	23,823	120	42,826	99	16,913	-	-	-	-	1	168	-	-
2019	양천구	444	91,928	-	-	-	-	2	13,078	11	5,893	127	13,866	100	23,570	105	20,731	99	14,790	-	-	-	-	-	-	-	-
2019	강서구	582	1,195,289	-	-	1	468	3	23,875	9	10,073	173	24,089	94	53,554	157	50,773	138	33,754	-	-	-	-	6	577	1	998,126
2019	구로구	485	123,589	-	-	2	5,133	2	3,098	3	1,380	113	17,259	87	41,428	95	27,880	183	27,411	-	-	-	-	-	-	-	-
2019	금천구	306	61,775	-	-	-	-	1	936	1	870	67	11,465	43	14,230	55	12,313	138	21,121	-	-	1	840	-	-	-	-
2019	영등포구	691	189,847	1	27,620	-	-	3	8,489	3	7,427	112	7,261	109	64,200	125	39,503	328	34,048	-	-	-	-	10	1,299	-	-
2019	동작구	263	66,929	-	-	-	-	1	1,179	3	2,705	77	11,585	41	14,749	61	20,074	80	16,637	-	-	-	-	-	-	-	-
2019	관악구	381	109,972	-	-	-	-	1	2,291	4	18,668	103	15,149	46	17,876	90	27,884	130	26,469	-	-	1	944	6	691	-	-
2019	서초구	750	251,043	-	-	3	3,064	15	71,880	11	12,466	114	12,307	186	64,784	196	52,446	225	34,096	-	-	-	-	-	-	-	-
2019	강남구	1,064	347,078	-	-	1	924	27	69,575	10	6,201	59	6,015	312	120,873	467	109,657	180	32,550	-	-	1	628	7	655	-	-
2019	송파구	707	275,649	-	-	1	3,263	7	34,281	13	14,463	149	25,005	174	70,924	191	64,696	170	34,939	1	27,945	-	-	1	133	-	-
2019	강동구	469	114,168	-	-	-	-	1	2,061	5	3,396	55	40,347	91	20,344	114	22,996	195	23,668	-	-	1	607	7	749	-	-
