기간	대분류	분류	공원 및 산 등의 산책로	민간상업 체육시설	학교체육시설	집에서 간단한 운동	지자체 및 공공기관운영 시설	직장내 체육시설	기타
2019	서울시	서울시	52.1	19.1	6	12	8.4	2.4	0.1
2019	성별	남자	52.3	21.6	7.4	9.7	5.7	3.2	0.1
2019	성별	여자	51.8	16.6	4.6	14.3	11	1.5	0.1
2019	연령별	10대	25.3	8.7	50.1	13.1	2.6	0.2	0
2019	연령별	20대	36.7	28.2	12.4	14.3	5.3	3.1	0
2019	연령별	30대	42.9	29.3	2.6	15	5.8	4	0.4
2019	연령별	40대	49.4	23.4	2	12.1	9.7	3.2	0.2
2019	연령별	50대	56.2	17.3	2.2	11.3	10.6	2.3	0
2019	연령별	60대 이상	70.9	7.4	1.5	8.9	10.4	0.9	0
2019	학력별	중졸 이하	69.6	4.1	5.2	10.4	9.8	0.9	0
2019	학력별	고졸 이하	61	10.4	7.6	10.8	9.1	1	0
2019	학력별	대졸 이하	43.7	26.8	5.2	13.1	7.7	3.4	0.2
2019	학력별	대학원 이상	34	38.3	8.3	9.3	6.4	3.2	0.5
2019	소득별	100만원 미만	70.4	5.9	11	5.9	6.5	0.3	-
2019	소득별	100-200만원 미만	73.5	4.9	4.5	9.6	7.3	0.2	0.1
2019	소득별	200-300만원 미만	55.7	16.5	2.9	15.6	7.5	1.8	-
2019	소득별	300-400만원 미만	53.6	17.2	5.1	12.4	9.3	2.1	0.3
2019	소득별	400-500만원 미만	51.9	19.7	6.1	11.4	8.3	2.5	0.2
2019	소득별	500만원 이상	45.5	23.7	6.9	12	8.6	3.1	0.1
2019	혼인상태별	기혼	57.3	17.3	2	11.2	9.7	2.3	0.1
2019	혼인상태별	미혼	33.4	27.3	16.5	14.7	4.7	3.1	0.2
2019	혼인상태별	이혼/사별/기타	68.5	9.4	1.6	10	9.8	0.8	0
2019	지역대분류	도심권	50.6	20.8	9	12.7	5.3	1.6	-
2019	지역대분류	동북권	56.1	17	5.3	12.5	6.9	2.2	0.1
2019	지역대분류	서북권	58.2	18.2	6	8.8	7.4	1.4	-
2019	지역대분류	서남권	47.2	20.2	6.2	11.9	11.5	2.7	0.3
2019	지역대분류	동남권	50	20.9	5.9	13.2	7.1	2.9	-
2019	종로구	종로구	57.9	17.4	11.3	9	3.9	0.4	-
2019	중구	중구	55.3	13.9	16.4	5.1	9	0.4	-
2019	용산구	용산구	43.4	26.5	3.6	19.1	4.3	3.1	-
2019	성동구	성동구	49.6	15.9	3.3	19.8	9	2.4	-
2019	광진구	광진구	57.4	16.2	3.8	12.5	6.8	2.7	0.5
2019	동대문구	동대문구	55.3	15.3	6.9	8	12.6	1.8	-
2019	중랑구	중랑구	52.2	18	9.1	9.3	8.8	2.5	-
2019	성북구	성북구	56.7	20.6	5.1	14.6	2.1	0.9	-
2019	강북구	강북구	52.1	18.3	3.5	17.6	6.8	1.7	-
2019	도봉구	도봉구	68.4	10.9	2.7	9.3	7.2	1.6	-
2019	노원구	노원구	55.7	18.7	6.6	10.8	4.5	3.7	-
2019	은평구	은평구	51.7	17.6	8.3	13.1	8	1.4	-
2019	서대문구	서대문구	62.4	16.4	4.9	6.4	8.5	1.4	-
2019	마포구	마포구	61.9	20.5	4.5	5.9	5.8	1.4	-
2019	양천구	양천구	30	35.5	1.6	5.1	25.9	1.8	-
2019	강서구	강서구	56.6	15.7	4.4	12.4	9.4	1.6	-
2019	구로구	구로구	50.9	13.9	7.2	14.6	8.5	4.9	-
2019	금천구	금천구	60.8	11.9	5.2	14.9	4.2	3.1	-
2019	영등포구	영등포구	33.4	21.9	12.9	11.5	13.2	5	2.2
2019	동작구	동작구	53.9	19.5	6.9	10.4	7.3	1.9	0.1
2019	관악구	관악구	49.3	19.4	5.7	15.3	8.7	1.7	-
2019	서초구	서초구	48.6	25.4	7.9	10.3	4.9	2.9	-
2019	강남구	강남구	42.5	28.1	6.8	11.3	8.2	3.1	-
2019	송파구	송파구	58.9	15.9	3.9	9.3	9.9	2.1	-
2019	강동구	강동구	48.5	13.9	5.4	24.4	4	3.7	-
