기간	행정구역별	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상
2019.4/4	합계	계	10,010,983	308,979	368,373	374,510	459,621	687,693	846,081	755,347	807,231	744,593	859,556	803,690	796,430	713,607	493,045	390,166	295,933	179,234	80,837	30,921	8,870	6,266
2019.4/4	합계	한국인	9,729,107	300,799	361,894	370,557	449,014	641,964	814,659	725,858	784,101	725,112	835,871	775,779	764,189	700,646	489,156	388,790	295,297	178,836	80,651	30,848	8,842	6,244
2019.4/4	합계	등록외국인	281,876	8,180	6,479	3,953	10,607	45,729	31,422	29,489	23,130	19,481	23,685	27,911	32,241	12,961	3,889	1,376	636	398	186	73	28	22
2019.4/4	종로구	계	161,869	3,689	4,825	5,256	7,507	14,593	13,958	11,008	10,905	10,550	13,615	13,323	13,545	11,576	7,959	6,754	5,858	3,849	1,844	727	275	253
2019.4/4	종로구	한국인	151,290	3,540	4,671	5,153	6,595	10,924	12,648	10,172	10,204	9,981	13,096	12,768	12,946	11,274	7,854	6,702	5,836	3,836	1,837	725	275	253
2019.4/4	종로구	등록외국인	10,579	149	154	103	912	3,669	1,310	836	701	569	519	555	599	302	105	52	22	13	7	2	-	-
2019.4/4	중구	계	136,488	4,021	3,949	3,347	4,662	9,817	12,105	11,237	11,281	9,391	10,531	10,959	11,589	10,324	7,187	5,728	4,756	3,061	1,518	632	206	187
2019.4/4	중구	한국인	126,171	3,693	3,696	3,154	4,154	7,682	10,791	10,202	10,460	8,678	9,813	10,229	10,727	9,918	7,030	5,671	4,709	3,037	1,505	631	204	187
2019.4/4	중구	등록외국인	10,317	328	253	193	508	2,135	1,314	1,035	821	713	718	730	862	406	157	57	47	24	13	1	2	-
2019.4/4	용산구	계	245,185	7,504	8,133	7,889	9,626	15,253	21,037	20,748	21,507	18,287	21,037	19,598	18,966	16,809	11,413	9,306	7,979	5,533	2,673	1,129	403	355
2019.4/4	용산구	한국인	228,670	6,808	7,324	7,307	9,084	13,682	19,155	18,588	19,445	16,541	19,618	18,440	18,019	16,313	11,172	9,201	7,921	5,506	2,670	1,123	400	353
2019.4/4	용산구	등록외국인	16,515	696	809	582	542	1,571	1,882	2,160	2,062	1,746	1,419	1,158	947	496	241	105	58	27	3	6	3	2
2019.4/4	성동구	계	308,979	11,370	10,928	9,645	12,316	22,455	26,763	25,183	27,121	22,796	25,348	24,810	24,905	21,392	14,118	11,307	9,155	5,567	2,458	869	236	237
2019.4/4	성동구	한국인	300,889	11,181	10,802	9,576	11,859	20,347	25,638	24,419	26,545	22,344	24,825	24,187	24,259	21,111	14,022	11,280	9,144	5,560	2,454	868	234	234
2019.4/4	성동구	등록외국인	8,090	189	126	69	457	2,108	1,125	764	576	452	523	623	646	281	96	27	11	7	4	1	2	3
2019.4/4	광진구	계	366,972	10,307	12,122	12,482	16,225	29,842	37,545	31,069	29,529	26,106	30,161	29,571	29,113	24,998	16,207	12,485	9,514	5,782	2,502	936	271	205
2019.4/4	광진구	한국인	351,350	9,873	11,784	12,326	15,247	26,183	35,568	29,666	28,509	25,329	29,161	28,218	27,420	24,385	16,066	12,447	9,496	5,766	2,496	936	269	205
2019.4/4	광진구	등록외국인	15,622	434	338	156	978	3,659	1,977	1,403	1,020	777	1,000	1,353	1,693	613	141	38	18	16	6	-	2	-
2019.4/4	동대문구	계	363,023	10,735	11,805	11,312	15,206	32,766	32,363	25,634	27,823	25,194	28,382	27,816	28,220	26,417	18,766	15,406	12,590	7,476	3,308	1,144	384	276
2019.4/4	동대문구	한국인	346,194	10,467	11,648	11,211	14,016	25,485	29,543	24,362	27,096	24,657	27,806	27,117	27,491	26,125	18,664	15,368	12,574	7,462	3,301	1,141	384	276
2019.4/4	동대문구	등록외국인	16,829	268	157	101	1,190	7,281	2,820	1,272	727	537	576	699	729	292	102	38	16	14	7	3	-	-
2019.4/4	중랑구	계	402,024	11,975	13,095	12,623	16,115	25,102	32,307	29,263	31,439	27,542	32,582	34,926	36,909	32,982	22,285	17,278	13,089	7,590	3,221	1,189	326	186
2019.4/4	중랑구	한국인	397,015	11,768	12,944	12,531	16,001	24,589	31,662	28,568	30,954	27,170	32,145	34,460	36,401	32,757	22,222	17,252	13,085	7,588	3,217	1,189	326	186
2019.4/4	중랑구	등록외국인	5,009	207	151	92	114	513	645	695	485	372	437	466	508	225	63	26	4	2	4	-	-	-
2019.4/4	성북구	계	454,744	13,848	17,483	17,664	22,629	37,032	36,053	29,692	34,124	32,990	40,412	36,275	34,354	31,338	21,956	18,156	15,097	9,397	3,983	1,497	400	364
