기간	지역	흡연	흡연	음주	음주	신체활동	신체활동	비만율	정신건강	정신건강	양호한 주관적 건강수준 인지율
기간	지역	현재흡연율	현재흡연자의 금연시도율	월간음주율	연간음주자의 고위험음주율	걷기실천율	증등도 이상 신체활동 실천율	비만율	스트레스 인지율	우울감 경험률	양호한 주관적 건강수준 인지율
2008	서울시	24.2	-	57.7	20.3	57.4	-	20.6	30.4	8.2	50.9
2008	종로구	22.2	-	56.7	22.1	59.9	-	16.4	25.1	7.9	57.2
2008	중구	25.2	-	55.3	14.1	77.7	-	16.7	14.8	2.8	55.8
2008	용산구	26.5	-	53.4	24.6	48.3	-	19.9	39.2	8	50
2008	성동구	26.4	-	56	25.2	63.4	-	19.8	24.1	7.9	47.9
2008	광진구	28.6	-	64.9	26.4	51.6	-	20.4	36.7	8.8	51.6
2008	동대문구	26.5	-	59.9	19.1	67.7	-	23.9	42	7.9	49.6
2008	중랑구	25.5	-	54.6	29.5	39.3	-	23.9	27.5	6.8	66.9
2008	성북구	25.4	-	59.8	14.5	45.1	-	18.7	35.6	7.6	56.7
2008	강북구	26.1	-	59.2	20.6	53.8	-	22.4	31.5	1.9	47.5
2008	도봉구	24	-	59.7	12.7	75.9	-	14.2	24	6.5	64
2008	노원구	24.2	-	57.3	20.2	52.7	-	20.9	26.8	10.6	39.5
2008	은평구	27.7	-	60.1	24.1	49.7	-	23.2	26	5.3	43.9
2008	서대문구	26.3	-	54	19.3	61.1	-	21.4	28.7	12.9	45.1
2008	마포구	25.3	-	55.1	21.5	60.3	-	15.5	22.8	4.7	70.1
2008	양천구	22.2	-	58	24.2	66.6	-	23.3	33.3	7.5	43
2008	강서구	26.1	-	60.1	21.5	39.7	-	21.4	31.2	8.7	38.8
2008	구로구	27.2	-	58.2	22.1	64.4	-	23.6	29.7	11.2	48.3
2008	금천구	27	-	56.6	29.7	71.8	-	24.3	29	7.7	50.4
2008	영등포구	20.6	-	56.5	18.4	58.8	-	24.1	31.8	13.2	44.5
2008	동작구	21	-	56	20.1	70.3	-	20.7	29.8	5.5	46.7
2008	관악구	27.7	-	61.7	18.3	57.7	-	20	33.5	7.6	51.1
2008	서초구	19.2	-	52.2	13.4	53.9	-	18.5	31.3	8.4	52.2
2008	강남구	19.1	-	55.3	15.6	50.7	-	13.9	28.3	5.2	64.3
2008	송파구	18	-	56.6	16.5	61.4	-	20.1	33.5	11	56.2
2008	강동구	23	-	59.4	20.4	63.4	-	24.2	31.6	12.3	41.9
2009	서울시	24.3	-	57.8	17.1	60.8	19.2	21.4	31.1	7.9	49.3
2009	종로구	23	-	51.1	21.8	68.3	23.7	21.1	28.1	7.9	59.7
2009	중구	27	-	57.8	18.5	61.9	19.8	23.5	29.6	12.2	44.5
2009	용산구	25.1	-	56.8	23.1	69.4	14.7	19.5	30.5	8.8	64.3
2009	성동구	25.3	-	61	17.4	68.1	17.8	22.7	29.8	8.3	52.3
2009	광진구	24.3	-	60	21.5	53.4	23.7	20.2	31.7	9.8	50
2009	동대문구	26.9	-	63	20.1	70	20.1	20	33.7	8.2	46.7
2009	중랑구	25.3	-	54.1	19.5	62.2	21.6	18.2	24.1	5.4	64.1
2009	성북구	25.4	-	61.7	16.1	51.2	16.3	22.5	34.2	6.7	56.9
2009	강북구	26.7	-	59.2	16.8	56.8	18.2	23.4	25.9	5.3	49.4
2009	도봉구	25	-	57.5	19.3	67.7	16.2	21.5	29.8	9.2	44.9
2009	노원구	22.3	-	53.9	17.1	59.3	16.9	20.1	30.9	7.1	43.1
2009	은평구	24	-	62.7	16.3	60.9	12.2	23.5	26.2	5	47.9
2009	서대문구	23.8	-	59.1	16.1	63.5	17.2	19.8	36.4	9.9	53.5
2009	마포구	26.7	-	59	16.1	54.9	21.3	19.9	31.5	10	49.1
2009	양천구	24.4	-	60	16.9	70.7	19.4	25.4	34.5	7.4	43
2009	강서구	24.6	-	56.2	14	55	19.5	20.7	32	11.6	44.5
2009	구로구	25.3	-	63.6	19.5	53.1	16.5	25.4	29.9	10	39.8
2009	금천구	26.8	-	57.1	18	74.7	19	23.5	35	6.6	54.9
2009	영등포구	24.3	-	57.1	18.3	59.6	18.6	19.2	30.6	8.3	43.9
2009	동작구	21.5	-	54.8	16.8	64.7	18.4	20.8	33.9	6.7	42.6
2009	관악구	27.7	-	63.2	20.3	52.5	21.3	22.2	35	11.6	41.4
2009	서초구	20.6	-	53.2	12.5	56.8	23.6	22.6	37.3	6.1	48.5
2009	강남구	19.4	-	48.7	13.7	52.4	21.9	19.6	26	4.2	59.6
2009	송파구	23	-	57.3	12.5	71.6	23.2	20.1	29.8	6.9	57
2009	강동구	24.3	-	56.2	15.6	59.7	17.3	21.8	31.4	7.1	42.2
2010	서울시	23.2	-	59.8	15.7	55.7	18.6	21.7	29.5	6.8	48.8
