기간	지역	흡연	흡연	음주	음주	신체활동	신체활동	비만율	정신건강	정신건강	양호한 주관적 건강수준 인지율
기간	지역	현재흡연율	현재흡연자의 금연시도율	월간음주율	연간음주자의 고위험음주율	증등도 이상 신체활동 실천율	걷기실천율	비만율	스트레스 인지율	우울감 경험률	양호한 주관적 건강수준 인지율
2017	서울시	18.8	27.9	61	17.2	21.7	61	25.7	26.8	7.2	45.8
2017	종로구	16.5	30.9	59.5	19.4	21.4	51.2	25.8	24.1	5.3	45.5
2017	중구	19.1	15.7	54.4	15.7	23.1	66.6	24.5	24.8	5.2	46.1
2017	용산구	19.7	18.1	54.6	16.6	27.1	59.7	25.8	20.8	5.7	52.2
2017	성동구	19.2	25.2	65.4	17.8	21.2	59	26.9	29.1	5.1	47.8
2017	광진구	18	26	61.7	13.3	21.9	61.4	24.7	28.2	10.2	48.2
2017	동대문구	22.4	22.5	63.4	22.3	22.6	61.4	27.3	29.4	7.9	40.4
2017	중랑구	23	28	63.5	21.9	24.8	56.3	30.3	30.1	9.9	39.7
2017	성북구	18.5	29.6	63	19.3	25	63.1	23.4	28.8	8	41
2017	강북구	22.9	19	59.4	20.6	17	50.9	29.6	29.6	8.6	35.9
2017	도봉구	21.2	26	61.3	18.1	20.1	49.7	28.5	29	6.7	38.7
2017	노원구	17.2	29.3	56.5	19.5	16	47.7	27.4	25.1	5.1	41.5
2017	은평구	20.8	34.3	58.1	19	20.1	51.5	27.7	20.8	7.6	42.7
2017	서대문구	20.7	24.2	59.3	19.7	16.5	60.1	27	24.9	4.5	50.3
2017	마포구	16.5	27.8	61.2	15.7	19.8	70.2	22.1	23.9	6.9	40.3
2017	양천구	19.2	32.3	60.7	19.9	21.6	59.4	26	29.4	6	45.7
2017	강서구	20.7	26.2	58.2	17.5	19.2	55	25.2	28.7	7.3	39.3
2017	구로구	17.2	27.8	58.5	17.4	15.5	63.8	27.7	24	6	39.1
2017	금천구	20.1	21.3	59.7	24.6	17.5	58.1	28.4	31	5.1	38.9
2017	영등포구	16.3	18.8	66.8	18.2	20.6	73.9	27.3	28.7	5.3	51.6
2017	동작구	16.8	28.9	59.1	14.9	22.8	63.5	25.2	27.8	7.7	44.2
2017	관악구	20.3	25.4	60.9	15.8	21.7	73	25.5	26.3	7.5	54.4
2017	서초구	14.5	42.7	60.5	11.5	27.8	59.5	24.1	28.6	7.9	51
2017	강남구	16.1	34.1	63.6	11.1	25.1	62.6	22.4	25.8	7.7	54.4
2017	송파구	17.2	35.5	66.4	13.8	23.9	76.6	21.6	23.5	7.1	57.8
2017	강동구	17.4	28.7	60.3	14.7	28.6	61.3	24.2	27.4	10.8	50
