지역,연령별,성별,주관적 건강수준
서울시,계,계,39.3
서울시,계,남,44.4
서울시,계,여,35.3
서울시,19~44,계,52.6
서울시,19~44,남,57.1
서울시,19~44,여,48.8
서울시,45~64,계,37.2
서울시,45~64,남,41.1
서울시,45~64,여,34.3
서울시,65~74,계,27.4
서울시,65~74,남,33.3
서울시,65~74,여,22.9
서울시,75 이상,계,20.3
서울시,75 이상,남,26.9
서울시,75 이상,여,15.5
영등포구,계,계,39.1
영등포구,계,남,44.6
영등포구,계,여,34.3
영등포구,19~44,계,48.3
영등포구,19~44,남,52.7
영등포구,19~44,여,44.1
영등포구,45~64,계,37.3
영등포구,45~64,남,40.7
영등포구,45~64,여,34.5
영등포구,65~74,계,30.6
영등포구,65~74,남,42.6
영등포구,65~74,여,21.7
영등포구,75 이상,계,26.7
영등포구,75 이상,남,40.0
영등포구,75 이상,여,11.4
양천구,계,계,42.1
양천구,계,남,43.2
양천구,계,여,41.2
양천구,19~44,계,55.0
양천구,19~44,남,54.5
양천구,19~44,여,55.4
양천구,45~64,계,39.1
양천구,45~64,남,39.8
양천구,45~64,여,38.6
양천구,65~74,계,20.4
양천구,65~74,남,27.1
양천구,65~74,여,15.0
양천구,75 이상,계,31.0
양천구,75 이상,남,40.0
양천구,75 이상,여,26.1
마포구,계,계,37.7
마포구,계,남,42.2
마포구,계,여,34.4
마포구,19~44,계,46.4
마포구,19~44,남,50.6
마포구,19~44,여,43.2
마포구,45~64,계,34.8
마포구,45~64,남,42.0
마포구,45~64,여,29.7
마포구,65~74,계,26.5
마포구,65~74,남,35.4
마포구,65~74,여,20.0
마포구,75 이상,계,24.0
마포구,75 이상,남,27.7
마포구,75 이상,여,21.1
동작구,계,계,44.4
동작구,계,남,50.4
동작구,계,여,39.6
동작구,19~44,계,57.3
동작구,19~44,남,60.2
동작구,19~44,여,54.7
동작구,45~64,계,42.9
동작구,45~64,남,47.1
동작구,45~64,여,39.7
동작구,65~74,계,35.5
동작구,65~74,남,43.1
동작구,65~74,여,28.9
동작구,75 이상,계,17.5
동작구,75 이상,남,32.4
동작구,75 이상,여,8.3
금천구,계,계,34.9
금천구,계,남,41.2
금천구,계,여,29.6
금천구,19~44,계,57.6
금천구,19~44,남,64.7
금천구,19~44,여,50.9
금천구,45~64,계,25.4
금천구,45~64,남,29.7
금천구,45~64,여,22.2
금천구,65~74,계,19.7
금천구,65~74,남,25.0
금천구,65~74,여,14.0
금천구,75 이상,계,15.9
금천구,75 이상,남,19.5
금천구,75 이상,여,12.8
구로구,계,계,33.8
구로구,계,남,40.1
구로구,계,여,28.8
구로구,19~44,계,47.1
구로구,19~44,남,51.5
구로구,19~44,여,43.5
구로구,45~64,계,31.8
구로구,45~64,남,39.6
구로구,45~64,여,25.3
구로구,65~74,계,26.4
구로구,65~74,남,35.4
구로구,65~74,여,20.8
구로구,75 이상,계,13.8
구로구,75 이상,남,17.4
구로구,75 이상,여,10.4
관악구,계,계,37.7
관악구,계,남,41.8
관악구,계,여,34.5
관악구,19~44,계,44.3
관악구,19~44,남,48.3
관악구,19~44,여,40.6
관악구,45~64,계,38.8
관악구,45~64,남,41.4
관악구,45~64,여,37.1
관악구,65~74,계,27.4
관악구,65~74,남,34.8
관악구,65~74,여,23.6
관악구,75 이상,계,24.2
관악구,75 이상,남,23.4
관악구,75 이상,여,25.0
강서구,계,계,39.9
강서구,계,남,44.1
강서구,계,여,36.7
강서구,19~44,계,56.1
강서구,19~44,남,58.9
강서구,19~44,여,53.7
강서구,45~64,계,35.7
강서구,45~64,남,39.1
강서구,45~64,여,33.5
강서구,65~74,계,22.1
강서구,65~74,남,25.0
강서구,65~74,여,20.0
강서구,75 이상,계,23.8
강서구,75 이상,남,28.9
강서구,75 이상,여,19.6
중랑구,계,계,35.1
중랑구,계,남,41.6
중랑구,계,여,30.8
중랑구,19~44,계,48.0
중랑구,19~44,남,51.6
중랑구,19~44,여,45.4
중랑구,45~64,계,32.2
중랑구,45~64,남,37.3
중랑구,45~64,여,29.5
중랑구,65~74,계,25.3
중랑구,65~74,남,40.0
중랑구,65~74,여,10.7
중랑구,75 이상,계,20.5
중랑구,75 이상,남,27.8
중랑구,75 이상,여,15.4
종로구,계,계,32.8
종로구,계,남,33.5
종로구,계,여,32.3
종로구,19~44,계,41.6
종로구,19~44,남,42.3
종로구,19~44,여,40.8
종로구,45~64,계,34.9
종로구,45~64,남,32.7
종로구,45~64,여,36.5
종로구,65~74,계,21.7
종로구,65~74,남,27.1
종로구,65~74,여,17.2
종로구,75 이상,계,20.3
종로구,75 이상,남,22.7
종로구,75 이상,여,19.0
은평구,계,계,30.2
은평구,계,남,36.7
은평구,계,여,25.7
은평구,19~44,계,44.6
은평구,19~44,남,58.0
은평구,19~44,여,34.5
은평구,45~64,계,31.5
은평구,45~64,남,31.0
은평구,45~64,여,31.9
은평구,65~74,계,23.0
은평구,65~74,남,32.1
은평구,65~74,여,18.1
은평구,75 이상,계,10.5
은평구,75 이상,남,12.7
은평구,75 이상,여,9.0
성북구,계,계,36.9
성북구,계,남,44.1
성북구,계,여,31.2
성북구,19~44,계,43.2
성북구,19~44,남,48.6
