지역,연령별,성별,주관적 건강수준
서울시,계,계,43.6
서울시,계,남,49.1
서울시,계,여,39.2
서울시,19~44,계,54.4
서울시,19~44,남,58.5
서울시,19~44,여,50.9
서울시,45~64,계,38.9
서울시,45~64,남,43.8
서울시,45~64,여,35.1
서울시,65~74,계,30.2
서울시,65~74,남,38.5
서울시,65~74,여,23.5
서울시,75 이상,계,23.2
서울시,75 이상,남,31.1
서울시,75 이상,여,17.9
영등포구,계,계,47.6
영등포구,계,남,51.1
영등포구,계,여,44.5
영등포구,19~44,계,60.2
영등포구,19~44,남,63.2
영등포구,19~44,여,57.6
영등포구,45~64,계,37.2
영등포구,45~64,남,38.0
영등포구,45~64,여,36.6
영등포구,65~74,계,39.3
영등포구,65~74,남,46.4
영등포구,65~74,여,32.8
영등포구,75 이상,계,25.8
영등포구,75 이상,남,35.7
영등포구,75 이상,여,18.4
양천구,계,계,46.4
양천구,계,남,51.6
양천구,계,여,42.2
양천구,19~44,계,59.7
양천구,19~44,남,64.9
양천구,19~44,여,55.2
양천구,45~64,계,42.6
양천구,45~64,남,45.9
양천구,45~64,여,40.1
양천구,65~74,계,24.2
양천구,65~74,남,28.9
양천구,65~74,여,20.4
양천구,75 이상,계,20.0
양천구,75 이상,남,35.0
양천구,75 이상,여,10.0
마포구,계,계,44.1
마포구,계,남,46.5
마포구,계,여,42.1
마포구,19~44,계,53.0
마포구,19~44,남,55.3
마포구,19~44,여,51.0
마포구,45~64,계,39.5
마포구,45~64,남,40.0
마포구,45~64,여,39.1
마포구,65~74,계,29.2
마포구,65~74,남,35.4
마포구,65~74,여,24.6
마포구,75 이상,계,15.2
마포구,75 이상,남,5.9
마포구,75 이상,여,20.7
동작구,계,계,39.2
동작구,계,남,44.0
동작구,계,여,35.1
동작구,19~44,계,47.9
동작구,19~44,남,55.2
동작구,19~44,여,41.0
동작구,45~64,계,35.0
동작구,45~64,남,35.0
동작구,45~64,여,34.9
동작구,65~74,계,22.0
동작구,65~74,남,25.0
동작구,65~74,여,19.6
동작구,75 이상,계,22.8
동작구,75 이상,남,26.9
동작구,75 이상,여,19.4
금천구,계,계,34.6
금천구,계,남,40.3
금천구,계,여,29.9
금천구,19~44,계,49.6
금천구,19~44,남,52.3
금천구,19~44,여,47.2
금천구,45~64,계,26.3
금천구,45~64,남,33.3
금천구,45~64,여,21.6
금천구,65~74,계,22.3
금천구,65~74,남,30.2
금천구,65~74,여,15.8
금천구,75 이상,계,13.5
금천구,75 이상,남,20.0
금천구,75 이상,여,5.9
구로구,계,계,39.1
구로구,계,남,45.2
구로구,계,여,34.2
구로구,19~44,계,47.9
구로구,19~44,남,52.5
구로구,19~44,여,44.2
구로구,45~64,계,33.2
구로구,45~64,남,34.9
구로구,45~64,여,32.0
구로구,65~74,계,30.8
구로구,65~74,남,49.1
구로구,65~74,여,15.6
구로구,75 이상,계,27.8
구로구,75 이상,남,45.8
구로구,75 이상,여,13.3
관악구,계,계,43.3
관악구,계,남,47.0
관악구,계,여,40.0
관악구,19~44,계,51.3
관악구,19~44,남,50.0
관악구,19~44,여,52.5
관악구,45~64,계,35.4
관악구,45~64,남,43.9
관악구,45~64,여,29.1
관악구,65~74,계,40.3
관악구,65~74,남,46.6
관악구,65~74,여,34.6
관악구,75 이상,계,27.3
관악구,75 이상,남,35.0
관악구,75 이상,여,20.8
강서구,계,계,41.0
강서구,계,남,43.9
강서구,계,여,38.4
강서구,19~44,계,52.2
강서구,19~44,남,54.1
강서구,19~44,여,50.2
강서구,45~64,계,31.1
강서구,45~64,남,30.9
강서구,45~64,여,31.3
강서구,65~74,계,27.0
강서구,65~74,남,32.6
강서구,65~74,여,21.7
강서구,75 이상,계,25.5
강서구,75 이상,남,38.9
강서구,75 이상,여,18.2
중랑구,계,계,38.7
중랑구,계,남,43.0
중랑구,계,여,35.8
중랑구,19~44,계,50.5
중랑구,19~44,남,52.9
중랑구,19~44,여,48.7
중랑구,45~64,계,33.7
중랑구,45~64,남,38.9
중랑구,45~64,여,30.4
중랑구,65~74,계,25.4
중랑구,65~74,남,26.0
중랑구,65~74,여,25.0
중랑구,75 이상,계,13.8
중랑구,75 이상,남,28.6
중랑구,75 이상,여,5.4
종로구,계,계,46.8
종로구,계,남,54.7
종로구,계,여,40.6
종로구,19~44,계,57.6
종로구,19~44,남,64.3
종로구,19~44,여,52.1
종로구,45~64,계,44.0
종로구,45~64,남,50.3
종로구,45~64,여,38.6
종로구,65~74,계,41.5
종로구,65~74,남,53.1
종로구,65~74,여,32.5
종로구,75 이상,계,25.6
종로구,75 이상,남,34.3
종로구,75 이상,여,20.0
은평구,계,계,44.5
은평구,계,남,49.0
은평구,계,여,41.1
은평구,19~44,계,55.4
은평구,19~44,남,58.2
은평구,19~44,여,53.3
은평구,45~64,계,42.5
은평구,45~64,남,47.1
은평구,45~64,여,38.9
은평구,65~74,계,29.6
은평구,65~74,남,32.7
은평구,65~74,여,27.1
은평구,75 이상,계,17.3
은평구,75 이상,남,28.6
은평구,75 이상,여,11.3
성북구,계,계,43.3
성북구,계,남,50.2
성북구,계,여,37.4
성북구,19~44,계,53.6
성북구,19~44,남,59.0
성북구,19~44,여,48.5
성북구,45~64,계,42.0
성북구,45~64,남,52.5
성북구,45~64,여,33.7
성북구,65~74,계,29.5
성북구,65~74,남,31.9
성북구,65~74,여,27.3
성북구,75 이상,계,20.8
성북구,75 이상,남,23.1
성북구,75 이상,여,19.6
서대문구,계,계,45.1
서대문구,계,남,49.5
서대문구,계,여,41.6
서대문구,19~44,계,56.0
서대문구,19~44,남,58.2
서대문구,19~44,여,54.1
서대문구,45~64,계,41.1
서대문구,45~64,남,45.5
서대문구,45~64,여,37.7
서대문구,65~74,계,37.8
서대문구,65~74,남,44.6
서대문구,65~74,여,31.7
서대문구,75 이상,계,14.9
서대문구,75 이상,남,20.8
서대문구,75 이상,여,11.6
도봉구,계,계,41.7
도봉구,계,남,45.9
도봉구,계,여,38.5
도봉구,19~44,계,49.7
도봉구,19~44,남,49.4
도봉구,19~44,여,50.0
도봉구,45~64,계,41.3
도봉구,45~64,남,50.7
도봉구,45~64,여,35.2
도봉구,65~74,계,33.1
도봉구,65~74,남,38.2
도봉구,65~74,여,28.9
도봉구,75 이상,계,20.9
도봉구,75 이상,남,18.5
도봉구,75 이상,여,22.5
노원구,계,계,44.3
노원구,계,남,51.9
노원구,계,여,37.9
노원구,19~44,계,58.4
노원구,19~44,남,69.8
노원구,19~44,여,48.4
노원구,45~64,계,37.5
노원구,45~64,남,40.8
노원구,45~64,여,34.7
노원구,65~74,계,21.3
노원구,65~74,남,27.8
노원구,65~74,여,15.4
노원구,75 이상,계,19.6
노원구,75 이상,남,21.1
노원구,75 이상,여,18.9
강북구,계,계,39.8
강북구,계,남,48.4
강북구,계,여,33.2
강북구,19~44,계,58.8
강북구,19~44,남,63.8
강북구,19~44,여,54.4
강북구,45~64,계,34.1
강북구,45~64,남,42.5
강북구,45~64,여,28.9
강북구,65~74,계,19.0
강북구,65~74,남,29.9
강북구,65~74,여,9.9
강북구,75 이상,계,24.4
강북구,75 이상,남,38.2
강북구,75 이상,여,13.6
중구,계,계,37.7
중구,계,남,41.9
중구,계,여,34.3
중구,19~44,계,52.2
중구,19~44,남,55.8
중구,19~44,여,48.9
중구,45~64,계,34.4
중구,45~64,남,34.8
중구,45~64,여,34.1
중구,65~74,계,22.4
중구,65~74,남,32.8
중구,65~74,여,15.4
중구,75 이상,계,18.0
중구,75 이상,남,18.4
중구,75 이상,여,17.7
용산구,계,계,50.5
용산구,계,남,57.7
용산구,계,여,45.3
용산구,19~44,계,63.4
용산구,19~44,남,69.9
용산구,19~44,여,58.6
용산구,45~64,계,46.1
용산구,45~64,남,49.6
용산구,45~64,여,43.2
용산구,65~74,계,37.6
용산구,65~74,남,52.0
용산구,65~74,여,28.0
용산구,75 이상,계,29.6
용산구,75 이상,남,35.7
용산구,75 이상,여,27.1
송파구,계,계,48.8
송파구,계,남,52.4
송파구,계,여,46.2
송파구,19~44,계,55.7
송파구,19~44,남,58.9
송파구,19~44,여,53.6
송파구,45~64,계,49.1
송파구,45~64,남,52.6
송파구,45~64,여,46.2
송파구,65~74,계,23.9
송파구,65~74,남,34.1
송파구,65~74,여,13.6
송파구,75 이상,계,26.1
송파구,75 이상,남,26.7
송파구,75 이상,여,25.8
성동구,계,계,43.8
성동구,계,남,52.5
성동구,계,여,35.9
성동구,19~44,계,56.5
성동구,19~44,남,64.0
성동구,19~44,여,49.1
성동구,45~64,계,37.2
성동구,45~64,남,46.1
성동구,45~64,여,30.0
성동구,65~74,계,23.5
성동구,65~74,남,30.9
성동구,65~74,여,18.5
성동구,75 이상,계,31.9
성동구,75 이상,남,41.0
성동구,75 이상,여,20.0
서초구,계,계,48.4
서초구,계,남,55.4
서초구,계,여,43.2
서초구,19~44,계,55.6
서초구,19~44,남,59.8
서초구,19~44,여,52.7
서초구,45~64,계,44.4
서초구,45~64,남,56.2
서초구,45~64,여,36.0
서초구,65~74,계,35.8
서초구,65~74,남,43.8
서초구,65~74,여,27.7
서초구,75 이상,계,32.4
서초구,75 이상,남,35.3
서초구,75 이상,여,30.0
동대문구,계,계,42.7
동대문구,계,남,48.1
동대문구,계,여,38.0
동대문구,19~44,계,56.9
