지역,연령별,성별,격렬한 신체활동 실천
서울시,계,계,15.8
서울시,계,남,19.8
서울시,계,여,12.7
서울시,19~44,계,17.8
서울시,19~44,남,21.8
서울시,19~44,여,14.3
서울시,45~64,계,16.8
서울시,45~64,남,20.2
서울시,45~64,여,14.2
서울시,65~74,계,12.0
서울시,65~74,남,16.0
서울시,65~74,여,8.7
서울시,75 이상,계,5.3
서울시,75 이상,남,9.5
서울시,75 이상,여,2.5
영등포구,계,계,15.1
영등포구,계,남,17.9
영등포구,계,여,12.8
영등포구,19~44,계,16.8
영등포구,19~44,남,21.1
영등포구,19~44,여,13.0
영등포구,45~64,계,17.9
영등포구,45~64,남,20.4
영등포구,45~64,여,15.9
영등포구,65~74,계,8.5
영등포구,65~74,남,8.9
영등포구,65~74,여,8.2
영등포구,75 이상,계,3.0
영등포구,75 이상,남,0.0
영등포구,75 이상,여,5.3
양천구,계,계,17.2
양천구,계,남,22.5
양천구,계,여,12.9
양천구,19~44,계,18.4
양천구,19~44,남,26.4
양천구,19~44,여,11.4
양천구,45~64,계,19.9
양천구,45~64,남,23.5
양천구,45~64,여,17.2
양천구,65~74,계,8.1
양천구,65~74,남,11.1
양천구,65~74,여,5.6
양천구,75 이상,계,4.0
양천구,75 이상,남,5.0
양천구,75 이상,여,3.3
마포구,계,계,19.6
마포구,계,남,25.7
마포구,계,여,14.6
마포구,19~44,계,24.3
마포구,19~44,남,30.8
마포구,19~44,여,18.3
마포구,45~64,계,17.8
마포구,45~64,남,22.5
마포구,45~64,여,14.3
마포구,65~74,계,11.5
마포구,65~74,남,16.7
마포구,65~74,여,7.7
마포구,75 이상,계,2.2
마포구,75 이상,남,5.9
마포구,75 이상,여,0.0
동작구,계,계,13.9
동작구,계,남,19.5
동작구,계,여,9.0
동작구,19~44,계,15.3
동작구,19~44,남,20.6
동작구,19~44,여,10.3
동작구,45~64,계,14.4
동작구,45~64,남,19.7
동작구,45~64,여,10.1
동작구,65~74,계,10.0
동작구,65~74,남,18.2
동작구,65~74,여,3.6
동작구,75 이상,계,7.0
동작구,75 이상,남,11.5
동작구,75 이상,여,3.2
금천구,계,계,14.4
금천구,계,남,17.1
금천구,계,여,12.2
금천구,19~44,계,15.1
금천구,19~44,남,16.9
금천구,19~44,여,13.5
금천구,45~64,계,14.5
금천구,45~64,남,16.7
금천구,45~64,여,13.1
금천구,65~74,계,14.4
금천구,65~74,남,20.6
금천구,65~74,여,9.2
금천구,75 이상,계,5.4
금천구,75 이상,남,10.0
금천구,75 이상,여,0.0
구로구,계,계,13.1
구로구,계,남,15.0
구로구,계,여,11.5
구로구,19~44,계,14.6
구로구,19~44,남,13.3
구로구,19~44,여,15.6
구로구,45~64,계,12.5
구로구,45~64,남,15.4
구로구,45~64,여,10.3
구로구,65~74,계,12.0
구로구,65~74,남,18.9
구로구,65~74,여,6.2
구로구,75 이상,계,7.4
구로구,75 이상,남,16.7
구로구,75 이상,여,0.0
관악구,계,계,14.7
관악구,계,남,19.4
관악구,계,여,10.5
관악구,19~44,계,15.7
관악구,19~44,남,20.8
관악구,19~44,여,10.6
관악구,45~64,계,14.6
관악구,45~64,남,17.1
관악구,45~64,여,12.7
관악구,65~74,계,14.9
관악구,65~74,남,21.9
관악구,65~74,여,8.6
관악구,75 이상,계,4.7
관악구,75 이상,남,10.0
관악구,75 이상,여,0.0
강서구,계,계,15.5
강서구,계,남,18.1
강서구,계,여,13.3
강서구,19~44,계,16.7
강서구,19~44,남,18.2
강서구,19~44,여,15.2
강서구,45~64,계,16.4
강서구,45~64,남,18.7
강서구,45~64,여,14.5
강서구,65~74,계,13.5
강서구,65~74,남,20.9
강서구,65~74,여,6.5
강서구,75 이상,계,3.9
강서구,75 이상,남,5.6
강서구,75 이상,여,3.0
중랑구,계,계,20.9
중랑구,계,남,26.7
중랑구,계,여,16.9
중랑구,19~44,계,22.0
중랑구,19~44,남,30.8
중랑구,19~44,여,15.5
중랑구,45~64,계,24.2
중랑구,45~64,남,27.5
중랑구,45~64,여,22.1
중랑구,65~74,계,13.9
중랑구,65~74,남,14.0
중랑구,65~74,여,13.9
중랑구,75 이상,계,8.6
중랑구,75 이상,남,19.0
중랑구,75 이상,여,2.7
종로구,계,계,19.4
종로구,계,남,22.3
종로구,계,여,17.1
종로구,19~44,계,22.6
종로구,19~44,남,26.6
종로구,19~44,여,19.3
종로구,45~64,계,19.2
종로구,45~64,남,20.6
종로구,45~64,여,17.9
종로구,65~74,계,17.0
종로구,65~74,남,17.2
종로구,65~74,여,16.9
종로구,75 이상,계,12.2
종로구,75 이상,남,20.0
종로구,75 이상,여,7.3
은평구,계,계,15.5
은평구,계,남,19.5
은평구,계,여,12.5
은평구,19~44,계,17.7
은평구,19~44,남,23.2
은평구,19~44,여,13.5
은평구,45~64,계,16.9
은평구,45~64,남,19.3
은평구,45~64,여,15.1
은평구,65~74,계,12.0
은평구,65~74,남,12.2
은평구,65~74,여,11.9
은평구,75 이상,계,3.7
은평구,75 이상,남,10.7
은평구,75 이상,여,0.0
성북구,계,계,13.8
성북구,계,남,17.1
성북구,계,여,11.0
성북구,19~44,계,13.6
성북구,19~44,남,15.4
성북구,19~44,여,11.9
성북구,45~64,계,17.8
성북구,45~64,남,22.3
성북구,45~64,여,14.3
성북구,65~74,계,11.0
성북구,65~74,남,14.5
성북구,65~74,여,7.8
성북구,75 이상,계,2.8
성북구,75 이상,남,7.7
성북구,75 이상,여,0.0
서대문구,계,계,10.1
서대문구,계,남,12.9
서대문구,계,여,7.8
서대문구,19~44,계,13.4
서대문구,19~44,남,16.5
서대문구,19~44,여,10.9
서대문구,45~64,계,9.7
서대문구,45~64,남,12.2
서대문구,45~64,여,7.8
서대문구,65~74,계,6.4
서대문구,65~74,남,9.5
서대문구,65~74,여,3.7
서대문구,75 이상,계,0.0
서대문구,75 이상,남,0.0
서대문구,75 이상,여,0.0
도봉구,계,계,15.1
도봉구,계,남,18.5
도봉구,계,여,12.5
도봉구,19~44,계,17.3
도봉구,19~44,남,20.8
도봉구,19~44,여,14.1
도봉구,45~64,계,17.5
도봉구,45~64,남,19.1
도봉구,45~64,여,16.4
도봉구,65~74,계,9.9
도봉구,65~74,남,17.6
도봉구,65~74,여,3.6
도봉구,75 이상,계,3.0
도봉구,75 이상,남,3.7
도봉구,75 이상,여,2.5
노원구,계,계,12.9
노원구,계,남,15.6
노원구,계,여,10.7
노원구,19~44,계,15.8
노원구,19~44,남,21.2
노원구,19~44,여,11.1
노원구,45~64,계,12.7
노원구,45~64,남,12.1
노원구,45~64,여,13.1
노원구,65~74,계,8.0
노원구,65~74,남,11.1
