지역,연령별,성별,주관적 건강수준,걷기 실천,격렬한 신체활동 실천,긍정적 태도율(자연환경),주관적 스트레스 수준,우울감 경험률,중등도 신체활동 실천,체중조절 경험 여부,행복감 지수
서울시,계,계,43.6,57.3,15.8,70.4,29.5,8.3,9.4,63.8,6.79
서울시,계,남,49.1,59.2,19.8,72.0,29.1,6.2,11.2,56.0,6.8
서울시,계,여,39.2,55.8,12.7,69.1,29.7,10.0,8.0,70.1,6.78
서울시,19~44,계,54.4,59.2,17.8,66.4,36.3,7.8,8.5,71.6,6.93
서울시,19~44,남,58.5,62.0,21.8,69.5,36.0,5.8,10.1,63.7,6.93
서울시,19~44,여,50.9,56.7,14.3,63.7,36.5,9.4,7.2,78.3,6.93
서울시,45~64,계,38.9,55.0,16.8,71.0,27.1,8.7,10.3,64.9,6.72
서울시,45~64,남,43.8,53.6,20.2,72.2,28.1,6.4,11.6,53.3,6.66
서울시,45~64,여,35.1,56.0,14.2,70.0,26.4,10.3,9.2,73.7,6.76
서울시,65~74,계,30.2,60.9,12.0,77.0,19.7,8.7,11.2,50.6,6.63
서울시,65~74,남,38.5,63.2,16.0,76.7,15.6,6.8,13.4,46.3,6.74
서울시,65~74,여,23.5,59.0,8.7,77.2,23.0,10.2,9.4,54.1,6.54
서울시,75 이상,계,23.2,49.9,5.3,81.0,15.8,9.2,7.7,31.7,6.54
서울시,75 이상,남,31.1,60.7,9.5,78.7,12.3,6.6,12.3,33.6,6.75
서울시,75 이상,여,17.9,42.7,2.5,82.5,18.2,10.9,4.7,30.4,6.41
영등포구,계,계,47.6,62.1,15.1,45.5,28.6,6.8,11.0,67.7,6.74
영등포구,계,남,51.1,64.6,17.9,47.2,29.1,5.4,11.8,61.1,6.78
영등포구,계,여,44.5,59.9,12.8,44.0,28.1,7.9,10.3,73.4,6.7
영등포구,19~44,계,60.2,62.2,16.8,40.4,33.3,5.5,9.4,76.0,6.85
영등포구,19~44,남,63.2,64.0,21.1,40.8,34.2,5.4,10.3,71.4,6.8
영등포구,19~44,여,57.6,60.6,13.0,40.0,32.5,5.6,8.7,80.1,6.89
영등포구,45~64,계,37.2,62.5,17.9,43.1,29.2,7.0,13.0,65.4,6.61
영등포구,45~64,남,38.0,65.0,20.4,46.6,32.8,4.4,14.6,56.2,6.61
영등포구,45~64,여,36.6,60.4,15.9,40.1,26.2,9.1,11.6,73.2,6.62
영등포구,65~74,계,39.3,70.1,8.5,60.5,18.8,9.4,11.1,53.8,6.56
영등포구,65~74,남,46.4,69.6,8.9,62.5,12.5,8.9,8.9,42.9,6.95
영등포구,65~74,여,32.8,70.5,8.2,58.6,24.6,9.8,13.1,63.9,6.2
영등포구,75 이상,계,25.8,45.5,3.0,63.1,12.1,9.1,12.1,47.7,6.89
영등포구,75 이상,남,35.7,57.1,0.0,64.3,7.1,3.6,14.3,46.4,7.11
영등포구,75 이상,여,18.4,36.8,5.3,62.2,15.8,13.2,10.5,48.6,6.73
양천구,계,계,46.4,70.5,17.2,73.9,27.9,7.1,9.2,64.5,6.83
양천구,계,남,51.6,71.4,22.5,74.6,31.8,5.9,11.8,54.9,6.86
양천구,계,여,42.2,69.7,12.9,73.3,24.8,8.0,7.2,72.1,6.81
양천구,19~44,계,59.7,73.6,18.4,70.6,36.5,6.1,9.9,64.0,6.98
양천구,19~44,남,64.9,75.9,26.4,74.0,40.8,4.6,12.7,55.2,6.98
양천구,19~44,여,55.2,71.6,11.4,67.7,32.8,7.5,7.5,71.6,6.97
양천구,45~64,계,42.6,67.5,19.9,73.9,24.2,8.6,8.6,72.0,6.75
양천구,45~64,남,45.9,64.1,23.5,74.6,26.5,7.6,10.0,58.0,6.77
양천구,45~64,여,40.1,70.0,17.2,73.5,22.5,9.3,7.5,82.4,6.74
양천구,65~74,계,24.2,75.8,8.1,83.7,18.2,4.1,8.1,51.5,6.58
양천구,65~74,남,28.9,84.4,11.1,79.5,22.2,6.7,13.3,55.6,6.57
양천구,65~74,여,20.4,68.5,5.6,87.0,14.8,1.9,3.7,48.1,6.59
양천구,75 이상,계,20.0,60.0,4.0,79.6,12.0,8.0,12.0,34.0,6.82
양천구,75 이상,남,35.0,65.0,5.0,70.0,20.0,0.0,15.0,25.0,7.15
양천구,75 이상,여,10.0,56.7,3.3,86.2,6.7,13.3,10.0,40.0,6.6
마포구,계,계,44.1,58.2,19.6,65.3,32.3,11.8,11.9,69.6,6.82
마포구,계,남,46.5,57.9,25.7,68.2,33.2,9.7,16.2,65.1,6.74
마포구,계,여,42.1,58.5,14.6,63.0,31.6,13.4,8.3,73.3,6.89
마포구,19~44,계,53.0,57.8,24.3,60.8,36.5,11.3,12.7,73.3,6.88
마포구,19~44,남,55.3,59.2,30.8,63.4,39.0,10.1,18.0,69.3,6.82
마포구,19~44,여,51.0,56.6,18.3,58.4,34.3,12.4,8.0,76.9,6.93
마포구,45~64,계,39.5,57.3,17.8,67.1,29.2,12.8,10.3,74.4,6.77
마포구,45~64,남,40.0,53.3,22.5,72.4,30.0,10.8,11.7,65.8,6.65
마포구,45~64,여,39.1,60.2,14.3,63.4,28.6,14.3,9.3,80.7,6.85
마포구,65~74,계,29.2,58.4,11.5,76.6,26.5,9.7,11.5,59.3,6.65
마포구,65~74,남,35.4,60.4,16.7,81.2,22.9,4.2,16.7,50.0,6.48
마포구,65~74,여,24.6,56.9,7.7,73.0,29.2,13.8,7.7,66.2,6.78
마포구,75 이상,계,15.2,67.4,2.2,72.7,21.7,15.2,13.0,28.3,7.02
