지역,연령별,성별,걷기 실천
서울시,계,계,60.3
서울시,계,남,62.8
서울시,계,여,58.2
서울시,19~44,계,63.4
서울시,19~44,남,66.3
서울시,19~44,여,60.8
서울시,45~64,계,59.0
서울시,45~64,남,59.5
서울시,45~64,여,58.7
서울시,65~74,계,61.5
서울시,65~74,남,64.6
서울시,65~74,여,59.2
서울시,75 이상,계,48.0
서울시,75 이상,남,56.1
서울시,75 이상,여,42.1
영등포구,계,계,74.2
영등포구,계,남,76.0
영등포구,계,여,72.6
영등포구,19~44,계,77.4
영등포구,19~44,남,82.2
영등포구,19~44,여,73.0
영등포구,45~64,계,71.9
영등포구,45~64,남,68.3
영등포구,45~64,여,75.1
영등포구,65~74,계,79.1
영등포구,65~74,남,81.1
영등포구,65~74,여,77.6
영등포구,75 이상,계,59.1
영등포구,75 이상,남,69.2
영등포구,75 이상,여,52.5
양천구,계,계,59.8
양천구,계,남,62.7
양천구,계,여,57.5
양천구,19~44,계,67.1
양천구,19~44,남,72.0
양천구,19~44,여,63.0
양천구,45~64,계,55.8
양천구,45~64,남,54.7
양천구,45~64,여,56.6
양천구,65~74,계,56.8
양천구,65~74,남,62.5
양천구,65~74,여,51.6
양천구,75 이상,계,49.1
양천구,75 이상,남,57.1
양천구,75 이상,여,41.4
마포구,계,계,69.5
마포구,계,남,75.2
마포구,계,여,65.1
마포구,19~44,계,72.2
마포구,19~44,남,77.5
마포구,19~44,여,67.6
마포구,45~64,계,68.1
마포구,45~64,남,73.8
마포구,45~64,여,63.7
마포구,65~74,계,72.4
마포구,65~74,남,76.2
마포구,65~74,여,70.6
마포구,75 이상,계,55.8
마포구,75 이상,남,66.7
마포구,75 이상,여,46.3
동작구,계,계,63.4
동작구,계,남,66.5
동작구,계,여,60.6
동작구,19~44,계,66.8
동작구,19~44,남,66.2
동작구,19~44,여,67.4
동작구,45~64,계,62.2
동작구,45~64,남,66.4
동작구,45~64,여,58.6
동작구,65~74,계,63.9
동작구,65~74,남,71.4
동작구,65~74,여,58.6
동작구,75 이상,계,44.1
동작구,75 이상,남,60.7
동작구,75 이상,여,29.0
금천구,계,계,56.9
금천구,계,남,58.2
금천구,계,여,56.0
금천구,19~44,계,62.4
금천구,19~44,남,65.6
금천구,19~44,여,59.7
금천구,45~64,계,57.7
금천구,45~64,남,54.7
금천구,45~64,여,60.1
금천구,65~74,계,48.8
금천구,65~74,남,55.2
금천구,65~74,여,43.5
금천구,75 이상,계,40.8
금천구,75 이상,남,42.9
금천구,75 이상,여,39.5
구로구,계,계,63.3
구로구,계,남,64.6
구로구,계,여,62.4
구로구,19~44,계,67.6
구로구,19~44,남,68.9
구로구,19~44,여,66.7
구로구,45~64,계,63.5
구로구,45~64,남,62.1
구로구,45~64,여,64.5
구로구,65~74,계,58.8
구로구,65~74,남,64.6
구로구,65~74,여,54.9
구로구,75 이상,계,49.3
구로구,75 이상,남,56.2
구로구,75 이상,여,44.2
관악구,계,계,73.7
관악구,계,남,75.1
관악구,계,여,72.4
관악구,19~44,계,75.1
관악구,19~44,남,78.3
관악구,19~44,여,71.6
관악구,45~64,계,74.4
관악구,45~64,남,71.2
관악구,45~64,여,76.8
관악구,65~74,계,72.5
관악구,65~74,남,78.0
관악구,65~74,여,67.8
관악구,75 이상,계,65.0
관악구,75 이상,남,66.7
관악구,75 이상,여,63.4
강서구,계,계,55.7
강서구,계,남,58.6
강서구,계,여,53.0
강서구,19~44,계,57.5
강서구,19~44,남,63.5
강서구,19~44,여,51.7
강서구,45~64,계,50.7
강서구,45~64,남,52.0
강서구,45~64,여,49.7
강서구,65~74,계,66.3
강서구,65~74,남,60.9
강서구,65~74,여,70.7
강서구,75 이상,계,52.3
강서구,75 이상,남,55.2
강서구,75 이상,여,50.0
중랑구,계,계,57.0
중랑구,계,남,58.1
중랑구,계,여,56.2
중랑구,19~44,계,61.5
중랑구,19~44,남,62.6
중랑구,19~44,여,60.5
중랑구,45~64,계,50.6
중랑구,45~64,남,48.9
중랑구,45~64,여,51.7
중랑구,65~74,계,60.9
중랑구,65~74,남,61.4
중랑구,65~74,여,60.6
중랑구,75 이상,계,59.1
중랑구,75 이상,남,68.8
중랑구,75 이상,여,50.0
종로구,계,계,49.8
종로구,계,남,55.2
종로구,계,여,45.5
종로구,19~44,계,58.2
종로구,19~44,남,63.6
종로구,19~44,여,53.2
종로구,45~64,계,45.1
종로구,45~64,남,49.4
종로구,45~64,여,41.7
종로구,65~74,계,52.6
종로구,65~74,남,60.4
종로구,65~74,여,47.5
종로구,75 이상,계,36.1
종로구,75 이상,남,39.5
종로구,75 이상,여,33.9
은평구,계,계,49.8
은평구,계,남,55.6
은평구,계,여,45.2
은평구,19~44,계,49.4
은평구,19~44,남,58.8
은평구,19~44,여,42.0
은평구,45~64,계,51.5
은평구,45~64,남,50.6
은평구,45~64,여,52.3
은평구,65~74,계,52.9
은평구,65~74,남,67.3
은평구,65~74,여,42.9
은평구,75 이상,계,38.8
은평구,75 이상,남,47.1
은평구,75 이상,여,32.6
성북구,계,계,63.6
성북구,계,남,64.0
성북구,계,여,63.3
성북구,19~44,계,65.4
성북구,19~44,남,64.7
성북구,19~44,여,66.0
성북구,45~64,계,63.5
성북구,45~64,남,62.7
성북구,45~64,여,64.1
성북구,65~74,계,70.0
성북구,65~74,남,67.4
성북구,65~74,여,72.2
성북구,75 이상,계,47.5
성북구,75 이상,남,61.3
성북구,75 이상,여,38.8
서대문구,계,계,62.4
서대문구,계,남,64.2
서대문구,계,여,60.9
서대문구,19~44,계,66.7
서대문구,19~44,남,69.5
서대문구,19~44,여,64.1
서대문구,45~64,계,61.5
서대문구,45~64,남,56.5
서대문구,45~64,여,65.3
서대문구,65~74,계,62.3
서대문구,65~74,남,69.6
서대문구,65~74,여,57.8
서대문구,75 이상,계,49.0
서대문구,75 이상,남,59.1
서대문구,75 이상,여,40.7
도봉구,계,계,49.2
도봉구,계,남,53.8
도봉구,계,여,45.6
도봉구,19~44,계,45.7
도봉구,19~44,남,51.0
도봉구,19~44,여,41.3
도봉구,45~64,계,53.5
도봉구,45~64,남,56.9
도봉구,45~64,여,51.0
도봉구,65~74,계,47.3
도봉구,65~74,남,56.4
도봉구,65~74,여,40.5
도봉구,75 이상,계,47.4
도봉구,75 이상,남,48.5
도봉구,75 이상,여,46.5
노원구,계,계,46.5
노원구,계,남,50.1
노원구,계,여,43.9
노원구,19~44,계,46.9
노원구,19~44,남,46.9
노원구,19~44,여,47.0
노원구,45~64,계,47.4
노원구,45~64,남,52.3
노원구,45~64,여,43.7
노원구,65~74,계,49.5
노원구,65~74,남,54.5
노원구,65~74,여,44.7
노원구,75 이상,계,36.5
노원구,75 이상,남,52.9
노원구,75 이상,여,31.6
강북구,계,계,49.9
강북구,계,남,52.6
강북구,계,여,47.7
강북구,19~44,계,51.1
강북구,19~44,남,56.9
강북구,19~44,여,45.8
강북구,45~64,계,49.9
강북구,45~64,남,48.1
강북구,45~64,여,51.2
강북구,65~74,계,54.7
강북구,65~74,남,55.2
강북구,65~74,여,54.3
강북구,75 이상,계,37.5
강북구,75 이상,남,48.6
강북구,75 이상,여,29.4
중구,계,계,65.2
중구,계,남,68.6
중구,계,여,62.7
중구,19~44,계,68.5
중구,19~44,남,70.7
중구,19~44,여,66.5
중구,45~64,계,68.0
중구,45~64,남,70.0
중구,45~64,여,66.5
중구,65~74,계,59.2
중구,65~74,남,66.1
중구,65~74,여,54.2
중구,75 이상,계,51.7
중구,75 이상,남,56.2
중구,75 이상,여,49.1
용산구,계,계,58.3
용산구,계,남,59.7
용산구,계,여,57.3
용산구,19~44,계,58.7
용산구,19~44,남,60.7
용산구,19~44,여,57.3
용산구,45~64,계,59.9
용산구,45~64,남,58.2
용산구,45~64,여,61.2
용산구,65~74,계,60.2
용산구,65~74,남,62.2
용산구,65~74,여,58.7
용산구,75 이상,계,51.3
용산구,75 이상,남,57.8
용산구,75 이상,여,47.1
송파구,계,계,77.0
송파구,계,남,78.8
송파구,계,여,75.5
송파구,19~44,계,75.1
송파구,19~44,남,77.8
송파구,19~44,여,72.8
송파구,45~64,계,79.9
송파구,45~64,남,79.8
