지역,연령별,성별,긍정적 태도율(자연환경)
서울시,계,계,70.1
서울시,계,남,71.7
서울시,계,여,68.8
서울시,19~44,계,64.4
서울시,19~44,남,66.4
서울시,19~44,여,62.6
서울시,45~64,계,72.0
서울시,45~64,남,74.5
서울시,45~64,여,70.0
서울시,65~74,계,77.0
서울시,65~74,남,76.6
서울시,65~74,여,77.4
서울시,75 이상,계,80.5
서울시,75 이상,남,80.8
서울시,75 이상,여,80.3
영등포구,계,계,49.6
영등포구,계,남,47.2
영등포구,계,여,51.6
영등포구,19~44,계,41.7
영등포구,19~44,남,42.1
영등포구,19~44,여,41.4
영등포구,45~64,계,49.9
영등포구,45~64,남,44.5
영등포구,45~64,여,54.7
영등포구,65~74,계,69.8
영등포구,65~74,남,73.0
영등포구,65~74,여,67.3
영등포구,75 이상,계,72.3
영등포구,75 이상,남,68.0
영등포구,75 이상,여,75.0
양천구,계,계,71.4
양천구,계,남,70.0
양천구,계,여,72.5
양천구,19~44,계,65.3
양천구,19~44,남,64.0
양천구,19~44,여,66.5
양천구,45~64,계,76.0
양천구,45~64,남,76.6
양천구,45~64,여,75.6
양천구,65~74,계,69.8
양천구,65~74,남,69.1
양천구,65~74,여,70.5
양천구,75 이상,계,80.7
양천구,75 이상,남,67.9
양천구,75 이상,여,93.1
마포구,계,계,60.3
마포구,계,남,60.4
마포구,계,여,60.3
마포구,19~44,계,56.6
마포구,19~44,남,55.3
마포구,19~44,여,57.8
마포구,45~64,계,60.8
마포구,45~64,남,63.8
마포구,45~64,여,58.5
마포구,65~74,계,68.5
마포구,65~74,남,69.0
마포구,65~74,여,68.2
마포구,75 이상,계,64.0
마포구,75 이상,남,63.9
마포구,75 이상,여,64.1
동작구,계,계,64.4
동작구,계,남,68.5
동작구,계,여,60.9
동작구,19~44,계,59.4
동작구,19~44,남,65.6
동작구,19~44,여,53.7
동작구,45~64,계,63.4
동작구,45~64,남,66.2
동작구,45~64,여,60.9
동작구,65~74,계,78.8
동작구,65~74,남,79.2
동작구,65~74,여,78.6
동작구,75 이상,계,75.9
동작구,75 이상,남,82.1
동작구,75 이상,여,70.0
금천구,계,계,70.3
금천구,계,남,70.2
금천구,계,여,70.4
금천구,19~44,계,58.1
금천구,19~44,남,60.6
금천구,19~44,여,56.1
금천구,45~64,계,75.5
금천구,45~64,남,76.7
금천구,45~64,여,74.6
금천구,65~74,계,81.7
금천구,65~74,남,70.2
금천구,65~74,여,91.3
금천구,75 이상,계,81.7
금천구,75 이상,남,85.7
금천구,75 이상,여,79.1
구로구,계,계,58.2
구로구,계,남,63.3
구로구,계,여,54.5
구로구,19~44,계,54.9
구로구,19~44,남,58.9
구로구,19~44,여,52.0
