지역,연령별,성별,주관적 스트레스 수준
서울시,계,계,25.9
서울시,계,남,24.8
서울시,계,여,26.7
서울시,19~44,계,32.5
서울시,19~44,남,30.1
서울시,19~44,여,34.6
서울시,45~64,계,23.5
서울시,45~64,남,24.7
서울시,45~64,여,22.6
서울시,65~74,계,16.8
서울시,65~74,남,14.4
서울시,65~74,여,18.6
서울시,75 이상,계,16.9
서울시,75 이상,남,12.2
서울시,75 이상,여,20.4
영등포구,계,계,28.1
영등포구,계,남,28.4
영등포구,계,여,27.8
영등포구,19~44,계,31.6
영등포구,19~44,남,30.2
영등포구,19~44,여,32.9
영등포구,45~64,계,30.1
영등포구,45~64,남,32.9
영등포구,45~64,여,27.6
영등포구,65~74,계,12.8
영등포구,65~74,남,10.8
영등포구,65~74,여,14.3
영등포구,75 이상,계,15.2
영등포구,75 이상,남,11.5
영등포구,75 이상,여,17.5
양천구,계,계,28.2
양천구,계,남,29.8
양천구,계,여,26.9
양천구,19~44,계,35.8
양천구,19~44,남,33.7
양천구,19~44,여,37.6
양천구,45~64,계,25.6
양천구,45~64,남,32.4
양천구,45~64,여,20.4
양천구,65~74,계,21.2
양천구,65~74,남,17.9
양천구,65~74,여,24.2
양천구,75 이상,계,14.3
양천구,75 이상,남,14.8
양천구,75 이상,여,13.8
마포구,계,계,24.1
마포구,계,남,21.1
마포구,계,여,26.5
마포구,19~44,계,27.3
마포구,19~44,남,25.1
마포구,19~44,여,29.2
마포구,45~64,계,21.6
마포구,45~64,남,19.2
마포구,45~64,여,23.4
마포구,65~74,계,19.7
마포구,65~74,남,11.9
마포구,65~74,여,23.5
마포구,75 이상,계,24.0
마포구,75 이상,남,16.7
마포구,75 이상,여,30.8
동작구,계,계,27.0
동작구,계,남,24.1
동작구,계,여,29.6
동작구,19~44,계,32.5
동작구,19~44,남,28.9
동작구,19~44,여,35.8
동작구,45~64,계,26.3
동작구,45~64,남,24.8
동작구,45~64,여,27.6
동작구,65~74,계,13.4
동작구,65~74,남,12.2
동작구,65~74,여,14.3
동작구,75 이상,계,20.3
동작구,75 이상,남,7.1
동작구,75 이상,여,32.3
금천구,계,계,30.5
금천구,계,남,25.2
금천구,계,여,34.6
금천구,19~44,계,35.9
금천구,19~44,남,28.0
금천구,19~44,여,42.4
금천구,45~64,계,32.0
금천구,45~64,남,31.7
금천구,45~64,여,32.2
금천구,65~74,계,18.1
금천구,65~74,남,5.2
금천구,65~74,여,29.0
금천구,75 이상,계,18.3
금천구,75 이상,남,14.3
금천구,75 이상,여,20.9
구로구,계,계,22.6
구로구,계,남,24.5
구로구,계,여,21.3
구로구,19~44,계,31.8
구로구,19~44,남,34.4
구로구,19~44,여,30.0
구로구,45~64,계,18.8
구로구,45~64,남,20.9
구로구,45~64,여,17.3
구로구,65~74,계,15.1
구로구,65~74,남,16.7
구로구,65~74,여,14.1
구로구,75 이상,계,9.3
구로구,75 이상,남,6.2
구로구,75 이상,여,11.6
관악구,계,계,24.6
관악구,계,남,24.7
관악구,계,여,24.5
관악구,19~44,계,30.1
관악구,19~44,남,27.8
관악구,19~44,여,32.5
관악구,45~64,계,22.4
관악구,45~64,남,28.0
관악구,45~64,여,18.4
관악구,65~74,계,15.6
관악구,65~74,남,10.0
관악구,65~74,여,20.3
관악구,75 이상,계,17.5
관악구,75 이상,남,15.4
관악구,75 이상,여,19.5
강서구,계,계,28.4
강서구,계,남,29.5
강서구,계,여,27.4
강서구,19~44,계,34.1
강서구,19~44,남,31.7
강서구,19~44,여,36.4
강서구,45~64,계,28.3
강서구,45~64,남,34.0
강서구,45~64,여,23.8
강서구,65~74,계,15.4
강서구,65~74,남,21.7
강서구,65~74,여,10.3
강서구,75 이상,계,13.8
강서구,75 이상,남,3.4
강서구,75 이상,여,22.2
중랑구,계,계,29.2
중랑구,계,남,26.7
중랑구,계,여,31.1
중랑구,19~44,계,37.5
중랑구,19~44,남,33.9
중랑구,19~44,여,40.5
중랑구,45~64,계,27.4
중랑구,45~64,남,27.7
중랑구,45~64,여,27.3
중랑구,65~74,계,14.8
중랑구,65~74,남,10.5
중랑구,65~74,여,18.3
중랑구,75 이상,계,19.7
중랑구,75 이상,남,12.5
중랑구,75 이상,여,26.5
종로구,계,계,23.7
종로구,계,남,22.9
종로구,계,여,24.3
종로구,19~44,계,29.2
종로구,19~44,남,27.9
종로구,19~44,여,30.4
종로구,45~64,계,23.2
종로구,45~64,남,25.3
종로구,45~64,여,21.6
종로구,65~74,계,17.3
종로구,65~74,남,9.4
종로구,65~74,여,22.5
종로구,75 이상,계,15.5
종로구,75 이상,남,10.5
종로구,75 이상,여,18.6
은평구,계,계,20.8
은평구,계,남,21.6
은평구,계,여,20.2
은평구,19~44,계,26.1
은평구,19~44,남,26.4
은평구,19~44,여,25.9
은평구,45~64,계,18.0
은평구,45~64,남,20.5
은평구,45~64,여,16.1
은평구,65~74,계,16.0
은평구,65~74,남,18.4
은평구,65~74,여,14.3
은평구,75 이상,계,16.2
은평구,75 이상,남,8.8
은평구,75 이상,여,21.7
성북구,계,계,27.8
성북구,계,남,29.7
성북구,계,여,26.2
성북구,19~44,계,34.8
성북구,19~44,남,33.7
성북구,19~44,여,35.9
성북구,45~64,계,21.7
성북구,45~64,남,28.7
성북구,45~64,여,16.4
성북구,65~74,계,27.0
성북구,65~74,남,26.1
성북구,65~74,여,27.8
성북구,75 이상,계,20.0
성북구,75 이상,남,16.1
성북구,75 이상,여,22.4
서대문구,계,계,23.7
서대문구,계,남,22.0
서대문구,계,여,25.0
서대문구,19~44,계,29.3
서대문구,19~44,남,28.7
서대문구,19~44,여,29.9
서대문구,45~64,계,23.0
서대문구,45~64,남,18.3
서대문구,45~64,여,26.6
서대문구,65~74,계,17.1
서대문구,65~74,남,17.9
서대문구,65~74,여,16.7
서대문구,75 이상,계,14.3
서대문구,75 이상,남,11.4
서대문구,75 이상,여,16.7
도봉구,계,계,26.9
도봉구,계,남,26.7
도봉구,계,여,27.1
도봉구,19~44,계,35.9
도봉구,19~44,남,32.1
도봉구,19~44,여,39.1
