지역,연령별,성별,중등도 신체활동 실천
서울시,계,계,9.5
서울시,계,남,11.5
서울시,계,여,7.8
서울시,19~44,계,8.8
서울시,19~44,남,11.3
서울시,19~44,여,6.7
서울시,45~64,계,10.3
서울시,45~64,남,11.3
서울시,45~64,여,9.6
서울시,65~74,계,10.9
서울시,65~74,남,13.5
서울시,65~74,여,8.9
서울시,75 이상,계,6.9
서울시,75 이상,남,11.3
서울시,75 이상,여,3.7
영등포구,계,계,8.8
영등포구,계,남,9.1
영등포구,계,여,8.5
영등포구,19~44,계,6.1
영등포구,19~44,남,6.4
영등포구,19~44,여,5.9
영등포구,45~64,계,9.9
영등포구,45~64,남,6.7
영등포구,45~64,여,12.7
영등포구,65~74,계,16.3
영등포구,65~74,남,24.3
영등포구,65~74,여,10.2
영등포구,75 이상,계,10.6
영등포구,75 이상,남,23.1
영등포구,75 이상,여,2.5
양천구,계,계,8.8
양천구,계,남,11.8
양천구,계,여,6.4
양천구,19~44,계,6.0
양천구,19~44,남,6.1
양천구,19~44,여,5.8
양천구,45~64,계,12.0
양천구,45~64,남,15.9
양천구,45~64,여,9.0
양천구,65~74,계,7.6
양천구,65~74,남,14.3
양천구,65~74,여,1.6
양천구,75 이상,계,7.0
양천구,75 이상,남,14.3
양천구,75 이상,여,0.0
마포구,계,계,8.2
마포구,계,남,9.0
마포구,계,여,7.6
마포구,19~44,계,7.3
마포구,19~44,남,6.8
마포구,19~44,여,7.8
마포구,45~64,계,11.0
마포구,45~64,남,12.3
마포구,45~64,여,9.9
마포구,65~74,계,6.3
마포구,65~74,남,9.5
마포구,65~74,여,4.7
마포구,75 이상,계,5.2
마포구,75 이상,남,8.3
마포구,75 이상,여,2.4
동작구,계,계,9.8
동작구,계,남,12.4
동작구,계,여,7.6
동작구,19~44,계,8.9
동작구,19~44,남,12.4
동작구,19~44,여,5.6
동작구,45~64,계,12.4
동작구,45~64,남,15.4
동작구,45~64,여,9.8
동작구,65~74,계,6.7
동작구,65~74,남,4.1
동작구,65~74,여,8.6
동작구,75 이상,계,8.5
동작구,75 이상,남,10.7
동작구,75 이상,여,6.5
금천구,계,계,5.5
금천구,계,남,6.9
금천구,계,여,4.3
금천구,19~44,계,4.3
금천구,19~44,남,5.1
금천구,19~44,여,3.7
금천구,45~64,계,5.4
금천구,45~64,남,5.6
금천구,45~64,여,5.3
금천구,65~74,계,9.5
금천구,65~74,남,17.2
금천구,65~74,여,2.9
금천구,75 이상,계,4.2
금천구,75 이상,남,3.6
금천구,75 이상,여,4.7
구로구,계,계,7.2
구로구,계,남,11.5
구로구,계,여,4.1
구로구,19~44,계,7.3
구로구,19~44,남,13.2
구로구,19~44,여,2.9
구로구,45~64,계,8.2
구로구,45~64,남,11.8
구로구,45~64,여,5.6
구로구,65~74,계,6.7
구로구,65~74,남,8.3
구로구,65~74,여,5.6
구로구,75 이상,계,2.7
구로구,75 이상,남,6.2
구로구,75 이상,여,0.0
관악구,계,계,8.9
관악구,계,남,10.2
관악구,계,여,7.7
관악구,19~44,계,10.8
관악구,19~44,남,13.7
관악구,19~44,여,7.7
관악구,45~64,계,7.3
관악구,45~64,남,5.3
관악구,45~64,여,8.6
관악구,65~74,계,8.3
관악구,65~74,남,10.0
관악구,65~74,여,6.8
관악구,75 이상,계,6.3
관악구,75 이상,남,7.7
관악구,75 이상,여,5.0
강서구,계,계,8.5
강서구,계,남,10.5
강서구,계,여,6.7
강서구,19~44,계,8.7
강서구,19~44,남,10.8
강서구,19~44,여,6.7
강서구,45~64,계,8.3
강서구,45~64,남,8.7
강서구,45~64,여,7.9
강서구,65~74,계,9.6
강서구,65~74,남,15.2
강서구,65~74,여,5.2
강서구,75 이상,계,6.2
강서구,75 이상,남,10.3
강서구,75 이상,여,2.8
중랑구,계,계,11.0
중랑구,계,남,14.2
중랑구,계,여,8.6
중랑구,19~44,계,12.9
중랑구,19~44,남,18.1
중랑구,19~44,여,8.5
중랑구,45~64,계,9.1
중랑구,45~64,남,10.6
중랑구,45~64,여,8.1
중랑구,65~74,계,11.7
중랑구,65~74,남,10.5
중랑구,65~74,여,12.7
중랑구,75 이상,계,9.1
중랑구,75 이상,남,15.6
중랑구,75 이상,여,2.9
종로구,계,계,9.8
종로구,계,남,13.4
종로구,계,여,7.0
