지역,연령별,성별,1인당 연소득
서울시,계,계,2029.6
서울시,계,남,2066.9
서울시,계,여,2000.3
서울시,19~44,계,2235.7
서울시,19~44,남,2270.1
서울시,19~44,여,2206.0
서울시,45~64,계,2229.6
서울시,45~64,남,2252.8
서울시,45~64,여,2212.3
서울시,65~74,계,1571.4
서울시,65~74,남,1686.7
서울시,65~74,여,1485.3
서울시,75 이상,계,1280.1
서울시,75 이상,남,1206.3
서울시,75 이상,여,1334.9
영등포구,계,계,2275.5
영등포구,계,남,2366.8
영등포구,계,여,2195.8
영등포구,19~44,계,2578.2
영등포구,19~44,남,2636.7
영등포구,19~44,여,2523.3
영등포구,45~64,계,2405.3
영등포구,45~64,남,2596.6
영등포구,45~64,여,2254.9
영등포구,65~74,계,1711.8
영등포구,65~74,남,1722.1
영등포구,65~74,여,1703.8
영등포구,75 이상,계,1258.9
영등포구,75 이상,남,1340.9
영등포구,75 이상,여,1153.8
양천구,계,계,2077.8
양천구,계,남,2077.2
양천구,계,여,2078.2
양천구,19~44,계,2232.0
양천구,19~44,남,2196.9
양천구,19~44,여,2261.8
양천구,45~64,계,2319.9
양천구,45~64,남,2374.1
양천구,45~64,여,2275.5
양천구,65~74,계,1332.7
양천구,65~74,남,1348.7
양천구,65~74,여,1318.8
양천구,75 이상,계,1249.2
양천구,75 이상,남,798.4
양천구,75 이상,여,1487.1
마포구,계,계,1998.0
마포구,계,남,2008.6
마포구,계,여,1989.9
마포구,19~44,계,2260.8
마포구,19~44,남,2313.4
마포구,19~44,여,2218.2
마포구,45~64,계,2001.0
마포구,45~64,남,1929.4
마포구,45~64,여,2051.1
마포구,65~74,계,1703.0
마포구,65~74,남,1715.6
마포구,65~74,여,1694.7
마포구,75 이상,계,1356.7
마포구,75 이상,남,1382.6
마포구,75 이상,여,1334.4
동작구,계,계,1910.8
동작구,계,남,1985.5
동작구,계,여,1853.9
동작구,19~44,계,2126.0
동작구,19~44,남,2142.1
동작구,19~44,여,2112.3
동작구,45~64,계,2163.8
동작구,45~64,남,2239.9
동작구,45~64,여,2106.5
동작구,65~74,계,1407.8
동작구,65~74,남,1569.6
동작구,65~74,여,1302.7
동작구,75 이상,계,1088.4
동작구,75 이상,남,1087.0
동작구,75 이상,여,1089.3
금천구,계,계,1793.8
금천구,계,남,1868.5
금천구,계,여,1730.0
금천구,19~44,계,1995.8
금천구,19~44,남,2126.9
금천구,19~44,여,1873.6
금천구,45~64,계,1915.4
금천구,45~64,남,1973.6
금천구,45~64,여,1873.7
금천구,65~74,계,1448.1
금천구,65~74,남,1594.7
금천구,65~74,여,1292.2
금천구,75 이상,계,1032.3
금천구,75 이상,남,907.8
금천구,75 이상,여,1143.2
구로구,계,계,1898.2
구로구,계,남,1942.0
구로구,계,여,1863.0
구로구,19~44,계,2132.1
구로구,19~44,남,2199.8
구로구,19~44,여,2076.6
구로구,45~64,계,2115.8
구로구,45~64,남,2117.1
구로구,45~64,여,2114.7
구로구,65~74,계,1300.1
구로구,65~74,남,1440.2
구로구,65~74,여,1211.4
구로구,75 이상,계,1049.4
구로구,75 이상,남,984.5
구로구,75 이상,여,1109.9
관악구,계,계,1812.0
관악구,계,남,1866.2
관악구,계,여,1770.8
관악구,19~44,계,2165.8
관악구,19~44,남,2211.3
관악구,19~44,여,2124.6
관악구,45~64,계,1889.8
관악구,45~64,남,1987.1
관악구,45~64,여,1829.0
관악구,65~74,계,1272.7
관악구,65~74,남,1218.5
관악구,65~74,여,1305.4
관악구,75 이상,계,1023.8
관악구,75 이상,남,1048.0
관악구,75 이상,여,999.5
강서구,계,계,1838.1
강서구,계,남,1936.8
강서구,계,여,1760.4
강서구,19~44,계,2082.0
강서구,19~44,남,2197.8
강서구,19~44,여,1975.1
강서구,45~64,계,1951.6
강서구,45~64,남,2051.0
강서구,45~64,여,1884.8
강서구,65~74,계,1386.3
강서구,65~74,남,1550.4
강서구,65~74,여,1262.7
강서구,75 이상,계,985.3
강서구,75 이상,남,875.3
강서구,75 이상,여,1076.2
