지역,연령별,성별,체중조절 경험 여부
서울시,계,계,66.5
서울시,계,남,60.0
서울시,계,여,71.5
서울시,19~44,계,72.7
서울시,19~44,남,67.0
서울시,19~44,여,77.7
서울시,45~64,계,70.6
서울시,45~64,남,60.9
서울시,45~64,여,77.8
서울시,65~74,계,60.1
서울시,65~74,남,52.3
서울시,65~74,여,66.0
서울시,75 이상,계,39.5
서울시,75 이상,남,41.3
서울시,75 이상,여,38.2
영등포구,계,계,69.3
영등포구,계,남,62.4
영등포구,계,여,75.4
영등포구,19~44,계,76.5
영등포구,19~44,남,73.4
영등포구,19~44,여,79.6
영등포구,45~64,계,67.5
영등포구,45~64,남,54.9
영등포구,45~64,여,77.3
영등포구,65~74,계,68.0
영등포구,65~74,남,61.2
영등포구,65~74,여,73.3
영등포구,75 이상,계,45.3
영등포구,75 이상,남,42.5
영등포구,75 이상,여,48.6
양천구,계,계,68.5
양천구,계,남,60.4
양천구,계,여,74.8
양천구,19~44,계,67.8
양천구,19~44,남,56.7
양천구,19~44,여,76.6
양천구,45~64,계,75.6
양천구,45~64,남,69.0
양천구,45~64,여,80.7
양천구,65~74,계,58.9
양천구,65~74,남,48.0
양천구,65~74,여,67.7
양천구,75 이상,계,47.9
양천구,75 이상,남,48.0
양천구,75 이상,여,47.8
마포구,계,계,72.3
마포구,계,남,67.0
마포구,계,여,76.2
마포구,19~44,계,76.7
마포구,19~44,남,70.1
마포구,19~44,여,81.9
마포구,45~64,계,76.8
마포구,45~64,남,67.8
마포구,45~64,여,82.8
마포구,65~74,계,67.5
마포구,65~74,남,71.2
마포구,65~74,여,64.9
마포구,75 이상,계,49.0
마포구,75 이상,남,48.9
마포구,75 이상,여,49.1
동작구,계,계,66.6
동작구,계,남,62.5
동작구,계,여,69.8
동작구,19~44,계,74.3
동작구,19~44,남,73.1
동작구,19~44,여,75.4
동작구,45~64,계,72.0
동작구,45~64,남,60.5
동작구,45~64,여,80.7
동작구,65~74,계,55.3
동작구,65~74,남,51.5
동작구,65~74,여,58.3
동작구,75 이상,계,38.1
동작구,75 이상,남,40.5
동작구,75 이상,여,36.7
금천구,계,계,66.0
금천구,계,남,56.2
금천구,계,여,74.5
금천구,19~44,계,68.4
금천구,19~44,남,62.4
금천구,19~44,여,74.0
금천구,45~64,계,69.9
금천구,45~64,남,52.3
금천구,45~64,여,82.6
금천구,65~74,계,65.4
금천구,65~74,남,56.7
금천구,65~74,여,74.6
금천구,75 이상,계,42.0
금천구,75 이상,남,43.9
금천구,75 이상,여,40.4
구로구,계,계,64.5
구로구,계,남,55.9
구로구,계,여,71.4
구로구,19~44,계,73.8
구로구,19~44,남,71.5
구로구,19~44,여,75.7
구로구,45~64,계,68.1
구로구,45~64,남,52.4
구로구,45~64,여,81.0
구로구,65~74,계,53.3
구로구,65~74,남,42.3
구로구,65~74,여,60.0
구로구,75 이상,계,35.1
구로구,75 이상,남,34.8
구로구,75 이상,여,35.4
관악구,계,계,65.2
관악구,계,남,60.2
관악구,계,여,69.0
관악구,19~44,계,72.1
관악구,19~44,남,68.9
관악구,19~44,여,75.0
관악구,45~64,계,68.8
관악구,45~64,남,64.0
관악구,45~64,여,71.8
관악구,65~74,계,58.0
관악구,65~74,남,42.9
관악구,65~74,여,67.0
관악구,75 이상,계,37.9
관악구,75 이상,남,38.3
관악구,75 이상,여,37.5
강서구,계,계,66.4
강서구,계,남,60.4
강서구,계,여,71.1
강서구,19~44,계,71.3
강서구,19~44,남,67.1
강서구,19~44,여,75.1
강서구,45~64,계,70.7
강서구,45~64,남,60.4
강서구,45~64,여,77.6
강서구,65~74,계,55.7
강서구,65~74,남,50.0
강서구,65~74,여,60.0
강서구,75 이상,계,42.9
강서구,75 이상,남,44.7
강서구,75 이상,여,41.3
중랑구,계,계,61.4
중랑구,계,남,52.0
중랑구,계,여,67.8
중랑구,19~44,계,68.8
중랑구,19~44,남,59.7
중랑구,19~44,여,75.4
중랑구,45~64,계,66.0
중랑구,45~64,남,52.4
중랑구,45~64,여,73.5
중랑구,65~74,계,55.7
중랑구,65~74,남,46.3
중랑구,65~74,여,64.7
중랑구,75 이상,계,27.3
중랑구,75 이상,남,36.1
중랑구,75 이상,여,21.2
종로구,계,계,60.0
종로구,계,남,53.7
종로구,계,여,65.0
종로구,19~44,계,68.0
종로구,19~44,남,58.5
종로구,19~44,여,77.2
종로구,45~64,계,67.3
종로구,45~64,남,58.2
종로구,45~64,여,74.3
종로구,65~74,계,50.9
종로구,65~74,남,50.0
종로구,65~74,여,51.6
종로구,75 이상,계,26.0
종로구,75 이상,남,25.0
종로구,75 이상,여,26.6
은평구,계,계,68.7
은평구,계,남,60.4
은평구,계,여,74.4
은평구,19~44,계,76.4
은평구,19~44,남,69.5
은평구,19~44,여,81.7
은평구,45~64,계,75.3
은평구,45~64,남,62.8
은평구,45~64,여,84.1
은평구,65~74,계,61.5
은평구,65~74,남,50.8
은평구,65~74,여,66.9
은평구,75 이상,계,46.6
은평구,75 이상,남,45.5
은평구,75 이상,여,47.4
성북구,계,계,62.5
성북구,계,남,56.1
성북구,계,여,67.4
성북구,19~44,계,69.9
성북구,19~44,남,64.9
성북구,19~44,여,74.0
성북구,45~64,계,69.3
성북구,45~64,남,56.7
성북구,45~64,여,78.7
성북구,65~74,계,49.4
성북구,65~74,남,42.9
성북구,65~74,여,53.8
성북구,75 이상,계,35.4
성북구,75 이상,남,41.9
성북구,75 이상,여,30.4
서대문구,계,계,65.6
서대문구,계,남,62.1
서대문구,계,여,68.2
서대문구,19~44,계,76.0
서대문구,19~44,남,67.7
서대문구,19~44,여,83.9
서대문구,45~64,계,69.0
서대문구,45~64,남,60.8
서대문구,45~64,여,74.6
서대문구,65~74,계,58.9
서대문구,65~74,남,66.1
서대문구,65~74,여,54.3
서대문구,75 이상,계,40.6
서대문구,75 이상,남,42.0
서대문구,75 이상,여,39.8
도봉구,계,계,64.7
도봉구,계,남,61.8
도봉구,계,여,66.9
도봉구,19~44,계,74.1
도봉구,19~44,남,71.3
도봉구,19~44,여,76.4
도봉구,45~64,계,67.8
도봉구,45~64,남,59.2
도봉구,45~64,여,73.7
도봉구,65~74,계,61.8
도봉구,65~74,남,59.7
도봉구,65~74,여,63.5
도봉구,75 이상,계,34.2
도봉구,75 이상,남,44.2
도봉구,75 이상,여,27.9
노원구,계,계,59.5
노원구,계,남,51.8
노원구,계,여,64.7
노원구,19~44,계,60.5
노원구,19~44,남,49.6
노원구,19~44,여,68.6
노원구,45~64,계,64.3
노원구,45~64,남,54.1
노원구,45~64,여,70.9
노원구,65~74,계,63.4
노원구,65~74,남,56.9
노원구,65~74,여,67.7
노원구,75 이상,계,37.6
노원구,75 이상,남,42.9
노원구,75 이상,여,34.7
강북구,계,계,61.8
강북구,계,남,52.2
강북구,계,여,69.1
강북구,19~44,계,69.1
강북구,19~44,남,65.0
강북구,19~44,여,72.3
강북구,45~64,계,67.6
강북구,45~64,남,53.2
강북구,45~64,여,78.5
강북구,65~74,계,58.2
강북구,65~74,남,41.3
강북구,65~74,여,69.5
강북구,75 이상,계,42.5
강북구,75 이상,남,38.9
강북구,75 이상,여,45.3
중구,계,계,59.1
중구,계,남,51.8
중구,계,여,65.8
중구,19~44,계,70.2
중구,19~44,남,63.2
중구,19~44,여,77.8
중구,45~64,계,64.2
중구,45~64,남,50.0
중구,45~64,여,77.0
중구,65~74,계,49.2
중구,65~74,남,40.4
중구,65~74,여,57.1
중구,75 이상,계,17.6
중구,75 이상,남,22.5
중구,75 이상,여,14.7
용산구,계,계,71.6
용산구,계,남,67.8
용산구,계,여,74.8
용산구,19~44,계,77.5
용산구,19~44,남,75.0
용산구,19~44,여,79.6
용산구,45~64,계,76.2
용산구,45~64,남,70.7
용산구,45~64,여,81.2
용산구,65~74,계,72.1
용산구,65~74,남,63.2
용산구,65~74,여,78.3
용산구,75 이상,계,50.3
용산구,75 이상,남,51.4
용산구,75 이상,여,49.4
송파구,계,계,71.6
송파구,계,남,66.9
송파구,계,여,75.2
송파구,19~44,계,76.2
송파구,19~44,남,70.1
송파구,19~44,여,81.3
송파구,45~64,계,77.2
송파구,45~64,남,68.8
송파구,45~64,여,83.3
송파구,65~74,계,62.0
송파구,65~74,남,58.9
송파구,65~74,여,64.0
송파구,75 이상,계,35.5
송파구,75 이상,남,53.6
송파구,75 이상,여,20.6
성동구,계,계,68.0
성동구,계,남,56.9
성동구,계,여,76.9
성동구,19~44,계,73.2
성동구,19~44,남,61.0
성동구,19~44,여,83.2
성동구,45~64,계,71.3
성동구,45~64,남,60.1
성동구,45~64,여,80.0
성동구,65~74,계,62.5
성동구,65~74,남,50.8
성동구,65~74,여,73.8
성동구,75 이상,계,43.0
성동구,75 이상,남,36.8
성동구,75 이상,여,47.3
서초구,계,계,76.4
서초구,계,남,73.6
서초구,계,여,78.6
서초구,19~44,계,76.2
서초구,19~44,남,70.3
서초구,19~44,여,81.4
서초구,45~64,계,81.9
서초구,45~64,남,81.8
서초구,45~64,여,82.0
서초구,65~74,계,73.0
서초구,65~74,남,64.2
서초구,65~74,여,79.7
서초구,75 이상,계,58.5
서초구,75 이상,남,68.6
서초구,75 이상,여,51.1
동대문구,계,계,61.2
동대문구,계,남,51.4
동대문구,계,여,69.2
동대문구,19~44,계,67.9
동대문구,19~44,남,60.8
동대문구,19~44,여,73.8
동대문구,45~64,계,66.3
동대문구,45~64,남,57.5
동대문구,45~64,여,73.4
동대문구,65~74,계,54.5
동대문구,65~74,남,31.7
동대문구,65~74,여,72.5
동대문구,75 이상,계,29.9
동대문구,75 이상,남,26.7
동대문구,75 이상,여,32.7
광진구,계,계,69.8
광진구,계,남,64.2
광진구,계,여,74.6
광진구,19~44,계,77.6
광진구,19~44,남,74.2
광진구,19~44,여,80.6
광진구,45~64,계,67.1
광진구,45~64,남,59.2
광진구,45~64,여,73.5
광진구,65~74,계,63.3
광진구,65~74,남,54.4
광진구,65~74,여,71.4
광진구,75 이상,계,47.6
광진구,75 이상,남,44.8
광진구,75 이상,여,50.0
강동구,계,계,70.0
강동구,계,남,64.5
강동구,계,여,74.5
강동구,19~44,계,75.6
강동구,19~44,남,70.6
강동구,19~44,여,79.9
강동구,45~64,계,72.3
강동구,45~64,남,66.2
강동구,45~64,여,76.8
강동구,65~74,계,65.9
강동구,65~74,남,59.6
강동구,65~74,여,70.8
강동구,75 이상,계,35.7
강동구,75 이상,남,34.3
강동구,75 이상,여,37.1
강남구,계,계,70.8
강남구,계,남,66.8
강남구,계,여,73.8
강남구,19~44,계,75.8
강남구,19~44,남,72.8
강남구,19~44,여,78.2
강남구,45~64,계,72.4
강남구,45~64,남,68.7
강남구,45~64,여,75.1
강남구,65~74,계,59.8
강남구,65~74,남,46.2
강남구,65~74,여,69.0
강남구,75 이상,계,45.0
강남구,75 이상,남,40.9
강남구,75 이상,여,47.4
