지역,연령별,성별,행복감 지수
서울시,계,계,7.0
서울시,계,남,6.9
서울시,계,여,6.9
서울시,19~44,계,7.0
서울시,19~44,남,7.0
서울시,19~44,여,7.0
서울시,45~64,계,7.0
서울시,45~64,남,6.9
서울시,45~64,여,7.0
서울시,65~74,계,6.6
서울시,65~74,남,6.6
서울시,65~74,여,6.5
서울시,75 이상,계,6.9
서울시,75 이상,남,7.4
서울시,75 이상,여,6.6
영등포구,계,계,7.2
영등포구,계,남,6.9
영등포구,계,여,6.9
영등포구,19~44,계,7.0
영등포구,19~44,남,7.0
영등포구,19~44,여,7.0
영등포구,45~64,계,7.0
영등포구,45~64,남,6.9
영등포구,45~64,여,7.0
영등포구,65~74,계,6.6
영등포구,65~74,남,6.6
영등포구,65~74,여,6.5
영등포구,75 이상,계,6.9
영등포구,75 이상,남,7.4
영등포구,75 이상,여,6.6
양천구,계,계,7.2
양천구,계,남,6.9
양천구,계,여,6.9
양천구,19~44,계,7.0
양천구,19~44,남,7.0
양천구,19~44,여,7.0
양천구,45~64,계,7.0
양천구,45~64,남,6.9
양천구,45~64,여,7.0
양천구,65~74,계,6.6
양천구,65~74,남,6.6
양천구,65~74,여,6.5
양천구,75 이상,계,6.9
양천구,75 이상,남,7.4
양천구,75 이상,여,6.6
마포구,계,계,7.1
마포구,계,남,6.9
마포구,계,여,6.9
마포구,19~44,계,7.0
마포구,19~44,남,7.0
마포구,19~44,여,7.0
마포구,45~64,계,7.0
마포구,45~64,남,6.9
마포구,45~64,여,7.0
마포구,65~74,계,6.6
마포구,65~74,남,6.6
마포구,65~74,여,6.5
마포구,75 이상,계,6.9
마포구,75 이상,남,7.4
마포구,75 이상,여,6.6
동작구,계,계,7.2
동작구,계,남,6.9
동작구,계,여,6.9
동작구,19~44,계,7.0
동작구,19~44,남,7.0
동작구,19~44,여,7.0
동작구,45~64,계,7.0
동작구,45~64,남,6.9
동작구,45~64,여,7.0
동작구,65~74,계,6.6
동작구,65~74,남,6.6
동작구,65~74,여,6.5
동작구,75 이상,계,6.9
동작구,75 이상,남,7.4
동작구,75 이상,여,6.6
금천구,계,계,6.7
금천구,계,남,6.9
금천구,계,여,6.9
금천구,19~44,계,7.0
금천구,19~44,남,7.0
금천구,19~44,여,7.0
금천구,45~64,계,7.0
금천구,45~64,남,6.9
금천구,45~64,여,7.0
금천구,65~74,계,6.6
금천구,65~74,남,6.6
금천구,65~74,여,6.5
금천구,75 이상,계,6.9
금천구,75 이상,남,7.4
금천구,75 이상,여,6.6
구로구,계,계,6.7
구로구,계,남,6.9
구로구,계,여,6.9
구로구,19~44,계,7.0
구로구,19~44,남,7.0
구로구,19~44,여,7.0
구로구,45~64,계,7.0
구로구,45~64,남,6.9
구로구,45~64,여,7.0
