지역,연령별,성별,주관적 건강수준,걷기 실천,격렬한 신체활동 실천,중등도 신체활동 실천,체중조절 경험 여부,우울감 경험률,주관적 스트레스 수준
서울시,계,계,39.3,59.6,16.2,10.4,66.5,6.3,24.5
서울시,계,남,44.4,62.3,20.4,12.3,60.0,4.6,22.6
서울시,계,여,35.3,57.5,13.0,8.9,71.5,7.7,26.1
서울시,45~64,계,36.9,59.0,17.3,12.0,70.6,5.9,23.1
서울시,45~64,남,40.8,58.8,20.1,12.9,60.9,4.5,22.5
서울시,45~64,여,34.0,59.2,15.2,11.3,77.8,6.9,23.5
영등포구,계,계,39.1,71.1,18.0,11.0,69.3,8.1,25.8
영등포구,계,남,44.6,72.1,21.6,13.1,62.4,4.2,22.0
영등포구,계,여,34.3,70.2,14.6,9.1,75.4,11.5,29.1
영등포구,45~64,계,37.3,75.3,21.1,10.5,67.5,7.6,22.1
영등포구,45~64,남,40.3,74.8,24.4,10.2,54.9,4.9,20.1
영등포구,45~64,여,34.9,75.7,18.5,10.8,77.3,9.7,23.7
양천구,계,계,42.1,61.7,16.4,10.4,68.5,6.9,24.7
양천구,계,남,43.2,63.4,17.9,11.6,60.4,6.1,24.2
양천구,계,여,41.2,60.5,15.2,9.4,74.8,7.5,25.0
양천구,45~64,계,39.3,59.1,18.0,10.2,75.6,7.6,22.6
양천구,45~64,남,38.6,56.7,18.1,11.1,69.0,7.6,25.1
양천구,45~64,여,39.9,61.0,17.9,9.4,80.7,7.6,20.6
마포구,계,계,37.7,58.8,12.9,7.8,72.3,7.7,27.5
마포구,계,남,42.2,62.1,16.6,8.5,67.0,4.6,26.1
마포구,계,여,34.4,56.3,10.1,7.2,76.2,10.1,28.5
마포구,45~64,계,36.3,53.5,12.7,6.3,76.8,7.4,29.6
마포구,45~64,남,41.7,56.5,15.7,7.8,67.8,3.5,28.7
마포구,45~64,여,32.5,51.5,10.7,5.3,82.8,10.1,30.2
동작구,계,계,44.4,65.7,16.4,9.0,66.6,4.9,20.7
동작구,계,남,50.4,70.9,21.5,12.1,62.5,2.5,20.5
동작구,계,여,39.6,61.6,12.4,6.5,69.8,6.9,20.8
동작구,45~64,계,41.7,65.3,20.0,11.0,72.0,5.0,22.3
동작구,45~64,남,45.7,68.2,27.1,13.2,60.5,3.1,24.0
동작구,45~64,여,38.6,63.2,14.6,9.4,80.7,6.4,21.1
금천구,계,계,34.9,61.1,13.8,12.6,66.0,7.9,25.0
금천구,계,남,41.2,62.1,19.7,16.4,56.2,5.9,21.8
금천구,계,여,29.6,60.3,8.7,9.3,74.5,9.5,27.7
금천구,45~64,계,25.0,62.6,14.0,14.3,69.9,9.6,24.4
금천구,45~64,남,30.2,61.1,18.8,18.1,52.3,7.4,23.5
금천구,45~64,여,21.3,63.8,10.6,11.6,82.6,11.1,25.1
구로구,계,계,33.8,59.3,9.8,6.8,64.5,5.6,23.5
구로구,계,남,40.1,60.3,14.3,7.9,55.9,2.7,20.5
구로구,계,여,28.8,58.4,6.3,5.9,71.4,7.8,25.9
구로구,45~64,계,31.0,58.5,11.0,10.7,68.1,5.2,20.4
구로구,45~64,남,39.0,59.1,17.1,13.4,52.4,2.4,19.0
구로구,45~64,여,24.5,58.0,6.0,8.5,81.0,7.5,21.5
관악구,계,계,37.7,60.6,11.9,8.4,65.2,6.6,25.4
관악구,계,남,41.8,62.7,16.4,11.3,60.2,5.3,25.4
관악구,계,여,34.5,59.0,8.5,6.2,69.0,7.5,25.4
관악구,45~64,계,38.0,62.7,11.9,7.5,68.8,8.8,25.1
관악구,45~64,남,40.4,61.4,15.8,7.0,64.0,7.9,22.8
관악구,45~64,여,36.5,63.5,9.4,7.7,71.8,9.4,26.5
강서구,계,계,39.9,57.5,19.4,9.9,66.4,5.7,28.7
강서구,계,남,44.1,61.4,23.5,10.1,60.4,3.2,25.0
강서구,계,여,36.7,54.4,16.1,9.7,71.1,7.6,31.7
강서구,45~64,계,35.2,57.5,23.7,14.0,70.7,6.1,28.2
강서구,45~64,남,38.9,56.9,26.4,13.9,60.4,4.9,25.7
강서구,45~64,여,32.7,57.9,22.0,14.0,77.6,7.0,29.9
중랑구,계,계,35.1,61.3,21.1,11.4,61.4,7.4,24.4
중랑구,계,남,41.6,63.0,23.3,14.5,52.0,4.8,18.8
중랑구,계,여,30.8,60.1,19.6,9.3,67.8,9.2,28.2
중랑구,45~64,계,32.0,57.9,21.6,12.6,66.0,7.3,22.2
중랑구,45~64,남,35.7,53.2,23.0,12.7,52.4,3.2,17.5
중랑구,45~64,여,30.0,60.4,20.9,12.6,73.5,9.6,24.8
종로구,계,계,32.8,43.3,13.6,8.3,60.0,3.2,26.3
종로구,계,남,33.5,47.5,15.8,9.9,53.7,2.7,24.6
종로구,계,여,32.3,40.0,11.8,7.1,65.0,3.5,27.6
종로구,45~64,계,33.8,41.0,14.2,8.5,67.3,1.8,24.5
종로구,45~64,남,31.2,42.9,17.1,9.4,58.2,0.6,22.9
종로구,45~64,여,35.8,39.4,11.9,7.8,74.3,2.8,25.7
은평구,계,계,30.2,63.5,13.3,10.8,68.7,9.8,26.6
은평구,계,남,36.7,65.0,17.8,15.1,60.4,6.7,23.8
은평구,계,여,25.7,62.5,10.3,7.8,74.4,11.9,28.5
은평구,45~64,계,31.3,59.3,12.7,10.6,75.3,6.3,28.0
은평구,45~64,남,31.4,59.1,10.9,13.1,62.8,5.1,25.5
은평구,45~64,여,31.3,59.5,13.8,8.8,84.1,7.2,29.7
성북구,계,계,36.9,59.4,14.6,11.9,62.5,7.6,26.5
성북구,계,남,44.1,63.3,19.2,15.0,56.1,7.0,23.2
성북구,계,여,31.2,56.4,11.0,9.5,67.4,8.1,29.1
성북구,45~64,계,38.9,60.5,16.4,15.8,69.3,7.3,21.0
성북구,45~64,남,48.2,60.3,23.4,19.9,56.7,7.1,17.0
성북구,45~64,여,31.9,60.6,11.2,12.8,78.7,7.4,23.9
서대문구,계,계,38.9,51.8,13.9,9.4,65.6,6.8,27.4
서대문구,계,남,44.6,55.5,19.2,11.8,62.1,4.9,28.2
서대문구,계,여,34.6,49.0,10.1,7.6,68.2,8.2,26.9
서대문구,45~64,계,38.7,52.5,12.5,12.3,69.0,6.4,26.3
서대문구,45~64,남,44.2,50.8,17.2,15.0,60.8,5.8,32.5
서대문구,45~64,여,35.0,53.7,9.3,10.5,74.6,6.8,22.0
도봉구,계,계,34.9,55.0,14.7,9.2,64.7,4.7,25.9
도봉구,계,남,43.0,61.1,21.4,12.0,61.8,2.5,20.9
도봉구,계,여,28.9,50.5,9.8,7.1,66.9,6.3,29.6
도봉구,45~64,계,37.6,55.6,13.7,10.5,67.8,4.8,26.5
도봉구,45~64,남,43.0,56.3,19.0,13.4,59.2,2.1,21.1
도봉구,45~64,여,34.0,55.0,10.0,8.6,73.7,6.7,30.1
노원구,계,계,34.0,63.0,14.8,15.8,59.5,6.8,20.2
노원구,계,남,37.9,68.8,18.2,15.7,51.8,6.0,18.8
노원구,계,여,31.3,59.0,12.6,15.8,64.7,7.3,21.2
노원구,45~64,계,33.0,66.1,16.2,20.4,64.3,7.4,22.1
노원구,45~64,남,36.8,70.7,20.3,20.3,54.1,6.0,21.1
노원구,45~64,여,30.6,63.1,13.6,20.4,70.9,8.3,22.8
강북구,계,계,32.4,52.9,8.9,6.5,61.8,6.3,23.3
강북구,계,남,36.0,53.9,14.0,9.7,52.2,5.9,18.9
강북구,계,여,29.6,52.2,5.1,4.2,69.1,6.7,26.6
강북구,45~64,계,29.4,53.2,7.6,7.6,67.6,4.9,19.3
강북구,45~64,남,35.5,48.2,11.3,12.8,53.2,5.0,17.0
강북구,45~64,여,24.7,57.0,4.8,3.8,78.5,4.8,21.0
중구,계,계,43.6,65.2,24.3,9.4,59.1,2.7,21.4
중구,계,남,46.9,65.5,26.6,9.8,51.8,2.5,20.7
중구,계,여,40.5,64.9,22.1,9.1,65.8,2.9,22.1
중구,45~64,계,35.0,69.9,26.8,12.3,64.2,2.4,19.9
중구,45~64,남,35.7,65.8,25.3,10.1,50.0,2.5,24.1
중구,45~64,여,34.5,73.6,28.2,14.4,77.0,2.3,16.1
용산구,계,계,49.3,70.1,20.8,12.7,71.6,1.8,12.8
용산구,계,남,52.5,70.4,27.0,15.1,67.8,1.4,12.1
용산구,계,여,46.6,69.8,15.5,10.7,74.8,2.2,13.5
용산구,45~64,계,50.0,75.0,24.1,13.8,76.2,1.2,12.1
용산구,45~64,남,49.4,72.0,26.8,12.8,70.7,0.6,14.0
용산구,45~64,여,50.6,77.8,21.6,14.8,81.2,1.7,10.2
송파구,계,계,44.1,71.4,16.9,11.8,71.6,6.2,21.7
송파구,계,남,48.5,73.9,19.4,15.2,66.9,4.0,18.7
송파구,계,여,40.7,69.5,15.0,9.2,75.2,7.9,24.0
송파구,45~64,계,39.9,68.5,19.8,15.0,77.2,8.4,21.0
송파구,45~64,남,41.1,70.9,19.1,16.3,68.8,7.8,17.7
송파구,45~64,여,39.1,66.7,20.3,14.1,83.3,8.9,23.4
성동구,계,계,34.4,62.2,19.0,13.2,68.0,7.2,29.6
성동구,계,남,36.8,63.0,22.3,14.7,56.9,6.4,29.7
성동구,계,여,32.5,61.5,16.4,12.0,76.9,7.9,29.6
성동구,45~64,계,28.4,61.9,20.1,17.1,71.3,6.1,28.4
성동구,45~64,남,30.1,60.8,20.3,14.0,60.1,4.2,29.4
성동구,45~64,여,27.0,62.7,20.0,19.5,80.0,7.6,27.6
서초구,계,계,55.7,56.1,17.1,13.3,76.4,6.2,25.2
서초구,계,남,61.3,63.7,19.5,16.0,73.6,6.0,27.2
서초구,계,여,51.3,50.1,15.3,11.3,78.6,6.4,23.7
