지역,연령별,성별,1인당 연소득,주관적 건강수준,걷기 실천,격렬한 신체활동 실천,긍정적 태도율(자연환경),주관적 스트레스 수준,우울감 경험률,중등도 신체활동 실천,체중조절 경험 여부,행복감 지수
서울시,계,계,2029.6,39.3,59.6,16.2,75.7,24.5,6.3,10.4,66.5,7.01
서울시,계,남,2066.9,44.4,62.3,20.4,77.4,22.6,4.6,12.3,60.0,7.05
서울시,계,여,2000.3,35.3,57.5,13.0,74.4,26.1,7.7,8.9,71.5,6.98
서울시,19~44,계,2235.7,52.2,62.6,19.5,71.5,31.2,6.4,8.8,72.7,7.12
서울시,19~44,남,2270.1,56.6,65.8,25.4,74.0,28.7,4.8,11.5,67.0,7.17
서울시,19~44,여,2206.0,48.5,59.8,14.5,69.4,33.3,7.8,6.6,77.7,7.07
서울시,45~64,계,2229.6,36.9,59.0,17.3,75.2,23.1,5.9,12.0,70.6,7.04
서울시,45~64,남,2252.8,40.8,58.8,20.1,77.1,22.5,4.5,12.9,60.9,7.03
서울시,45~64,여,2212.3,34.0,59.2,15.2,73.8,23.5,6.9,11.3,77.8,7.05
서울시,65~74,계,1571.4,26.9,60.0,13.0,80.5,17.1,6.2,12.5,60.1,6.9
서울시,65~74,남,1686.7,33.0,62.6,15.6,81.7,14.4,4.2,13.9,52.3,6.91
서울시,65~74,여,1485.3,22.3,58.0,11.0,79.6,19.1,7.7,11.4,66.0,6.89
서울시,75 이상,계,1280.1,20.3,50.7,5.9,85.2,17.2,7.4,7.8,39.5,6.7
서울시,75 이상,남,1206.3,26.9,60.5,9.2,84.8,11.6,4.6,11.5,41.3,6.87
서울시,75 이상,여,1334.9,15.5,43.5,3.4,85.5,21.3,9.4,5.0,38.2,6.58
영등포구,계,계,2275.5,39.1,71.1,18.0,53.6,25.8,8.1,11.0,69.3,7.2
영등포구,계,남,2366.8,44.6,72.1,21.6,56.0,22.0,4.2,13.1,62.4,7.34
영등포구,계,여,2195.8,34.3,70.2,14.6,51.4,29.1,11.5,9.1,75.4,7.08
영등포구,19~44,계,2578.2,47.3,69.6,19.3,54.5,34.4,8.7,10.8,76.5,7.1
영등포구,19~44,남,2636.7,50.8,71.2,23.5,57.5,29.9,3.4,14.9,73.4,7.36
영등포구,19~44,여,2523.3,43.9,68.0,14.9,51.5,38.7,13.8,6.7,79.6,6.86
영등포구,45~64,계,2405.3,37.3,75.3,21.1,46.5,22.1,7.6,10.5,67.5,7.18
영등포구,45~64,남,2596.6,40.3,74.8,24.4,47.1,20.1,4.9,10.2,54.9,7.12
영등포구,45~64,여,2254.9,34.9,75.7,18.5,46.1,23.7,9.7,10.8,77.3,7.23
영등포구,65~74,계,1711.8,30.1,72.5,12.7,56.8,20.9,10.5,10.8,68.0,7.42
영등포구,65~74,남,1722.1,40.3,71.6,16.4,57.8,11.9,6.0,11.3,61.2,7.75
영등포구,65~74,여,1703.8,22.1,73.3,9.6,56.1,27.9,14.0,10.4,73.3,7.16
영등포구,75 이상,계,1258.9,26.7,56.8,6.9,74.3,10.7,2.7,14.5,45.3,7.36
영등포구,75 이상,남,1340.9,40.0,67.5,11.4,78.9,10.0,2.5,18.9,42.5,7.42
영등포구,75 이상,여,1153.8,11.4,44.1,0.0,68.8,11.4,2.9,8.0,48.6,7.29
양천구,계,계,2077.8,42.1,61.7,16.4,80.3,24.7,6.9,10.4,68.5,7.25
양천구,계,남,2077.2,43.2,63.4,17.9,79.4,24.2,6.1,11.6,60.4,7.2
양천구,계,여,2078.2,41.2,60.5,15.3,81.0,25.0,7.5,9.4,74.8,7.28
양천구,19~44,계,2232.0,54.7,66.3,17.5,79.6,34.9,6.2,8.9,67.8,7.35
양천구,19~44,남,2196.9,54.7,70.7,21.3,80.8,30.7,4.7,12.0,56.7,7.31
양천구,19~44,여,2261.8,54.8,62.8,14.4,78.6,38.3,7.4,6.4,76.6,7.38
양천구,45~64,계,2319.9,39.3,59.1,18.0,78.7,22.6,7.6,10.2,75.6,7.32
양천구,45~64,남,2374.1,38.6,56.7,18.1,76.2,25.1,7.6,11.1,69.0,7.23
양천구,45~64,여,2275.5,39.9,61.0,17.9,80.5,20.6,7.6,9.4,80.7,7.39
양천구,65~74,계,1332.7,20.5,67.0,15.2,83.9,14.3,6.2,17.9,58.9,6.84
양천구,65~74,남,1348.7,26.0,72.0,14.0,86.0,10.0,4.0,16.0,48.0,6.96
양천구,65~74,여,1318.8,16.1,62.9,16.1,82.3,17.7,8.1,19.4,67.7,6.74
양천구,75 이상,계,1249.2,31.0,46.5,4.2,87.3,4.2,7.0,7.0,47.9,6.99
양천구,75 이상,남,798.4,40.0,48.0,4.0,80.0,8.0,8.0,4.0,48.0,6.88
양천구,75 이상,여,1487.1,26.1,45.7,4.3,91.3,2.2,6.5,8.7,47.8,7.05
마포구,계,계,1998.0,37.7,58.8,12.9,69.7,27.5,7.7,7.8,72.3,7.13
마포구,계,남,2008.6,42.2,62.1,16.6,71.9,26.1,4.6,8.5,67.0,7.24
마포구,계,여,1989.9,34.4,56.3,10.1,68.1,28.5,10.1,7.2,76.2,7.04
마포구,19~44,계,2260.8,45.9,62.8,16.4,63.9,31.8,8.4,6.0,76.7,7.22
마포구,19~44,남,2313.4,49.2,63.8,20.9,66.3,33.3,5.6,6.2,70.1,7.42
마포구,19~44,여,2218.2,43.4,61.9,12.8,62.1,30.5,10.6,5.8,81.9,7.07
마포구,45~64,계,2001.0,36.3,53.5,12.7,68.2,29.6,7.4,6.3,76.8,7.18
마포구,45~64,남,1929.4,41.7,56.5,15.7,69.6,28.7,3.5,7.8,67.8,7.21
마포구,45~64,여,2051.1,32.5,51.5,10.7,67.3,30.2,10.1,5.3,82.8,7.17
마포구,65~74,계,1703.0,26.2,59.5,8.7,78.0,18.3,8.7,11.1,67.5,6.79
마포구,65~74,남,1715.6,32.7,65.4,11.5,78.0,15.4,3.8,11.5,71.2,6.75
마포구,65~74,여,1694.7,21.6,55.4,6.8,78.1,20.3,12.2,10.8,64.9,6.81
마포구,75 이상,계,1356.7,24.0,56.7,4.8,86.0,16.3,4.8,14.4,49.0,7.01
마포구,75 이상,남,1382.6,27.7,66.0,8.5,91.3,4.3,4.3,14.9,48.9,7.15
마포구,75 이상,여,1334.4,21.1,49.1,1.8,81.5,26.3,5.3,14.0,49.1,6.89
동작구,계,계,1910.8,44.4,65.7,16.4,78.5,20.7,4.9,9.0,66.6,7.19
동작구,계,남,1985.5,50.4,70.9,21.5,82.1,20.5,2.5,12.1,62.5,7.19
동작구,계,여,1853.9,39.6,61.6,12.4,75.7,20.8,6.9,6.5,69.8,7.2
동작구,19~44,계,2126.0,57.4,69.1,18.6,78.9,24.3,3.0,6.3,74.3,7.25
동작구,19~44,남,2142.1,60.8,74.3,22.8,82.4,24.0,1.2,8.8,73.1,7.2
동작구,19~44,여,2112.3,54.4,64.6,14.9,75.7,24.6,4.6,4.1,75.4,7.29
동작구,45~64,계,2163.8,41.7,65.3,20.0,80.1,22.3,5.0,11.0,72.0,7.35
동작구,45~64,남,2239.9,45.7,68.2,27.1,83.3,24.0,3.1,13.2,60.5,7.2
동작구,45~64,여,2106.5,38.6,63.2,14.6,77.6,21.1,6.4,9.4,80.7,7.47
동작구,65~74,계,1407.8,35.5,65.8,9.2,77.0,10.5,3.3,11.2,55.3,7.12
동작구,65~74,남,1569.6,42.6,67.6,8.8,79.4,10.3,2.9,16.2,51.5,7.22
동작구,65~74,여,1302.7,29.8,64.3,9.5,75.0,10.7,3.6,7.1,58.3,7.05
동작구,75 이상,계,1088.4,17.5,53.6,8.2,74.7,17.5,14.4,9.3,38.1,6.61
동작구,75 이상,남,1087.0,32.4,70.3,18.9,81.1,10.8,5.4,16.2,40.5,7.03
동작구,75 이상,여,1089.3,8.3,43.3,1.7,70.7,21.7,20.0,5.0,36.7,6.35
금천구,계,계,1793.8,34.9,61.1,13.8,52.6,25.0,7.9,12.6,66.0,6.67
금천구,계,남,1868.5,41.2,62.1,19.7,51.6,21.8,5.9,16.4,56.2,6.66
금천구,계,여,1730.0,29.6,60.3,8.7,53.4,27.7,9.5,9.3,74.5,6.68
금천구,19~44,계,1995.8,56.1,64.3,16.1,45.4,26.9,5.3,10.2,68.4,6.98
금천구,19~44,남,2126.9,63.0,67.3,24.8,46.4,23.6,5.5,12.7,62.4,6.92
금천구,19~44,여,1873.6,49.7,61.6,7.9,44.4,29.9,5.1,7.9,74.0,7.03
