지역,연령별,성별,중등도 신체활동 실천
서울시,계,계,10.4
서울시,계,남,12.3
서울시,계,여,8.9
서울시,19~44,계,8.8
서울시,19~44,남,11.4
서울시,19~44,여,6.5
서울시,45~64,계,11.9
서울시,45~64,남,12.7
서울시,45~64,여,11.4
서울시,65~74,계,12.7
서울시,65~74,남,14.2
서울시,65~74,여,11.6
서울시,75 이상,계,7.8
서울시,75 이상,남,11.5
서울시,75 이상,여,5.0
영등포구,계,계,11.0
영등포구,계,남,13.1
영등포구,계,여,9.1
영등포구,19~44,계,10.8
영등포구,19~44,남,14.9
영등포구,19~44,여,6.9
영등포구,45~64,계,10.5
영등포구,45~64,남,9.8
영등포구,45~64,여,11.1
영등포구,65~74,계,11.5
영등포구,65~74,남,12.5
영등포구,65~74,여,10.7
영등포구,75 이상,계,14.5
영등포구,75 이상,남,18.9
영등포구,75 이상,여,8.0
양천구,계,계,10.4
양천구,계,남,11.6
양천구,계,여,9.4
양천구,19~44,계,9.1
양천구,19~44,남,12.6
양천구,19~44,여,6.2
양천구,45~64,계,10.6
양천구,45~64,남,11.8
양천구,45~64,여,9.8
양천구,65~74,계,18.5
양천구,65~74,남,16.7
양천구,65~74,여,20.0
양천구,75 이상,계,7.0
양천구,75 이상,남,4.0
양천구,75 이상,여,8.7
마포구,계,계,7.8
마포구,계,남,8.5
마포구,계,여,7.2
마포구,19~44,계,5.9
마포구,19~44,남,6.5
마포구,19~44,여,5.5
마포구,45~64,계,6.3
마포구,45~64,남,8.0
마포구,45~64,여,5.1
마포구,65~74,계,11.5
마포구,65~74,남,10.4
마포구,65~74,여,12.3
마포구,75 이상,계,14.4
마포구,75 이상,남,14.9
마포구,75 이상,여,14.0
동작구,계,계,9.0
동작구,계,남,12.1
동작구,계,여,6.5
동작구,19~44,계,6.5
동작구,19~44,남,9.0
동작구,19~44,여,4.2
동작구,45~64,계,12.0
동작구,45~64,남,14.3
동작구,45~64,여,10.3
동작구,65~74,계,11.3
동작구,65~74,남,15.4
동작구,65~74,여,7.9
동작구,75 이상,계,9.3
동작구,75 이상,남,16.2
동작구,75 이상,여,5.0
금천구,계,계,12.6
금천구,계,남,16.4
금천구,계,여,9.3
금천구,19~44,계,10.6
금천구,19~44,남,13.5
금천구,19~44,여,7.9
금천구,45~64,계,14.5
금천구,45~64,남,18.6
금천구,45~64,여,11.3
금천구,65~74,계,16.2
금천구,65~74,남,21.7
금천구,65~74,여,10.5
금천구,75 이상,계,9.1
금천구,75 이상,남,14.6
금천구,75 이상,여,4.3
구로구,계,계,6.8
구로구,계,남,7.9
구로구,계,여,5.9
구로구,19~44,계,3.4
구로구,19~44,남,3.0
구로구,19~44,여,3.7
구로구,45~64,계,10.9
구로구,45~64,남,13.2
구로구,45~64,여,8.9
구로구,65~74,계,7.2
구로구,65~74,남,8.3
구로구,65~74,여,6.5
구로구,75 이상,계,1.1
구로구,75 이상,남,2.2
구로구,75 이상,여,0.0
관악구,계,계,8.4
관악구,계,남,11.3
관악구,계,여,6.2
관악구,19~44,계,8.7
관악구,19~44,남,14.2
관악구,19~44,여,3.6
관악구,45~64,계,7.5
관악구,45~64,남,7.2
관악구,45~64,여,7.6
관악구,65~74,계,9.6
관악구,65~74,남,10.9
관악구,65~74,여,9.0
관악구,75 이상,계,6.3
관악구,75 이상,남,8.5
관악구,75 이상,여,4.2
강서구,계,계,9.9
강서구,계,남,10.1
강서구,계,여,9.7
강서구,19~44,계,7.5
강서구,19~44,남,9.5
강서구,19~44,여,5.6
강서구,45~64,계,13.8
강서구,45~64,남,12.0
강서구,45~64,여,15.0
강서구,65~74,계,7.1
강서구,65~74,남,8.3
강서구,65~74,여,6.2
강서구,75 이상,계,6.0
강서구,75 이상,남,2.6
강서구,75 이상,여,8.7
중랑구,계,계,11.4
중랑구,계,남,14.5
중랑구,계,여,9.3
중랑구,19~44,계,10.8
중랑구,19~44,남,14.8
중랑구,19~44,여,8.0
중랑구,45~64,계,13.0
중랑구,45~64,남,12.7
중랑구,45~64,여,13.2
중랑구,65~74,계,13.3
중랑구,65~74,남,17.3
중랑구,65~74,여,9.3
중랑구,75 이상,계,6.8
중랑구,75 이상,남,13.9
중랑구,75 이상,여,1.9
종로구,계,계,8.3
종로구,계,남,9.9
종로구,계,여,7.1
종로구,19~44,계,7.9
종로구,19~44,남,9.5
종로구,19~44,여,6.3
종로구,45~64,계,8.5
종로구,45~64,남,10.3
종로구,45~64,여,7.2
종로구,65~74,계,11.3
종로구,65~74,남,10.4
종로구,65~74,여,12.1
종로구,75 이상,계,7.3
종로구,75 이상,남,13.6
종로구,75 이상,여,3.8
은평구,계,계,10.8
은평구,계,남,15.1
은평구,계,여,7.8
은평구,19~44,계,10.0
은평구,19~44,남,17.0
은평구,19~44,여,4.7
은평구,45~64,계,10.9
은평구,45~64,남,13.2
은평구,45~64,여,9.3
은평구,65~74,계,12.5
은평구,65~74,남,14.5
은평구,65~74,여,11.4
은평구,75 이상,계,8.3
은평구,75 이상,남,14.5
은평구,75 이상,여,3.8
성북구,계,계,11.9
성북구,계,남,15.0
성북구,계,여,9.5
성북구,19~44,계,8.0
성북구,19~44,남,9.5
성북구,19~44,여,6.8
성북구,45~64,계,15.7
성북구,45~64,남,18.9
성북구,45~64,여,13.3
성북구,65~74,계,13.5
성북구,65~74,남,18.5
