자치구,공원 수,행정구역면적,공원면적,공원율,1인당 공원 면적,총 도시림 면적,생활권 도시림 면적,1인당 총 도시림 면적,1인당 생활권 도시림 면적,1인당 생활권 도시림 면적(산림수목),1인당 생활권 도시림 면적(공원녹지)
서울시,"2,868","605,237,002","168,896,780",27.91,16.9,180287524.33767545,66846771.33767543,18.53073713113397,6.870802360142141,1.6195610532395217,5.251241306902621
종로구,106,"23,913,280","11,556,112",48.33,71.4,13277114.3,2501869.3,87.75936479608698,16.53691123008791,0.6397137946989226,15.897197435388987
중구,73,"9,959,983","3,155,139",31.68,23.1,5417625.7,1506737.7,42.93875533997512,11.94202867536914,1.2787502674941151,10.663278407875026
용산구,110,"21,866,384","1,779,562",8.14,7.3,2005971.0,809094.0,8.772340053351991,3.538260375213189,2.2083089167796386,1.3299514584335506
성동구,86,"16,859,343","3,100,047",18.39,10.0,1388926.0,1184497.0,4.616074366294547,3.936657704336151,1.0764035906929132,2.8602541136432373
광진구,60,"17,062,949","3,363,481",19.71,9.2,6073160.28,1287528.28,17.28521497082681,3.66451766045254,1.9010054930980504,1.7635121673544898
동대문구,95,"14,215,360","1,275,134",8.97,3.5,1470284.05,847482.05,4.246994604181471,2.4479975100666103,1.015297781012958,1.432699729053652
중랑구,101,"18,496,071","5,205,284",28.14,12.9,6274698.0,1477730.0,15.804687480321904,3.722101180056169,0.2591891994005264,3.4629119806556425
성북구,133,"24,574,349","8,329,401",33.89,18.3,8813956.0,1009189.0,19.91179487179487,2.279880266576302,0.1897368123799842,2.0901434541963178
강북구,82,"23,600,102","14,342,272",60.77,45.1,11500610.0,2099240.0,36.6315128967938,6.686457251699293,1.669187205768998,5.017270045930296
도봉구,79,"20,660,965","10,075,021",48.76,30.0,2992345.0,1452016.0,8.976263041378441,4.355673412086561,0.6162250046496002,3.739448407436961
노원구,181,"35,437,538","14,344,421",40.48,26.7,14715090.0,1457052.0,27.612970416866045,2.734168378979368,0.7694241938056502,1.9647441851737175
은평구,130,"29,711,421","13,991,566",47.09,28.9,11318891.0,2608784.0,23.57945095326978,5.434604359709352,0.5298667588827412,4.904737600826612
서대문구,118,"17,625,638","5,143,254",29.18,15.9,6748518.0,1028651.0,21.81184045094167,3.3246961024185757,0.3357660222949802,2.988930080123595
마포구,142,"23,851,343","4,440,002",18.62,11.5,3977249.95,3956309.95,10.633363054259627,10.577378988597324,3.961345863355034,6.616033125242291
양천구,121,"17,405,710","2,912,035",16.73,6.3,3659173.0,1860690.0,7.986583436098349,4.0611788329531935,0.7942946318466054,3.2668842011065884
강서구,170,"41,436,853","4,370,320",10.55,7.3,8294106.057675432,4322172.057675432,14.01514382941999,7.303483054423201,1.7003004413683094,5.603182613054892
구로구,104,"20,120,106","3,336,138",16.58,7.6,3432140.0,1325089.0,8.439743867172899,3.258436940570102,1.4969335864497473,1.7615033541203549
금천구,55,"13,020,260","2,206,213",16.94,8.8,3126930.0,413950.0,13.431252953051844,1.7780593617112668,1.3995318070529617,0.378527554658305
영등포구,108,"24,548,520","3,050,378",12.43,7.6,2558024.0,2525751.0,6.957239758701908,6.869464585860454,5.18605954122901,1.683405044631444
동작구,78,"16,354,618","4,584,220",28.03,11.2,3862343.0,2338377.0,9.754302801019287,5.90554420488783,0.8264459052992325,5.079098299588598
관악구,110,"29,568,929","10,976,868",37.12,21.2,15833597.0,539962.0,31.661241686562928,1.0797210124496597,0.564859806356405,0.5148612060932545
서초구,177,"46,983,285","16,080,991",34.23,37.0,16751343.0,16088754.0,38.88192216811427,37.34397181228616,3.320827898037723,34.02314391424844
강남구,155,"39,501,013","6,594,334",16.69,12.0,14160969.0,4560597.0,25.97537460860761,8.365473825547674,2.195343095443798,6.170130730103876
송파구,169,"33,872,729","4,644,814",13.71,6.8,5691832.0,5685855.0,8.420355612232067,8.411513386127305,1.254933346746336,7.15658003938097
강동구,124,"24,590,256","3,369,773",13.7,7.7,6942628.0,3959394.0,15.921012138043007,9.079783611234053,5.015559535575955,4.064224075658099
